TweetID,HandLabel,AnnotatorID
1.49463E+16,Negative,79
5.11396E+17,Positive,6
5.11396E+17,Positive,80
5.11396E+17,Neutral,77
5.11396E+17,Neutral,82
5.11396E+17,Positive,82
5.11396E+17,Neutral,81
5.11396E+17,Negative,82
5.11396E+17,Neutral,78
5.11396E+17,Neutral,82
5.11396E+17,Neutral,80
5.11396E+17,Neutral,77
5.11396E+17,Neutral,77
5.11396E+17,Neutral,77
5.11396E+17,Neutral,78
5.11396E+17,Negative,77
5.11396E+17,Neutral,82
5.11397E+17,Neutral,77
5.11397E+17,Negative,78
5.11397E+17,Neutral,77
5.11397E+17,Positive,82
5.11397E+17,Negative,82
5.11397E+17,Negative,81
5.11397E+17,Positive,82
5.11397E+17,Positive,80
5.11397E+17,Neutral,80
5.11397E+17,Neutral,78
5.11397E+17,Neutral,82
5.11397E+17,Neutral,77
5.11397E+17,Neutral,77
5.11397E+17,Positive,77
5.11397E+17,Neutral,78
5.11397E+17,Neutral,77
5.11397E+17,Negative,82
5.11397E+17,Negative,80
5.11397E+17,Neutral,77
5.11397E+17,Negative,6
5.11397E+17,Negative,80
5.11397E+17,Negative,80
5.11397E+17,Negative,77
5.11398E+17,Negative,82
5.11398E+17,Neutral,82
5.11398E+17,Neutral,81
5.11398E+17,Negative,78
5.11398E+17,Positive,82
5.11398E+17,Neutral,80
5.11398E+17,Neutral,80
5.11398E+17,Neutral,82
5.11398E+17,Neutral,77
5.11398E+17,Positive,77
5.11398E+17,Positive,80
5.11398E+17,Neutral,77
5.11398E+17,Neutral,78
5.11398E+17,Neutral,78
5.11398E+17,Negative,77
5.11398E+17,Positive,82
5.11398E+17,Neutral,77
5.11398E+17,Negative,78
5.11398E+17,Negative,6
5.11398E+17,Neutral,80
5.11398E+17,Negative,77
5.11398E+17,Neutral,82
5.11399E+17,Positive,82
5.11399E+17,Neutral,80
5.11399E+17,Neutral,81
5.11399E+17,Negative,82
5.11399E+17,Neutral,80
5.11399E+17,Neutral,82
5.11399E+17,Neutral,77
5.11399E+17,Neutral,77
5.11399E+17,Neutral,77
5.11399E+17,Neutral,80
5.11399E+17,Neutral,78
5.114E+17,Neutral,77
5.114E+17,Neutral,78
5.114E+17,Neutral,82
5.114E+17,Positive,77
5.114E+17,Neutral,78
5.114E+17,Neutral,6
5.114E+17,Positive,80
5.114E+17,Neutral,77
5.114E+17,Positive,80
5.114E+17,Positive,80
5.114E+17,Neutral,82
5.114E+17,Neutral,82
5.114E+17,Positive,81
5.114E+17,Positive,82
5.114E+17,Neutral,80
5.114E+17,Negative,82
5.114E+17,Neutral,77
5.114E+17,Negative,77
5.114E+17,Positive,77
5.114E+17,Neutral,78
5.114E+17,Negative,77
5.114E+17,Positive,78
5.114E+17,Positive,82
5.114E+17,Neutral,77
5.114E+17,Negative,78
5.114E+17,Negative,80
5.114E+17,Positive,6
5.114E+17,Positive,80
5.114E+17,Positive,77
5.114E+17,Positive,82
5.11401E+17,Positive,80
5.11401E+17,Positive,82
5.11401E+17,Neutral,81
5.11401E+17,Positive,82
5.11401E+17,Positive,80
5.11401E+17,Neutral,82
5.11401E+17,Neutral,77
5.11401E+17,Neutral,77
5.11401E+17,Negative,77
5.11401E+17,Negative,77
5.11401E+17,Neutral,82
5.11401E+17,Positive,78
5.11401E+17,Positive,77
5.11401E+17,Positive,78
5.11401E+17,Positive,80
5.11402E+17,Positive,80
5.11402E+17,Negative,77
5.11402E+17,Neutral,82
5.11402E+17,Positive,82
5.11402E+17,Neutral,80
5.11402E+17,Neutral,81
5.11402E+17,Neutral,78
5.11402E+17,Positive,82
5.11402E+17,Neutral,80
5.11402E+17,Neutral,80
5.11402E+17,Negative,82
5.11402E+17,Neutral,77
5.11402E+17,Positive,77
5.11402E+17,Negative,77
5.11402E+17,Neutral,78
5.11402E+17,Neutral,77
5.11402E+17,Neutral,80
5.11402E+17,Negative,82
5.11403E+17,Negative,77
5.11403E+17,Neutral,78
5.11403E+17,Neutral,6
5.11403E+17,Positive,80
5.11403E+17,Neutral,77
5.11403E+17,Neutral,82
5.11403E+17,Negative,82
5.11403E+17,Neutral,81
5.11403E+17,Positive,82
5.11404E+17,Neutral,82
5.11404E+17,Neutral,77
5.11404E+17,Positive,77
5.11404E+17,Neutral,78
5.11404E+17,Neutral,77
5.11404E+17,Positive,78
5.11404E+17,Positive,80
5.11404E+17,Negative,77
5.11404E+17,Negative,82
5.11404E+17,Neutral,77
5.11404E+17,Neutral,78
5.11404E+17,Neutral,80
5.11404E+17,Neutral,77
5.11404E+17,Negative,82
5.11404E+17,Negative,81
5.11404E+17,Neutral,82
5.11404E+17,Negative,80
5.11405E+17,Positive,82
5.11405E+17,Neutral,77
5.11405E+17,Neutral,77
5.11405E+17,Negative,77
5.11405E+17,Neutral,78
5.11405E+17,Negative,77
5.11405E+17,Neutral,82
5.11405E+17,Neutral,77
5.11405E+17,Positive,80
5.11405E+17,Neutral,78
5.11405E+17,Neutral,6
5.11405E+17,Negative,80
5.11405E+17,Neutral,77
5.11405E+17,Neutral,82
5.11405E+17,Negative,82
5.11405E+17,Neutral,78
5.11405E+17,Negative,81
5.11405E+17,Negative,80
5.11405E+17,Positive,82
5.11405E+17,Neutral,80
5.11405E+17,Positive,82
5.11405E+17,Neutral,77
5.11405E+17,Negative,77
5.11405E+17,Negative,77
5.11406E+17,Neutral,78
5.11406E+17,Positive,77
5.11406E+17,Negative,82
5.11406E+17,Neutral,77
5.11406E+17,Neutral,78
5.11406E+17,Neutral,6
5.11406E+17,Negative,80
5.11406E+17,Negative,77
5.11406E+17,Negative,82
5.11406E+17,Neutral,81
5.11406E+17,Neutral,80
5.11406E+17,Neutral,82
5.11406E+17,Positive,80
5.11406E+17,Neutral,78
5.11407E+17,Negative,82
5.11407E+17,Neutral,77
5.11407E+17,Neutral,77
5.11407E+17,Neutral,77
5.11407E+17,Neutral,78
5.11407E+17,Neutral,77
5.11407E+17,Positive,82
5.11407E+17,Positive,82
5.11407E+17,Positive,78
5.11407E+17,Positive,80
5.11407E+17,Positive,6
5.11407E+17,Positive,80
5.11407E+17,Neutral,77
5.11407E+17,Neutral,80
5.11407E+17,Neutral,82
5.11408E+17,Positive,81
5.11408E+17,Negative,82
5.11408E+17,Negative,78
5.11408E+17,Negative,80
5.11408E+17,Positive,82
5.11408E+17,Negative,77
5.11408E+17,Negative,77
5.11408E+17,Neutral,80
5.11408E+17,Neutral,77
5.11408E+17,Neutral,78
5.11408E+17,Negative,77
5.11408E+17,Neutral,82
5.11408E+17,Positive,82
5.11408E+17,Neutral,78
5.11408E+17,Negative,80
5.11408E+17,Neutral,6
5.11409E+17,Neutral,80
5.11409E+17,Positive,77
5.11409E+17,Neutral,78
5.11409E+17,Positive,82
5.11409E+17,Neutral,81
5.11409E+17,Neutral,82
5.11409E+17,Neutral,80
5.11409E+17,Positive,80
5.11409E+17,Neutral,82
5.11409E+17,Neutral,77
5.11409E+17,Positive,80
5.11409E+17,Positive,77
5.11409E+17,Neutral,77
5.11409E+17,Neutral,78
5.11409E+17,Negative,77
5.11409E+17,Neutral,78
5.11409E+17,Negative,82
5.11409E+17,Positive,82
5.11409E+17,Neutral,78
5.11409E+17,Neutral,80
5.11409E+17,Positive,80
5.11409E+17,Neutral,80
5.11409E+17,Neutral,77
5.11409E+17,Positive,82
5.11409E+17,Positive,82
5.1141E+17,Neutral,81
5.1141E+17,Neutral,82
5.1141E+17,Negative,80
5.1141E+17,Negative,82
5.1141E+17,Positive,77
5.1141E+17,Negative,77
5.1141E+17,Positive,77
5.1141E+17,Neutral,78
5.1141E+17,Neutral,78
5.1141E+17,Positive,77
5.11411E+17,Neutral,82
5.11411E+17,Neutral,80
5.11411E+17,Positive,80
5.11411E+17,Positive,82
5.11411E+17,Positive,6
5.11411E+17,Neutral,80
5.11411E+17,Positive,77
5.11411E+17,Neutral,79
5.11411E+17,Negative,82
5.11411E+17,Positive,81
5.11411E+17,Neutral,78
5.11411E+17,Negative,82
5.11411E+17,Positive,80
5.11411E+17,Neutral,82
5.11411E+17,Neutral,77
5.11412E+17,Negative,77
5.11412E+17,Neutral,77
5.11412E+17,Positive,78
5.11412E+17,Neutral,77
5.11412E+17,Neutral,82
5.11412E+17,Positive,82
5.11412E+17,Neutral,78
5.11412E+17,Neutral,6
5.11412E+17,Positive,80
5.11412E+17,Negative,77
5.11412E+17,Negative,79
5.11413E+17,Positive,82
5.11413E+17,Neutral,80
5.11413E+17,Negative,81
