source_type,author,year,title,journal,volume,start_page,end_page,keywords,url,eppi_id,ID,publisher,issue,issn,TT,doi_url
JOUR,"Ewen, J.G. and Parker, K.A. and Richardson, K. and Armstrong, D. and Smuts-Kennedy, C.",2011,"Translocation of hihi Notiomystis cincta to Maungatautari, a mainland reserve protected by a predator-exclusion fence, Waikato, New Zealand",Conservation Evidence,8,58,65,"oceanic islands, predator control, Aves, birds, translocation, invasive mammals",https://conservationevidencejournal.com/reference/pdf/2348,2348,2348,NA,NA,NA,NA,https://conservationevidencejournal.com/reference/2348
JOUR,"Meddings, A. and Taylor, S. and Batty, L. and Knowles, M. and Latham , D.",2011,"Managing competition between birds and bats for roost boxes in small woodlands, north-east England",Conservation Evidence,8,74,80,"Chiroptera, competition, nest box, woodland management, forest management, brown long-eared bat, Plecotus auritus, Natterer's bat, Myotis nattereri, whiskered bat, Myotis mystacinus, Brandt's bat, Myotis brandtii",https://conservationevidencejournal.com/reference/pdf/2350,2350,2350,NA,NA,NA,NA,https://conservationevidencejournal.com/reference/2350
JOUR,"Horch, P. and Birrer, S.",2011,"Cattle exclosure plots to enhance breeding whinchat Saxicola rubetra numbers on sub-alpine pasture at Bever, Graubunden Canton, Switzerland",Conservation Evidence,8,81,86,"cattle grazing, grassland management, exclosures, nest, territory, hay meadow, sub-alpine pasture",https://conservationevidencejournal.com/reference/pdf/2351,2351,2351,NA,NA,NA,NA,https://conservationevidencejournal.com/reference/2351
JOUR,"Silva, C.M.N. and Silva, L. and Oliveira, N. and Geraldes, P. and Hervías, S.",2011,"Control of giant reed Arundo donax on Vila Franca do Campo Islet, Azores, Portugal",Conservation Evidence,8,93,99,"oceanic islands, invasive plants, herbicide, glyphosate, control, Lantana camara, Aves, bird, cutting, roseate tern, Sterna dougallii, Azorean fescue, Festuca petraea, firetree, Myrica faya, Azorean heather, Erica azorica, Azorean spurge, Euphorbia azorica, Roundup, Achyranhtes sicula, African tamarisk, Tamarix africana, American pokeweed, Phytolaca americana, Australian cheesewood, Pittosporum undulatum, maguey, Agave americana, Metrosideros tomentosa, red apple aptenia, Aptenia cordifolia, Portugal",https://conservationevidencejournal.com/reference/pdf/2353,2353,2353,NA,NA,NA,NA,https://conservationevidencejournal.com/reference/2353
RPRT,"DEFRA, .",2011,Grass silage as a new source of winter food for declining farmland birds,NA,BD1455,NA,NA,NA,NA,2476,2476,RSPB,NA,NA,NA,NA
JOUR,"Eggers, S. and Unell, M. and Part, T.",2011,Autumn-sowing of cereals reduces breeding bird numbers in a heterogeneous agricultural landscape,Biological Conservation,144,1137,1144,NA,NA,2626,2626,NA,3,0006-3207,NA,10.1016/j.biocon.2010.12.033
JOUR,"Peach, W.J. and Dodd, S. and Westbury, D.B. and Mortimer, S.R. and Lewis, P. and Brook, A.J. and Harris, S.J. and Kessock-Philip, R. and Buckingham, D.L. and Chaney, K.",2011,Cereal-based wholecrop silages: a potential conservation measure for farmland birds in pastoral landscapes,Biological Conservation,NA,836,850,NA,NA,2901,2901,NA,144,NA,NA,10.1016/j.biocon.2010.11.017
JOUR,"Briceño-Linares, J.M. and Rodríguez, J.P. and Rodríguez-Clark, K.M. and Rojas-Suárez, F. and Millán, P.A. and Vittori, E.G. and Carrasco-Muñoz, M.",2011,"Adapting to changing poaching intensity of yellow-shouldered parrot (Amazona barbadensis) nestlings in Margarita Island, Venezuela",Biological Conservation,144,1188,1193,NA,NA,3110,3110,NA,4,0006-3207,NA,10.1016/j.biocon.2010.12.010
JOUR,"Pople, R.G. and Esquivel, A.",2012,"Response of white-winged nightjars Eleothreptus candicans to a prescribed burn of cerrado grassland at Bosque Mbaracayú Biosphere Reserve, Paraguay",Conservation Evidence,9,36,42,"Aves, White-winged Nightjar, radio-tracking, savanna, prescribed burn, habitat use, cerrado, Eleothreptus candicans, fire management, Caprimulgidae, bird, Caprimulgus candicans",https://conservationevidencejournal.com/reference/pdf/3573,3573,3573,NA,NA,1758-2067,NA,https://conservationevidencejournal.com/reference/3573
JOUR,"Smith, R.K. and Pullin, A.S. and Stewart, G.B. and Sutherland, W.J.",2011,Is nest predator exclusion an effective strategy for enhancing bird populations?,Biological Conservation,144,1,10,NA,NA,3653,3653,NA,NA,NA,NA,10.1016/j.biocon.2010.05.008
JOUR,"Krabbe, N. and Juiña, M. and Sornoza, A.F.",2011,Marked population increase in pale-headed brush-finch Atlapetes pallidiceps in response to cowbird control,Journal of Ornithology,152,219,222,NA,NA,3676,3676,NA,NA,NA,NA,10.1007/s10336-010-0567-z
RPRT,"Dadam, D. and Barimore, C.J. and Shawyer , C.R. and Leech , D.I.",2011,The BTO barn owl monitoring programme: Final report 2000-2009,NA,BTO Research Report 577,NA,NA,NA,NA,3851,3851,British Trust for Ornithology,NA,NA,NA,NA
