study.id,publication.year,publication.title,journal.name,doi,url,doi_clean,doi_url,ab_clean,intervention_count
2334,2011,"Lemur bridges provide crossing structures over roads within a forested mining concession near Moramanga, Toamasina Province, Madagascar",Conservation Evidence,NA,https://conservationevidencejournal.com/reference/pdf/2334,NA,NA,"The Ambatovy Project includes a large, open-pit nickel mine located in Madagascar's eastern humid forest, and an associated pipeline to remove laterite slurry off site. The area is recognized for its high biodiversity exemplified by the presence of at least 13 lemur species in forests surrounding the mine site. In order to reduce potential habitat fragmentation impacts on the lemur populations as a consequence of recent access road construction, seven crossing structures (referred to as 'lemur bridges') were erected within the mine footprint area and along the slurry pipeline that will remain in place until rehabilitated forest allows for movement over roads via the forest canopy. Two bridge designs were used due to differences in road width and vehicle traffic type. Lemur bridges have been monitored since their construction in January-February 2009. To date (10 August 2010), bridges have been used by six lemur species. Mine footprint type bridges (suspension bridge design) have been used more frequently than slurry pipeline bridges (plank bridge design) and, overall, there has been an increase in bridge use in 2010 when compared to 2009 (from 8% to 24% of total observations where lemurs are present in proximity to bridges). These results suggest that although a certain time period may be required for lemurs to locate and habituate to bridges, these crossing structures offer an effective mitigation measure to assist in reducing the impacts of habitat fragmentation.",1
2347,2011,Use of badger tunnels on Highway Agency schemes in England,Conservation Evidence,NA,https://www.conservationevidence.com/individual-study/2347,NA,NA,"Monitoring of badger tunnels using clay mats on nine Highways Agency road schemes was undertaken to establish their effectiveness in terms of use by large mammals (primarily European badger Meles meles), as well as the efficacy of tunnel design advice provided by the agency. The results indicate that tunnels are an effective means of mitigating the effects of all types of new road schemes on badgers; 89% of the tunnels monitored were used. The results suggest that no one factor is of over-riding importance in tunnel design; however, design features that appeared to be associated with the use of tunnels were good vegetation cover, habitat connectivity, good drainage and a tunnel width of at least 600 mm.",1
2350,2011,"Managing competition between birds and bats for roost boxes in small woodlands, north-east England",Conservation Evidence,NA,https://conservationevidencejournal.com/reference/pdf/2350,NA,NA,"A total of 196 bat boxes were installed between 2005 and 2009 across 21 sites throughout the Highways Agency's (HA) 'soft estate' woodland in north-east England in support of the HA's Biodiversity Action Plan. The woodlands are typically small linear blocks (<3 ha) with trees mostly less than 40 years of age. Suitable natural cavity sites are thus very limited, hence the attractiveness of bat boxes as a conservation measure to enhance these woodland habitats. Monitoring in 2006-2007 had shown that in some areas (seven woodland sites) over 40% of bat boxes were being used by nesting passerine birds. Bird boxes were installed in an attempt to reduce bird occupancy of bat boxes. Provision of bird boxes significantly reduced bird use of bat boxes (a 50% overall reduction in occupancy) thus potentially making more bat boxes available for bat use. We also assessed if there was any relationship between the number/density of available bat boxes and level of bat occupancy to assess if there was a limit to the occupancy levels that could be achieved, thus determining an approach that could maximise benefits and cost effectiveness of box installation. Occupancy of bat boxes by bats appears not to increase above 30% utilisation with an increasing number of boxes on site after eight boxes. This suggests that, as bat boxes are installed three boxes per tree (as per best practice guidelines), the optimal number to install would generally be between nine to 12 boxes in these small woodland areas.",1
3540,2012,"Adder <i>Vipera berus</i> hibernacula construction as part of a mitigation scheme, Norfolk, England",Conservation Evidence,NA,https://conservationevidencejournal.com/reference/pdf/3540,NA,NA,"A significant adder, Vipera berus, population was identified within the Upper Thurne river catchment during baseline surveys in 2009. An adder bank (hibernacula) was constructed in the autumn 2009 in advance of flood defence works at Horsey in 2010 to mitigate any temporary loss of hibernation and natal den sites. Reptile fencing was erected around the adder banks and some adjacent grazing marshes in February 2010 to create reptile enclosures. During March to May 2010, 119 adders were moved to the adder banks from the flood banks that were then stripped of vegetation and topsoil to discourage animals from re-entering the working corridor. Sections of the adder fencing were removed in mid-May to allow animals to disperse to their summer foraging grounds. Surveys during summer 2010 indicated breeding success within the banks. Pre hibernation surveys in 2010 recorded a peak count of 22 animals, and a spring emergence survey of the adder bank in 2011 identified 17 individual adders. A further four were recorded using an adjacent store of rush, Juncus, bales. Monitoring through summer and autumn 2011 identified a further 16 individual animals on or close to the adder bank, including six gravid adders. Eighteen out of the 33 adders recorded using the adder banks in 2011 were recaptures. Fifteen 'new' adders (i.e. not relocated during the 2010 mitigation) were subsequently identified as using the adder banks to hibernate or give birth. The total cost of constructing the adder banks and erecting/dismantling the reptile fencing was £63,500.",2
3543,2012,"Mitigating habitat loss by artificial egg laying sites for Reunion day gecko <i>Phelsuma borbonica</i>, Sainte Rose, Reunion Island",Conservation Evidence,NA,http://m.www.conservationevidence.com/reference/download/3543,NA,NA,"During the construction of a water storage tank for a hydroelectric plant, areas of natural habitat of the Reunion day gecko were destroyed by embankments of deposited excavated material. To offset this impact and encourage the gecko's return, 40 artificial egg laying site (AELS) were established in the area between September 2009 and July 2010. An AELS provides the gecko with a site for oviposition, shelter and basking. Since their installation, the number of AELS used for reproduction increased from 11.8% (4/34) in June 2010 to 20% (8/40) in September 2011. Also, the number of eggs has progressively increased: 10 in June 2010, 23 in September 2010, 36 in March 2011 and 41 in September 2011.",2
3564,2012,"A trial wild-wild translocation of the critically endangered grand skink <i>Oligosoma grande</i> in Otago, New Zealand",Conservation Evidence,NA,https://conservationevidencejournal.com/reference/pdf/3564,NA,NA,"The in situ management of the critically endangered grand skink Oligosoma grande currently hinges on the on-going health of a single large sub-population at Macraes Flat, Otago. Given its vulnerability, it was considered desirable to establish additional sub-populations to ensure the long-term survival of the species. A spatial meta-population simulation of grand skinks at Macraes Flat suggested that this could be facilitated by the translocation of grand skinks into areas of predator protected habitat. Areas identified by modeling as suitable translocation sites were ground-truthed by an experienced survey team in 2008. In October 2009 we began a translocation trial. We moved nineteen grand skinks from three locations to the translocation site. The founder population was made up of ten juveniles and nine sexually mature grand skinks. Seasonal estimation of persistence and abundance using a photographic re-sight methodology allowed the short- and medium-term performance of the translocation to be assessed. High initial persistence rates suggested immediate homing was not a factor of concern. After one year, all translocated juveniles had persisted, but only four of the original nine adults remained at the release site. While the loss of adults was to some extent offset by the birth of the young-of-the-year (total skinks start: n = 19, finish: n = 20) there was a moderate loss of ~ 10% in terms of the population's expected reproductive value. Overall, we viewed the outcome as favorable and on that basis undertook a follow up translocation.",1
3574,2012,"Reducing the impacts of leg hold trapping on critically endangered foxes by modified traps and conditioned trap aversion on San Nicolas Island, California, USA",Conservation Evidence,NA,https://www.conservationevidence.com/individual-study/3574,NA,NA,"Padded leg-hold live traps were used as the primary removal technique in the successful eradication of feral cats Felis silvestris catus from San Nicolas Island, California, USA. Risk of injury to endemic San Nicolas Island foxes Urocyon littoralis dickeyi, a similarly sized and more abundant non-target species, was mitigated by using a smaller trap size, modifying the trap and trap set to reduce injuries, and utilising a trap monitoring system to reduce time animals spent in traps. Impacts to foxes during the eradication campaign were further reduced by having a mobile veterinary hospital on island to treat injured foxes. Compared to other reported fox trapping efforts, serious injuries were reduced 2-7 times. Trapping efforts exceeded animal welfare standards, with 95% of fox captures resulting in minor or no injuries. Older foxes were more likely to receive serious injury. Fox captures were also reduced through aversive conditioning, with initial capture events providing a negative stimulus to prevent recaptures. Fox capture rates decreased up to six times during seven months of trapping, increasing trap availability for cats, and improving the efficacy of the cat eradication program. No aspect of the first capture event was significantly linked to the chance of recapture.",1
4028,2013,"A comparison of different bat box types by bat occupancy in deciduous woodland, Buckinghamshire, UK",Conservation Evidence,NA,https://conservationevidencejournal.com/reference/pdf/4028,NA,NA,"An experiment was conducted to determine if Natterer's bat Myotis nattereri and brown long-eared bat Plecotus auritus exhibited an occupation preference between five different bat box types in an ancient, lowland mixed deciduous woodland in Buckinghamshire. Groups of Schwegler 2F, 2FN, 1FS, 1FF woodcrete boxes and 1 wooden Apex box were erected in 13 locations (5 around each tree). The box clusters were located on trees with a proven history of good box occupancy levels - part of a 10 year woodland bat box scheme. The group positions were evenly spaced along a transect line of 300m in homogenous habitat of predominantly semi mature Pendunculate Oak Quercus robur and Ash Fraxinus excelsior closed canopy with lapsed Hazel Corylus avellana coppice understorey. The temperature regimes of the boxes were compared and found to be similar, and consistent with the ambient temperature due to the shaded nature of the sites. Aspect was experimentally controlled by progressively rotating the box positions around the tree. The occupancy rates of the five boxes were compared and showed a selection bias towards two box types, influenced by seasonal bird competition.",1
4789,2012,Influence of conservation programs on amphibians using seasonal wetlands in the Prairie Pothole region,Wetlands,10.1007/s13157-012-0269-9,http://dx.doi.org/doi:10.1007/s13157-012-0269-9,10.1007/s13157-012-0269-9,https://doi.org/10.1007/s13157-012-0269-9,"Extensive modification of upland habitats surrounding wetlands to facilitate agricultural production has negatively impacted amphibian communities in the Prairie Pothole Region of North America. In attempts to mitigate ecosystem damage associated with extensive landscape alteration, vast tracks of upland croplands have been returned to perennial vegetative cover (i.e., conservation grasslands) under a variety of U.S. Department of Agriculture programs. We evaluated the influence of these conservation grasslands on amphibian occupancy of seasonal wetlands in the Prairie Pothole Region. Using automated call surveys, aquatic funnel traps, and visual encounter surveys, we detected eight amphibian species using wetlands within three land-use categories (farmed, conservation grasslands, and native prairie grasslands) during the summers of 2005 and 2006. Seasonal wetlands within farmlands were used less frequently by amphibians than those within conservation and native prairie grasslands, and wetlands within conservation grasslands were used less frequently than those within native prairie grasslands by all species and life-stages we successfully modeled. Our results suggest that, while not occupied as frequently as wetlands within native prairie, wetlands within conservation grasslands provide important habitat for maintaining amphibian biodiversity in the Prairie Pothole Region. © The Author(s) 2012.",2
4801,2011,Towards a better understanding of the use of probiotics for preventing chytridiomycosis in Panamanian golden frogs,EcoHealth,10.1007/s10393-012-0743-0,http://dx.doi.org/DOI:10.1007/s10393-012-0743-0,10.1007/s10393-012-0743-0,https://doi.org/10.1007/s10393-012-0743-0,"Populations of native Panamanian golden frogs (Atelopus zeteki) have collapsed due to a recent chytridiomycosis epidemic. Reintroduction efforts from captive assurance colonies are unlikely to be successful without the development of methods to control chytridiomycosis in the wild. In an effort to develop a protective treatment regimen, we treated golden frogs with Janthinobacterium lividum, a skin bacterium that has been used to experimentally prevent chytridiomycosis in North American amphibians. Although J. lividum appeared to colonize A. zeteki skin temporarily, it did not prevent or delay mortality in A. zeteki exposed to Batrachochytrium dendrobatidis, the causative agent of chytridiomycosis. After introduction of J. lividum, average bacterial cell counts reached a peak of 1.7 ◊ 10(6) cells per frog ~2 weeks after treatment but declined steadily after that. When J. lividum numbers declined to ~2.8 ◊ 10(5) cells per frog, B. dendrobatidis infection intensity increased to greater than 13,000 zoospore equivalents per frog. At this point, frogs began to die of chytridiomycosis. Future research will concentrate on isolating and testing antifungal bacterial species from Panama that may be more compatible with Atelopus skin.",1
