"study.id","journal.name","publication.title","doi","url","doi_clean","doi_url"
2,"Journal of Applied Ecology","The management of grass pastures for brent geese",NA,"http://www.jstor.org/stable/2404543",NA,NA
22,"Journal of Applied Ecology","Elements that promote highway crossing structure use by small mammals in Banff National Park",NA,"ttps://doi.org/10.1111/j.1365-2664.2004.00877.x","10.1111/j.1365-2664.2004.00877.x","https://doi.org/10.1111/j.1365-2664.2004.00877.x"
27,"Journal of Applied Ecology","Animal translocation for conservation: performance of dormice in relation to relase methods, origin and season",NA,"https://www.jstor.org/stable/2404160",NA,NA
48,"Biological Conservation","Adding burrows to enhance a population of the endangered pygmy blue tongue lizard, <i>Tiliqua adelaidensis</i>",NA,"http://dx.doi.org/10.1016/S0006-3207(03)00232-5","10.1016/S0006-3207(03)00232-5","https://doi.org/10.1016/S0006-3207(03)00232-5"
51,"Biological Conservation","A translocation experiment for the conservation of maned sloths, <i>Bradypus torquatus</i> (Xenarthra, Bradypodidae)",NA,"https://doi.org/10.1016/j.biocon.2003.09.019","10.1016/j.biocon.2003.09.019","https://doi.org/10.1016/j.biocon.2003.09.019"
57,"Journal of Applied Ecology","Foraging by bats in cleared, thinned and unharvested boreal forest",NA,"https://www.jstor.org/stable/3505838",NA,NA
60,"Southeastern Naturalist","Effects of prescribed fire on herpetofauna in bottomland hardwood forests",NA,"https://doi.org/10.1656/1528-7092(2003)002[0475:EOPFOH]2.0.CO;2","10.1656/1528-7092(2003)002[0475:EOPFOH]2.0.CO;2","https://doi.org/10.1656/1528-7092(2003)002[0475:EOPFOH]2.0.CO;2"
61,"British Wildlife","Putting dormice (<i>Muscardinus avellanarius</i>) back on the map",NA,"https://www.researchgate.net/publication/293515127_Putting_Dormice_back_on_the_map",NA,NA
98,"Mammal Review","The use of nest boxes by the red squirrel <i>Sciurus vulgaris</i> in a coniferous habitat",NA,"http://www.italian-journal-of-mammalogy.it/Are-nest-boxes-a-useful-tool-in-regional-red-squirrel-conservation-programs-,77198,0,2.html",NA,NA
99,NA,"Eradication of invasive rats on Sangalaki-Island, East-Kalimantan: Part of a project for marine turtle conservation",NA,"https://caribbeaninvasives.org/wp-content/uploads/2021/01/Report-InGrip-No.-1-t6FF0A.pdf",NA,NA
102,"New Zealand Journal of Zoology","Effects of a mouse, <i>Mus musculus</i>, eradication programme and habitat change on lizard populations of Mana Island, New Zealand, with special reference to McGregor's skink, <i>Cyclodina macgregori</i>",NA,"https://doi.org/10.1080/03014223.1994.9518015","10.1080/03014223.1994.9518015","https://doi.org/10.1080/03014223.1994.9518015"
