"study.id","ce.website.link","intervention.name","synopsis.name","publication.year","journal.name","publication.title","doi","citation","url"
1018,"https://www.conservationevidence.com/individual-study/1018","Rehabilitate injured, sick or weak mammals","Terrestrial Mammal Conservation",2006,"Biological Conservation","The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>)","https://doi.org/10.1016/j.biocon.2006.01.015","Molony S.E., Dowding C.V., Baker P.J., Cuthill I.C. & Harris S. (2006) The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>). <i>Biological Conservation</i>, 130, 530-537","https://doi.org/10.1016/j.biocon.2006.01.015"
1018,"https://www.conservationevidence.com/individual-study/1018","Provide supplementary food during/after release of translocated mammals","Terrestrial Mammal Conservation",2006,"Biological Conservation","The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>)","https://doi.org/10.1016/j.biocon.2006.01.015","Molony S.E., Dowding C.V., Baker P.J., Cuthill I.C. & Harris S. (2006) The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>). <i>Biological Conservation</i>, 130, 530-537","https://doi.org/10.1016/j.biocon.2006.01.015"
1018,"https://www.conservationevidence.com/individual-study/1018","Hold translocated mammals in captivity before release","Terrestrial Mammal Conservation",2006,"Biological Conservation","The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>)","https://doi.org/10.1016/j.biocon.2006.01.015","Molony S.E., Dowding C.V., Baker P.J., Cuthill I.C. & Harris S. (2006) The effect of translocation and temporary captivity on wildlife rehabilitation success: an experimental study using European hedgehogs (<i>Erinaceus europaeus</i>). <i>Biological Conservation</i>, 130, 530-537","https://doi.org/10.1016/j.biocon.2006.01.015"
1077,"https://www.conservationevidence.com/individual-study/1077","Place orphaned or abandoned wild young with captive foster parents","Terrestrial Mammal Conservation",2007,"Biological Conservation","Effects of rearing methods on survival of released free-ranging juvenile southern sea otters","https://doi.org/10.1016/j.biocon.2007.04.026","Nicholson T.E., Mayer K.A., Staedler M.M. & Johnson A.B. (2007) Effects of rearing methods on survival of released free-ranging juvenile southern sea otters. <i>Biological Conservation</i>, 138, 313-320","https://doi.org/10.1016/j.biocon.2007.04.026"
1077,"https://www.conservationevidence.com/individual-study/1077","Hand-rear orphaned or abandoned young in captivity","Terrestrial Mammal Conservation",2007,"Biological Conservation","Effects of rearing methods on survival of released free-ranging juvenile southern sea otters","https://doi.org/10.1016/j.biocon.2007.04.026","Nicholson T.E., Mayer K.A., Staedler M.M. & Johnson A.B. (2007) Effects of rearing methods on survival of released free-ranging juvenile southern sea otters. <i>Biological Conservation</i>, 138, 313-320","https://doi.org/10.1016/j.biocon.2007.04.026"
1164,"https://www.conservationevidence.com/individual-study/1164","Treat disease in wild mammals","Terrestrial Mammal Conservation",2008,"European Journal of Wildlife Research","Treatment of foot rot in free-ranging mouflon (<i>Ovis gmelini musimon</i>) populations; does it make sense?",NA,"Volmer K., Hecht W., Weiß  R. & Grauheding D. (2008) Treatment of foot rot in free-ranging mouflon (<i>Ovis gmelini musimon</i>) populations; does it make sense? <i>European Journal of Wildlife Research</i>, 54, 657-665","https://link.springer.com/article/10.1007/s10344-008-0192-9"
1447,"https://www.conservationevidence.com/individual-study/1447","Translocate to re-establish or boost populations in native range","Terrestrial Mammal Conservation",1981,"Biological Conservation","The British Columbia transplant of sea otters <i>Enhydra lutris</i>",NA,"Morris R., Ellis D.V. & Emerson B.P. (1981) The British Columbia transplant of sea otters <i>Enhydra lutris</i>. <i>Biological Conservation</i>, 20, 291-295","https://doi.org/10.1016/j.biocon.2007.04.026"
4947,"https://www.conservationevidence.com/individual-study/4947","Captive breeding salamanders (including newts)","Amphibian Conservation",2004,"Endangered Species Research","Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>","10.3354/esr001011","Kinne O. (2004) Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>. <i>Endangered Species Research</i>, 1, 25-40","http://dx.doi.org/DOI:10.3354/esr001025"
4947,"https://www.conservationevidence.com/individual-study/4947","Release captive-bred salamanders (including newts)","Amphibian Conservation",2004,"Endangered Species Research","Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>","10.3354/esr001011","Kinne O. (2004) Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>. <i>Endangered Species Research</i>, 1, 25-40","http://dx.doi.org/DOI:10.3354/esr001025"
4947,"https://www.conservationevidence.com/individual-study/4947","Create ponds for great crested newts","Amphibian Conservation",2004,"Endangered Species Research","Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>","10.3354/esr001011","Kinne O. (2004) Successful re-introduction of the newts <i>Triturus cristatus</i> and <i>T. vulgaris</i>. <i>Endangered Species Research</i>, 1, 25-40","http://dx.doi.org/DOI:10.3354/esr001025"
