"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn_wos","eissn_wos","issn_scopus","eissn_scopus","issn_clean","eissn_clean","flag_conservation"
"1",1,1,"specialist","ACTA BIOLOGICA SIBIRICA","N","Y","Y",NA,NA,NA,"2412-1908",NA,"2412-1908",0
"2",2,2,"specialist","ACTA GEOGRAPHICA UNIVERSITATIS COMENIANAE","N","Y","Y",NA,NA,"1338-6034",NA,"1338-6034",NA,0
"3",3,3,"specialist","ACTA OECOLOGICA","N","Y","Y",NA,NA,"1146-609X",NA,"1146-609X",NA,0
"4",4,4,"specialist","ACTA PRATACULTURAE SINICA","N","Y","Y",NA,NA,"1004-5759",NA,"1004-5759",NA,0
"5",5,5,"specialist","ACTA SCIENTIARUM POLONORUM, ADMINISTRATIO LOCORUM","N","Y","Y",NA,NA,"1644-0749","2450-0771","1644-0749","2450-0771",0
"6",6,NA,"specialist","Advances in Asian Human-Environmental Research",NA,"Y","Y",NA,NA,"1879-7180","1879-7199","1879-7180","1879-7199",0
"7",7,6,"specialist","AESTIMUM","N","Y","Y",NA,NA,"1592-6117","1724-2118","1592-6117","1724-2118",0
"8",8,190,"specialist","AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE","Y","N","Y",NA,NA,"1022-0119","1727-9380","1022-0119","1727-9380",0
"9",9,191,"specialist","AFRICAN NATURAL HISTORY","Y","N","Y",NA,NA,"1816-8396",NA,"1816-8396",NA,0
"10",10,7,"specialist","AGRAARTEADUS","N","Y","Y",NA,NA,"1024-0845","2228-4893","1024-0845","2228-4893",0
"11",11,8,"specialist","AGRICULTURE AND FORESTRY","N","Y","Y",NA,NA,"0554-5579","1800-6492","0554-5579","1800-6492",0
"12",12,9,"specialist","ALAM CIPTA","N","Y","Y",NA,NA,"1823-7231","2289-3687","1823-7231","2289-3687",0
"13",13,192,"specialist","AMERICAN MIDLAND NATURALIST","Y","N","Y","0003-0031","1938-4238","0003-0031",NA,"0003-0031","1938-4238",0
"14",14,193,"specialist","AMERICAN MUSEUM NOVITATES","Y","N","Y","0003-0082","1937-352X","0003-0082",NA,"0003-0082","1937-352X",0
"15",15,194,"specialist","AMERICAN NATURALIST","Y","N","Y",NA,NA,"0003-0147","1537-5323","0003-0147","1537-5323",0
"16",16,10,"specialist","AMPHIBIAN AND REPTILE CONSERVATION","N","Y","Y",NA,NA,"1083-446X","1525-9153","1083-446X","1525-9153",1
"17",17,11,"specialist","ANIMAL BIODIVERSITY AND CONSERVATION","Y","Y","Y","1578-665X","2014-928X","1578-665X","2014-928X","1578-665X","2014-928X",1
"18",18,NA,"specialist","Animal Biotelemetry","Y","N","Y",NA,"2050-3385",NA,"2050-3385",NA,"2050-3385",0
"19",19,12,"specialist","ANIMAL CONSERVATION","Y","Y","Y","1367-9430","1469-1795","1367-9430","1469-1795","1367-9430","1469-1795",1
"20",20,13,"specialist","ANNALES ZOOLOGICI FENNICI","N","Y","Y",NA,NA,"0003-455X",NA,"0003-455X",NA,0
"21",21,NA,"specialist","Anthropocene Coasts",NA,"Y","Y",NA,NA,NA,"2561-4150",NA,"2561-4150",0
"22",22,14,"specialist","APPLIED VEGETATION SCIENCE","N","Y","N",NA,NA,"1402-2001","1654-109X","1402-2001","1654-109X",0
"23",23,15,"specialist","AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS","N","Y","Y",NA,NA,"1052-7613","1099-0755","1052-7613","1099-0755",1
"24",24,16,"specialist","AQUATIC MAMMALS","N","Y","Y",NA,NA,"0167-5427","1996-7292","0167-5427","1996-7292",0
"25",25,17,"specialist","ARCHIDOCT","N","Y","Y",NA,NA,NA,"2309-0103",NA,"2309-0103",0
"26",26,18,"specialist","ARCHITECTURE AND URBAN PLANNING","N","Y","Y",NA,NA,"1691-4333","2255-8764","1691-4333","2255-8764",0
"27",27,19,"specialist","AREA DEVELOPMENT AND POLICY","N","Y","Y",NA,NA,NA,"2379-2957",NA,"2379-2957",0
"28",28,20,"specialist","ASIAN JOURNAL OF CONSERVATION BIOLOGY","N","Y","Y",NA,NA,NA,"2278-7666",NA,"2278-7666",1
"29",29,21,"specialist","ASIA-PACIFIC JOURNAL OF INNOVATION IN HOSPITALITY AND TOURISM","N","Y","Y",NA,NA,"2289-1471",NA,"2289-1471",NA,0
"30",30,22,"specialist","ATELIE GEOGRAFICO","N","Y","Y",NA,NA,NA,"1982-1956",NA,"1982-1956",0
"31",31,23,"specialist","AUSTRIAN JOURNAL OF FOREST SCIENCE","N","Y","Y",NA,NA,"0379-5292",NA,"0379-5292",NA,0
"32",32,24,"specialist","AVIAN CONSERVATION AND ECOLOGY","Y","Y","Y","1712-6568",NA,"1712-6568","1712-6576","1712-6568","1712-6576",1
"33",33,NA,"specialist","Banko Janakari",NA,"Y","Y",NA,NA,"1016-0582","2631-2301","1016-0582","2631-2301",0
"34",34,25,"specialist","BIODIVERSITY","N","Y","Y",NA,NA,"1488-8386","2160-0651","1488-8386","2160-0651",0
"35",35,26,"specialist","BIODIVERSITY AND CONSERVATION","Y","Y","Y","0960-3115","1572-9710","0960-3115","1572-9710","0960-3115","1572-9710",1
"36",36,195,"specialist","BIODIVERSITY DATA JOURNAL","Y","N","Y","1314-2836","1314-2828",NA,"1314-2828","1314-2836","1314-2828",0
"37",37,27,"specialist","BIODIVERSITY SCIENCE","N","Y","Y",NA,NA,"1005-0094",NA,"1005-0094",NA,0
"38",38,196,"specialist","BIOINVASIONS RECORDS","Y","N","Y",NA,"2242-1300",NA,"2242-1300",NA,"2242-1300",0
"39",39,28,"specialist","BIOLOGICAL CONSERVATION","Y","Y","Y","0006-3207","1873-2917","0006-3207",NA,"0006-3207","1873-2917",1
"40",40,NA,"specialist","BIOLOGICAL INVASIONS","Y","N","Y","1387-3547","1573-1464","1387-3547","1573-1464","1387-3547","1573-1464",0
"41",41,29,"specialist","BIOTA COLOMBIANA","N","Y","Y",NA,NA,"0124-5376","2539-200X","0124-5376","2539-200X",0
"42",42,197,"specialist","BIOTA NEOTROPICA","Y","N","Y","1676-0603","1676-0603","1676-0611","1676-0603","1676-0603","1676-0603",0
"43",43,30,"specialist","BIRD CONSERVATION INTERNATIONAL","Y","Y","Y","0959-2709","1474-0001","0959-2709","1474-0001","0959-2709","1474-0001",1
"44",44,31,"specialist","BIRD STUDY","N","Y","Y",NA,NA,"0006-3657","1944-6705","0006-3657","1944-6705",0
"45",45,32,"specialist","BRITISH WILDLIFE","N","Y","Y",NA,NA,"0958-0956",NA,"0958-0956",NA,0
"46",46,198,"specialist","BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","Y","N","Y","0003-0090","1937-3546","0003-0090",NA,"0003-0090","1937-3546",0
"47",47,199,"specialist","BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY","Y","N","Y","0079-032X","2162-4135","0079-032X","2162-4135","0079-032X","2162-4135",0
"48",48,33,"specialist","CAB REVIEWS: PERSPECTIVES IN AGRICULTURE, VETERINARY SCIENCE, NUTRITION AND NATURAL RESOURCES","N","Y","Y",NA,NA,"1749-8848",NA,"1749-8848",NA,0
"49",49,200,"specialist","CANADIAN FIELD-NATURALIST","Y","N","Y",NA,NA,"0008-3550",NA,"0008-3550",NA,0
"50",50,201,"specialist","CARIBBEAN JOURNAL OF SCIENCE","Y","N","Y","0008-6452","0008-6452","0008-6452",NA,"0008-6452","0008-6452",0
"51",51,34,"specialist","CHALLENGES IN SUSTAINABILITY","N","Y","Y",NA,NA,NA,"2297-6477",NA,"2297-6477",0
"52",52,35,"specialist","CHANGE OVER TIME","N","Y","Y",NA,NA,"2153-053X","2153-0548","2153-053X","2153-0548",0
"53",53,NA,"specialist","Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley",NA,"Y","Y",NA,NA,"1004-8227",NA,"1004-8227",NA,0
"54",54,NA,"specialist","Coastal Research Library",NA,"Y","Y",NA,NA,"2211-0577","2211-0585","2211-0577","2211-0585",0
"55",55,36,"specialist","COLOMBIA FORESTAL","N","Y","Y",NA,NA,"0120-0739","2256-201X","0120-0739","2256-201X",0
"56",56,37,"specialist","CONSERVATION AND SOCIETY","N","Y","Y",NA,NA,"0972-4923","0975-3133","0972-4923","0975-3133",1
"57",57,38,"specialist","CONSERVATION BIOLOGY","Y","Y","Y","0888-8892","1523-1739","0888-8892","1523-1739","0888-8892","1523-1739",1
"58",58,39,"specialist","CONSERVATION EVIDENCE","N","Y","Y",NA,NA,"1758-2067",NA,"1758-2067",NA,1
"59",59,202,"specialist","CONSERVATION GENETICS","Y","N","Y","1566-0621","1572-9737","1566-0621","1572-9737","1566-0621","1572-9737",1
"60",60,203,"specialist","CONSERVATION GENETICS RESOURCES","Y","N","N","1877-7252","1877-7260","1877-7252","1877-7260","1877-7252","1877-7260",1
"61",61,40,"specialist","CONSERVATION LETTERS","Y","Y","Y","1755-263X","1755-263X","1755-263X",NA,"1755-263X","1755-263X",1
"62",62,41,"specialist","CONSERVATION PHYSIOLOGY","Y","Y","Y","2051-1434","2051-1434",NA,"2051-1434",NA,"2051-1434",1
"63",63,204,"specialist","CONSERVATION SCIENCE AND PRACTICE","Y","N","Y",NA,"2578-4854",NA,"2578-4854",NA,"2578-4854",1
"64",64,42,"specialist","CONSERVATION SCIENCE WESTERN AUSTRALIA","N","Y","Y",NA,NA,"1447-3682",NA,"1447-3682",NA,1
"65",65,43,"specialist","CUADERNOS DE TURISMO","N","Y","Y",NA,NA,"1139-7861","1989-4635","1139-7861","1989-4635",0
"66",66,44,"specialist","CURRENT ENVIRONMENTAL HEALTH REPORTS","N","Y","Y",NA,NA,NA,"2196-5412",NA,"2196-5412",0
"67",67,45,"specialist","CURRENT FORESTRY REPORTS","N","Y","Y",NA,NA,NA,"2198-6436",NA,"2198-6436",0
"68",68,46,"specialist","DIVERSITY","Y","Y","Y",NA,"1424-2818","1424-2818",NA,"1424-2818","1424-2818",0
"69",69,205,"specialist","DIVERSITY AND DISTRIBUTIONS","Y","N","Y","1366-9516","1472-4642","1366-9516","1472-4642","1366-9516","1472-4642",0
"70",70,206,"specialist","DODO","Y","N","Y",NA,NA,"0265-5640",NA,"0265-5640",NA,0
"71",71,47,"specialist","ECO.MONT","N","Y","Y","2073-106X","2073-1558","2073-106X","2073-1558","2073-106X","2073-1558",0
"72",72,207,"specialist","ECOGRAPHY","Y","N","Y","0906-7590","1600-0587","0906-7590","1600-0587","0906-7590","1600-0587",0
"73",73,48,"specialist","ECOLOGIA BALKANICA","N","Y","Y",NA,NA,"1314-0213","1313-9940","1314-0213","1313-9940",0
"74",74,49,"specialist","ECOLOGICAL ENGINEERING","N","Y","Y",NA,NA,"0925-8574",NA,"0925-8574",NA,0
"75",75,50,"specialist","ECOLOGICAL ENGINEERING: X","N","Y","Y",NA,NA,NA,"2590-2903",NA,"2590-2903",0
"76",76,51,"specialist","ECOLOGICAL MANAGEMENT AND RESTORATION","N","Y","Y",NA,NA,"1442-7001","1442-8903","1442-7001","1442-8903",0
"77",77,52,"specialist","ECOLOGICAL RESTORATION","N","Y","Y",NA,NA,"1522-4740","1543-4079","1522-4740","1543-4079",0
"78",78,53,"specialist","ECOLOGY AND EVOLUTION","N","Y","Y",NA,NA,"2045-7758",NA,"2045-7758",NA,0
"79",79,NA,"specialist","Ecology, Economy and Society","N","Y","Y",NA,NA,"2581-6152","2581-6101","2581-6152","2581-6101",0
"80",80,54,"specialist","ECOLOGY, ENVIRONMENT AND CONSERVATION","N","Y","Y",NA,NA,"0971-765X",NA,"0971-765X",NA,1
"81",81,55,"specialist","ECOSYSTEM SERVICES","N","Y","Y",NA,NA,"2212-0416",NA,"2212-0416",NA,0
"82",82,56,"specialist","ECOSYSTEMS AND PEOPLE","N","Y","Y",NA,NA,"2639-5908","2639-5916","2639-5908","2639-5916",0
"83",83,57,"specialist","EFI NEWS","N","Y","Y",NA,NA,"1236-7850",NA,"1236-7850",NA,0
"84",84,58,"specialist","EKOLOJI","N","Y","Y",NA,NA,"1300-1361",NA,"1300-1361",NA,0
"85",85,59,"specialist","EMU","N","Y","Y",NA,NA,"0158-4197","1448-5540","0158-4197","1448-5540",0
"86",86,60,"specialist","ENDANGERED SPECIES RESEARCH","Y","Y","Y","1863-5407","1613-4796","1863-5407","1613-4796","1863-5407","1613-4796",0
"87",87,61,"specialist","ENVIRONMENT AND ECOLOGY RESEARCH","N","Y","Y",NA,NA,"2331-625X","2331-6268","2331-625X","2331-6268",0
"88",88,62,"specialist","ENVIRONMENT AND PLANNING B: PLANNING AND DESIGN","N","Y","Y",NA,NA,"0265-8135","1472-3417","0265-8135","1472-3417",0
"89",89,63,"specialist","ENVIRONMENT AND PLANNING B: URBAN ANALYTICS AND CITY SCIENCE","N","Y","Y",NA,NA,"2399-8083","2399-8091","2399-8083","2399-8091",0
"90",90,64,"specialist","ENVIRONMENT AND SOCIETY: ADVANCES IN RESEARCH","N","Y","Y",NA,NA,"2150-6779","2150-6787","2150-6779","2150-6787",0
"91",91,65,"specialist","ENVIRONMENTAL AND SOCIO-ECONOMIC STUDIES","N","Y","Y",NA,NA,NA,"2354-0079",NA,"2354-0079",0
"92",92,66,"specialist","ENVIRONMENTAL CONSERVATION","Y","Y","Y","0376-8929","1469-4387","0376-8929","1469-4387","0376-8929","1469-4387",1
"93",93,67,"specialist","ENVIRONMENTAL GEOTECHNICS","N","Y","Y",NA,NA,NA,"2051-803X",NA,"2051-803X",0
"94",94,68,"specialist","E-REVIEW OF TOURISM RESEARCH","N","Y","Y",NA,NA,"1941-5842",NA,"1941-5842",NA,0
"95",95,69,"specialist","ETHNOBIOLOGY AND CONSERVATION","Y","Y","Y",NA,NA,"2238-4782",NA,"2238-4782",NA,1
"96",96,70,"specialist","ETHNOBOTANY RESEARCH AND APPLICATIONS","N","Y","N",NA,NA,"1547-3465",NA,"1547-3465",NA,0
"97",97,71,"specialist","EUROPEAN COUNTRYSIDE","N","Y","Y",NA,NA,NA,"1803-8417",NA,"1803-8417",0
"98",98,72,"specialist","EUROPEAN JOURNAL OF ENVIRONMENTAL SCIENCES","N","Y","Y",NA,NA,"1805-0174","2336-1964","1805-0174","2336-1964",0
"99",99,73,"specialist","EUROPEAN JOURNAL OF WILDLIFE RESEARCH","N","Y","Y",NA,NA,"1612-4642",NA,"1612-4642",NA,0
"100",100,74,"specialist","FISHERIES","N","Y","Y",NA,NA,"0363-2415","1548-8446","0363-2415","1548-8446",0
"101",101,75,"specialist","FLORESTA","N","Y","Y",NA,NA,"0015-3826","1982-4688","0015-3826","1982-4688",0
"102",102,NA,"specialist","Food Webs","Y","N","Y","2352-2496","2352-2496","2352-2496",NA,"2352-2496","2352-2496",0
"103",103,NA,"specialist","Folia Malacologica",NA,"Y","N",NA,NA,"1506-7629","2300-7125","1506-7629","2300-7125",0
"104",104,76,"specialist","FOREST AND SOCIETY","N","Y","Y",NA,NA,"2549-4724","2549-4333","2549-4724","2549-4333",0
"105",105,77,"specialist","FOREST ECOLOGY AND MANAGEMENT","N","Y","Y",NA,NA,"0378-1127",NA,"0378-1127",NA,0
"106",106,78,"specialist","FOREST ECOSYSTEMS","N","Y","Y",NA,NA,"2095-6355","2197-5620","2095-6355","2197-5620",0
"107",107,79,"specialist","FORESTRY IDEAS","N","Y","Y",NA,NA,"1314-3905",NA,"1314-3905",NA,0
"108",108,NA,"specialist","Frontiers in Forests and Global Change",NA,"Y","Y",NA,NA,NA,"2624-893X",NA,"2624-893X",0
"109",109,80,"specialist","FORSTARCHIV","N","Y","Y",NA,NA,"0300-4112",NA,"0300-4112",NA,0
