"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn","eissn","issn_scopus","eissn_scopus","issn_clean","eissn_clean"
"1",1,1,"specialist","ACTA BIOLOGICA SIBIRICA","N","Y","Y",NA,NA,NA,"2412-1908",NA,"2412-1908"
"2",2,2,"specialist","ACTA GEOGRAPHICA UNIVERSITATIS COMENIANAE","N","Y","Y",NA,NA,"1338-6034",NA,"1338-6034",NA
"3",3,3,"specialist","ACTA OECOLOGICA","N","Y","Y",NA,NA,"1146-609X",NA,"1146-609X",NA
"4",4,4,"specialist","ACTA PRATACULTURAE SINICA","N","Y","Y",NA,NA,"1004-5759",NA,"1004-5759",NA
"5",5,5,"specialist","ACTA SCIENTIARUM POLONORUM, ADMINISTRATIO LOCORUM","N","Y","Y",NA,NA,"1644-0749","2450-0771","1644-0749","2450-0771"
"6",6,NA,"specialist","Advances in Asian Human-Environmental Research",NA,"Y","Y",NA,NA,"1879-7180","1879-7199","1879-7180","1879-7199"
"7",7,6,"specialist","AESTIMUM","N","Y","Y",NA,NA,"1592-6117","1724-2118","1592-6117","1724-2118"
"8",8,NA,"specialist","Agraarteadus",NA,"Y","Y",NA,NA,"1024-0845","2228-4893","1024-0845","2228-4893"
"9",9,190,"specialist","AFRICAN JOURNAL OF RANGE AND FORAGE SCIENCE","Y","N","Y",NA,NA,"1022-0119","1727-9380","1022-0119","1727-9380"
"10",10,191,"specialist","AFRICAN NATURAL HISTORY","Y","N","Y",NA,NA,"1816-8396",NA,"1816-8396",NA
"11",11,7,"specialist","AGRAARTEADUS","N","Y","Y",NA,NA,"1024-0845","2228-4893","1024-0845","2228-4893"
"12",12,8,"specialist","AGRICULTURE AND FORESTRY","N","Y","Y",NA,NA,"0554-5579","1800-6492","0554-5579","1800-6492"
"13",13,9,"specialist","ALAM CIPTA","N","Y","Y",NA,NA,"1823-7231","2289-3687","1823-7231","2289-3687"
"14",14,192,"specialist","AMERICAN MIDLAND NATURALIST","Y","N","Y","0003-0031","1938-4238","0003-0031",NA,"0003-0031","1938-4238"
"15",15,193,"specialist","AMERICAN MUSEUM NOVITATES","Y","N","Y","0003-0082","1937-352X","0003-0082",NA,"0003-0082","1937-352X"
"16",16,194,"specialist","AMERICAN NATURALIST","Y","N","Y",NA,NA,"0003-0147","1537-5323","0003-0147","1537-5323"
"17",17,10,"specialist","AMPHIBIAN AND REPTILE CONSERVATION","N","Y","Y",NA,NA,"1083-446X","1525-9153","1083-446X","1525-9153"
"18",18,11,"specialist","ANIMAL BIODIVERSITY AND CONSERVATION","Y","Y","Y","1578-665X","2014-928X","1578-665X","2014-928X","1578-665X","2014-928X"
"19",19,NA,"specialist","Animal Biotelemetry","Y","N","Y",NA,"2050-3385",NA,"2050-3385",NA,"2050-3385"
"20",20,12,"specialist","ANIMAL CONSERVATION","Y","Y","Y","1367-9430","1469-1795","1367-9430","1469-1795","1367-9430","1469-1795"
"21",21,13,"specialist","ANNALES ZOOLOGICI FENNICI","N","Y","Y",NA,NA,"0003-455X",NA,"0003-455X",NA
"22",22,NA,"specialist","Anthropocene Coasts",NA,"Y","Y",NA,NA,NA,"2561-4150",NA,"2561-4150"
"23",23,14,"specialist","APPLIED VEGETATION SCIENCE","N","Y","N",NA,NA,"1402-2001","1654-109X","1402-2001","1654-109X"
