"Rank","Source Title","CiteScore","Percentile"
"1","Conservation Letters","17.7","99"
"2","Nature Sustainability","15.8","99"
"3","Landscape and Urban Planning","11.6","98"
"4","Ecosystem Services","11.2","98"
"5","Current environmental health reports","10.9","97"
"6","Journal of the Association of Environmental and Resource Economists","10.5","96"
"7","Conservation Biology","9.7","96"
"8","Current Forestry Reports","9.0","95"
"9","Biological Conservation","8.9","95"
"10","International Soil and Water Conservation Research","8.5","94"
"11","Sustainability Science","8.5","94"
"12","Remote Sensing in Ecology and Conservation","7.8","93"
"13","Ecological Engineering","7.8","92"
"14","Land Use Policy","7.5","92"
"15","Perspectives in Ecology and Conservation","7.2","91"
"16","Ecosystems and People","6.8","91"
"17","One Ecosystem","6.1","90"
"18","Landscape Ecology","6.0","90"
"19","Forest Ecology and Management","5.8","89"
"20","Wildlife Monographs","5.5","88"
"21","Applied Vegetation Science","5.3","88"
"22","Animal Conservation","5.3","87"
"23","International Journal of Tourism Research","5.3","87"
"24","Metabarcoding and Metagenomics","5.2","86"
"25","Journal of Environmental Engineering and Landscape Management","5.1","86"
"26","Biodiversity and Conservation","5.1","85"
"27","Environmental Conservation","5.0","85"
"28","Restoration Ecology","4.9","84"
"29","Endangered Species Research","4.7","83"
"30","Resources","4.6","83"
"31","Zoological research","4.6","82"
"32","Environment and Planning B: Urban Analytics and City Science","4.6","82"
"33","Avian Conservation and Ecology","4.3","81"
"34","Oryx","4.2","81"
"35","Ecology and Evolution","4.1","80"
"36","Aquatic Conservation: Marine and Freshwater Ecosystems","4.0","79"
"37","Journal of Tourism Futures","4.0","79"
"38","Rangeland Ecology and Management","3.9","78"
"39","Conservation and Society","3.9","78"
"40","Journal of Wildlife Management","3.8","77"
"41","Geoheritage","3.8","77"
"42","Bird Conservation International","3.8","76"
"43","Journal for Nature Conservation","3.8","75"
"44","Forest Ecosystems","3.7","75"
"45","Conservation Physiology","3.7","74"
"46","IForest","3.7","74"
"47","Nature Conservation","3.6","73"
"48","Environmental Geotechnics","3.6","73"
"49","Environment and Society: Advances in Research","3.6","72"
"50","Journal of Soils and Water Conservation","3.5","72"
"51","Journal of Mammalogy","3.5","71"
"52","Forest and Society","3.5","70"
"53","Landscape Research","3.4","70"
"54","Tropical Conservation Science","3.3","69"
"55","Geography and Sustainability","3.3","69"
"55","Global Ecology and Conservation","3.2","69"
"56","Journal of Mountain Science","3.1","68"
"57","Human Dimensions of Wildlife","3.1","68"
"58","Journal of Coastal Conservation","3.0","67"
"59","Journal of Insect Conservation","3.0","66"
"60","Land","3.0","66"
"61","International Zoo Yearbook","2.9","65"
"62","Landscape and Ecological Engineering","2.9","65"
"63","Knowledge and Management of Aquatic Ecosystems","2.9","64"
"64","Mires and Peat","2.7","64"
"65","Subterranean Biology","2.6","63"
"66","Area Development and Policy","2.6","62"
"67","European Journal of Wildlife Research","2.6","62"
"68","Ecological Engineering: X","2.6","61"
"69","Fisheries","2.6","61"
"70","Emu","2.6","60"
"71","Journal of Tourism and Cultural Change","2.5","60"
"72","Parks","2.5","59"
"73","Acta Oecologica","2.4","59"
"74","Pacific Conservation Biology","2.3","58"
"75","Landscape Online","2.2","57"
"76","Annales Zoologici Fennici","2.2","57"
"77","Wildlife Society Bulletin","2.2","56"
"78","Diversity","2.2","56"
"79","Ethnobiology and Conservation","2.2","55"
"80","European Countryside","2.1","55"
"81","Wildlife Biology","2.1","54"
"82","Ecological Management and Restoration","2.1","53"
"83","Aquatic Mammals","1.9","53"
"84","Ursus","1.8","52"
"85","Natural Resource Management and Policy","1.8","52"
"86","Nature Conservation Research","1.8","51"
"87","Aestimum","1.8","51"
"88","Tuexenia","1.7","50"
"89","Biodiversity Science","1.7","50"
"90","Human-Wildlife Interactions","1.7","49"
"91","Bird Study","1.7","48"
"92","Journal of Green Building","1.6","48"
"93","Herpetological Journal","1.6","47"
"94","Animal Biodiversity and Conservation","1.6","46"
"94","CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources","1.6","46"
"96","International Journal of Forestry Research","1.6","46"
"97","Biodiversity","1.5","45"
"98","Natural Areas Journal","1.5","44"
"99","Coastal Research Library","1.5","44"
"100","Journal of Design and Built Environment","1.5","43"
"101","Austrian Journal of Forest Science","1.5","43"
"102","Eco.mont","1.4","42"
"103","Amphibian and Reptile Conservation","1.3","41"
"103","Journal of Landscape Ecology(Czech Republic)","1.3","41"
"105","Journal of Fish and Wildlife Management","1.3","40"
"106","Wildfowl","1.3","40"
"107","European Journal of Environmental Sciences","1.3","39"
"108","Ecological Restoration","1.3","39"
"109","International Journal of Geoheritage and Parks","1.2","38"
"110","Landscapes (United Kingdom)","1.1","38"
"111","Ekoloji","1.1","37"
"112","International Journal of Conservation Science","1.1","37"
"113","Journal of Agro-Environment Science","1.0","36"
"114","Journal of Environmental Protection and Ecology","1.0","35"
"115","Conservation Evidence","0.9","35"
"116","Floresta","0.9","34"
"117","Journal of Rangeland Science","0.9","34"
"119","Acta Prataculturae Sinica","0.8","33"
"120","Journal of Digital Landscape Architecture","0.8","32"
"121","Journal of Threatened Taxa","0.8","31"
"122","Neotropical Biology and Conservation","0.8","31"
"123","Springer Geography","0.7","30"
"124","Colombia Forestal","0.7","30"
"125","Cuadernos de Turismo","0.7","29"
"126","Ethnobotany Research and Applications","0.7","29"
"127","Landscape Journal","0.7","28"
"128","Landscape History","0.7","27"
"129","Natur und Landschaft","0.6","27"
"130","World Agriculture","0.6","26"
"131","Journal of Landscape Ecology","0.6","26"
"132","Journal of Marine and Island Cultures","0.6","25"
"133","Environmental and Socio-Economic Studies","0.6","25"
"134","Zpravy Lesnickeho Vyzkumu","0.6","24"
"135","Ecology, Environment and Conservation","0.6","24"
"136","Russian Journal of Forest Science","0.6","23"
"137","Agriculture and Forestry","0.5","22"
"138","GeoScape","0.5","22"
"139","Science for Conservation","0.5","21"
"140","Revista de Urbanismo","0.5","21"
"141","Malayan Nature Journal","0.4","20"
"142","Asia-Pacific Journal of Innovation in Hospitality and Tourism","0.4","20"
"143","e-Review of Tourism Research","0.4","19"
"144","Agraarteadus","0.4","18"
"145","Sociologia Urbana e Rurale","0.4","18"
"146","Journal of New Zealand Grasslands","0.4","17"
"147","Asian Journal of Conservation Biology","0.4","17"
"148","Sylvia","0.3","16"
"149","Landschap","0.3","16"
"150","Journal of the Bombay Natural History Society","0.3","15"
"151","Acta Biologica Sibirica","0.3","14"
"152","Journal of Degraded and Mining Lands Management","0.3","14"
"153","Change Over Time","0.3","13"
"153","Landscape Architecture and Art","0.3","13"
"155","Alam Cipta","0.3","12"
"156","Forestry Ideas","0.3","12"
"157","ArchiDOCT","0.2","11"
"158","Challenges in Sustainability","0.2","10"
"158","Rural Landscapes","0.2","10"
"160","Journal of People, Plants, and Environment","0.2","9"
"161","British Wildlife","0.2","9"
"162","Ecologia Balkanica","0.2","8"
"162","Studies in the History of Gardens and Designed Landscapes","0.2","8"
"164","Acta Scientiarum Polonorum, Administratio Locorum","0.1","7"
"164","Landscapes","0.1","7"
"166","Advances in Asian Human-Environmental Research","0.1","6"
"167","Acta Geographica Universitatis Comenianae","0.1","5"
"167","Journal of Sustainable Real Estate","0.1","5"
"169","Biota Colombiana","0.1","4"
"170","Nakhara: Journal of Environmental Design and Planning","0.1","4"
"171","Atelie Geografico","0.0","3"
"172","Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley","0.0","3"
"173","Ri-Vista","0.0","2"
"174","Sustainable Mediterranean Construction","0.0","1"
"175","Architecture and Urban Planning","0.0","0"
"175","Environment and Ecology Research","0.0","0"
"175","Staleta Praha","0.0","0"
