aid,case_study,title,author,journal,year,assigned_year,Threat_category_numeric,Threat_category_description,Response_category_numeric,Response_category_description,Notes,times_cited,impact_factor,ab_scopus,title_scopus,journal_scopus,doi_scopus
241,Bycatch,Are bycatch rates sufficient as the principal fishery performance measure and method of assessment for seabirds?,"Tuck, Geoffrey N.",Aquatic Conservation: Marine and Freshwater Ecosystems,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,NA,NA,NA,NA
242,Bycatch,Modelling the effect of fishing on southern Buller's albatross using a 60_year dataset,"Francis, R. I. C. C., Sagar, P. M.",New Zealand Journal of Zoology,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Many albatross populations are declining and a major cause is believed to be incidental mortality from fishing. We investigated the effect of fishing on southern Buller's albatross Thalassarche bulleri bulleri, using a new approach to seabird population modelling that allows estimation of demographic parameters from multiple data types. Three types of data were used: a 60-year set of mark-recapture observations, four censuses of the breeding population, and estimates of fishing effort and bycatch. The fisheries risk to the viability of this population over the last 60 years appears to have been small, since the adult population is estimated to have increased about fivefold over that time. There is some cause for concern in recent changes (population growth has slowed, and perhaps reversed, and adult survival rates are falling). The most common age at first breeding was 12 years, and about 80% of adults breed each year. Annual survival was estimated to bc 0.91 for juveniles, and varied between this value and 1 for adults. Though this population is not in immediate danger from fishing, there is a need for continued monitoring to see whether the recent fall in survival rates persists and causes a decline in abundance. Our analysis showed that when, as is common, mark-recapture data do not provide good estimates of all demographic rates, the assessment of seabird population trends can be improved by the use of other types of data, particularly abundance. © 2012 The Royal Society of New Zealand.",Modelling the effect of fishing on southern Buller's albatross using a 60-year dataset,New Zealand Journal of Zoology,10.1080/03014223.2011.600766
243,Bycatch,Seabird mortality associated with ice trawlers in the Patagonian shelf: effect of discards on the occurrence of interactions with fishing gear,"Favero, M, Blanco, G, Garcia, G., Copello, S, Seco Pon, J P, Frere, E, Quintana, F, Yorio, P., Rabuffetti, F., Canete, G.",Animal Conservation,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"This study investigated the level of seabird mortality caused by the domestic trawl fleet (freshies) for hake (among other less important targets) operating in waters off central Patagonia (37-48°S), analyzing the effect of environmental and operational variability on the level of seabird interactions. With a total of 135 vessels, the fleet is one of the largest in Argentina. Specifically tasked seabird observers were placed onboard trawlers during the summer and winter seasons of the years 2006 and 2007. The type and number of seabird interactions (i.e. contacts with fishing gear) were recorded during shooting and hauling operations, covering 72days of observation and 328 trawls. Black-browed albatrosses, white-chinned petrels Procellaria aequinoctialis, southern giant petrels Marconectes giganteus and southern royal albatrosses Diomedea epomophora were the most abundant species interacting with trawlers. Confirmed mortalities of black-browed and southern royal albatrosses were the result of collisions and entanglement with the warp cable while birds were scavenging. The estimated total mortality rate was 0.017 birds h-1 and 0.105 birds per vessel per day. The intensity of interactions (in terms of the number of contacts per unit time) was largely explained by the distribution of the fishing effort. Seasonality and the incidence of discards were the strongest factors explaining the occurrence of seabird interactions. The total annual mortality in the trawl fleet under investigation was roughly estimated to be from several hundred to over a thousand albatrosses. However, these figures should be considered preliminary due to the limited spatial and temporal coverage of data and the fact that estimations were based on a low number of observed mortalities. The implementation of a strategic discard management may significantly reduce the number of seabird mortalities from collisions with warp cables or improve the effectiveness of other complementary mitigation methods. Urgent implementation of mitigation measures is needed in this fleet to reduce the mortality of albatrosses and petrels along the Patagonian shelf. © 2010 The Authors. Animal Conservation © 2010 The Zoological Society of London.",Seabird mortality associated with ice trawlers in the Patagonian shelf: Effect of discards on the occurrence of interactions with fishing gear,Animal Conservation,10.1111/j.1469-1795.2010.00405.x
244,Bycatch,Global seabird bycatch in longline fisheries,"Anderson, Orea R J, Small, Cleo J, Croxall, John P, Dunn, Euan K, Sullivan, Benedict J, Yates, Oliver, Black, Andrew",Endangered Species Reseach,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Bycatch in longline fisheries is believed to govern the adverse conservation status of many seabird species, but no comprehensive global assessment has been undertaken. We reviewed the extent of seabird bycatch in all longline fisheries for which data are available. Despite the many inadequacies and assumptions contained therein, we estimated that at least 160 000 (and potentially in excess of 320 000) seabirds are killed annually. Most frequently caught are albatrosses, petrels and shearwaters, with current levels of mortality liable to be unsustainable for some species and popula- tions. Where realistic comparisons can be made, with data from the 1990s, there is evidence of sub- stantially reduced bycatch in some key fisheries. Reductions stem from decreased fishing effort (especially in illegal, unreported and unregulated fishing in the Southern Ocean), and greater and more effective use of technical mitigation measures, notably in demersal fisheries. However, bycatch problems in other fisheries have also emerged. Current concerns include those with previously unidentified bycatch problems (e.g. Spanish Gran Sol demersal fleet) and those where bycatch was identified, but where persistent data gaps prevented adequate assessments of the scale of the impact (e.g. Nordic demersal fisheries). Future assessments will only achieve greater precision when mini- mum standards of data collection, reporting and analysis are implemented by longline fishing fleets and the relevant regional fishery management organisations. Those fisheries in which bycatch has been substantially reduced demonstrate that the problem of seabird bycatch could be reduced to negligible proportions by enforced implementation of appropriate best-practice mitigation devices and techniques. © Inter-Research 2011.",Global seabird bycatch in longline fisheries,Endangered Species Research,10.3354/esr00347
245,Bycatch,Impact of Taiwanese distant water longline fisheries on the Pacific seabirds: finding hotspots on the high seas,"Huang, H_W., Yeh, Y_M.",Animal Conservation,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Seabird bycatch by the longline fisheries of the Pacific Ocean is a major conservation concern. However, relatively few studies have examined the impacts of distant water longline fishing on the high seas due to the difficulty associated with deploying observers. Our study addresses this data gap by analyzing data from 2666 Taiwanese scientific observation data sets from 2002 to 2007 to calculate the seabird bycatch rate and to estimate the mortality of seabirds as a result of fishing activities by the entire fleet. A total of 379 seabirds were caught and 88% were albatross. A negative binomial distribution was used to represent the observed data based on spatial and temporal stratification, which yielded bycatch rates that ranged from 0.0003 to 0.2213 birds per 1000 hooks. The bycatch rates were highest in the areas between 25-45°N and 165°E-160°W between October and March and the areas between 25-35°S and 170°E-165°W between April and September. Using the observed data for bycatch rates and total fishing effort, the estimated number of seabird deaths caused by the Taiwanese fleet ranged from 1120 to 4290 birds annually. Increasing the observer coverage of specific fleets and areas, prioritizing observer programs and combined with international cooperation in research, would improve bycatch calculations. Seabird conservation efforts can be improved by monitoring fishing effort and the mandatory implementation of multiple mitigation measures. © 2011 The Authors. Animal Conservation © 2011 The Zoological Society of London.",Impact of Taiwanese distant water longline fisheries on the Pacific seabirds: Finding hotspots on the high seas,Animal Conservation,10.1111/j.1469-1795.2011.00462.x
246,Bycatch,Sex_biased incidental mortality of albatrosses and petrels in longline fisheries: differential distributions at sea or differential access to baits mediated by sexual size dimorphism?,"Bugoni, Leandro, Griffiths, Kate, Furness, RobertW",Journal of Ornithology,2011,NA,2,Threatening mechanism,0,No response,NA,NA,NA,NA,NA,NA,NA
247,Bycatch,Albatrosses Following Fishing Vessels: How Badly Hooked Are They on an Easy Meal,"Granadeiro, Jose P, Phillips, R. A., Brickle, P., Catry, P.",PLoS ONE,2011,NA,3,Source of mechanism,1,Proposing a response,NA,NA,NA,"Fisheries have major impacts on seabirds, both by changing food availability and by causing direct mortality of birds during trawling and longline setting. However, little is known about the nature and the spatial-temporal extent of the interactions between individual birds and vessels. By studying a system in which we had fine-scale data on bird movements and activity, and near real-time information on vessel distribution, we provide new insights on the association of a threatened albatross with fisheries. During early chick-rearing, black-browed albatrosses Thalassarche melanophris from two different colonies (separated by only 75 km) showed significant differences in the degree of association with fisheries, despite being nearly equidistant to the Falklands fishing fleet. Most foraging trips from either colony did not bring tracked individuals close to vessels, and proportionally little time and foraging effort was spent near ships. Nevertheless, a few individuals repeatedly visited fishing vessels, which may indicate they specialise on fisheries-linked food sources and so are potentially more vulnerable to bycatch. The evidence suggests that this population has little reliance on fisheries discards at a critical stage of its nesting cycle, and hence measures to limit fisheries waste on the Patagonian shelf that also reduce vessel attractiveness and the risk of incidental mortality, would be of high overall conservation benefit. © 2011 Granadeiro et al.",Albatrosses following fishing vessels: How badly hooked are they on an easy meal?,PLoS ONE,10.1371/journal.pone.0017467
248,Bycatch,Structure of the seabird assemblage associated with pelagic longline vessels in the southwestern Atlantic: implications for bycatch,"JimŽnez, S., Domingo, A., Abreau, M., Brazeiro, A.",Endangered Species Reseach,2011,NA,3,Source of mechanism,0,No response,NA,NA,NA,"The region of the southwest Atlantic influenced by the Brazil-Malvinas Confluence (BMC) is important for globally threatened species of albatross and petrel. This applies particularly to the area of the continental slope, due to the high rates of incidental catch from pelagic longliners. We analyzed the temporal variation in the seabird assemblage associated with this fishery, identified the species that make use of discards, and evaluated their interactions while foraging. During 20 commercial fishing trips between 2005 and 2008, we completed 415 bird counts and recorded behavior in 172 of these. The observed species richness (=38 species) is greater than that reported for any other fishery in the region and was highest from October to April, although many species in the assemblage were significantly more abundant between May and September. Only 14 species made significant use of discards, and all of these were albatrosses and petrels captured incidentally. We observed within- and between-species competition for access to discards. In general, the frequency of intraspecific competition was greater in the most abundant species, during the period of their greatest abundance. Albatrosses were more successful in interspecific competitive interactions, and we observed a dominance hierarchy related to body size. We conclude that the composition and seasonality of the seabird bycatch is determined by the spatiotemporal dynamics of the assemblage and by the observed pattern of interspecific interactions. Discards from pelagic longline fleets operating in the BMC may be an important food source for at least 8 species of globally threatened seabirds. Understanding the effect of discards on these populations could generate useful information for conservation, although reducing bycatch levels should be considered the main goal. © Inter-Research 2011.",Structure of the seabird assemblage associated with pelagic longline vessels in the Southwestern Atlantic: Implications for bycatch,Endangered Species Research,10.3354/esr00378
249,Bycatch,Bycatch of high sea longline fisheries and measures taken by Taiwan: Actions and challenges,"Huang, H_W.",Marine Policy,2011,NA,4,Underlying driver of threat,0,No response,NA,NA,NA,"Taiwan is a major longline fishing nation with an interest in proactive conservation measures. Facing global concerns about the incidental catch in longline fisheries, Taiwan has focused on bycatch issues since the 2000s. This paper reviews the existing information on bycatch and the actions taken by Taiwan in the past ten years, including the establishment of observer programs, education and outreach, adoption of national plans of action and publicizing regulations for mitigation measures. This review suggests that continuing and improving the observer program, ensuring the compliance of mitigation measures, and encouraging information exchange and international cooperation will contribute to the conservation of non-commercial species of concern. © 2011 Elsevier Ltd.",Bycatch of high sea longline fisheries and measures taken by Taiwan: Actions and challenges,Marine Policy,10.1016/j.marpol.2011.02.012
258,Bycatch,Reducing effects of trawl fishing on seabirds by limiting foraging opportunities provided by fishery waste,"Pierre, Johanna P, Abraham, Edward R, Cleal, John, Middleton, David A. J",Emu,2012,NA,2,Threatening mechanism,4,Testing response,NA,NA,NA,"By-catch of seabirds on trawl-fishing gear has been reported worldwide, and is exacerbated by the discharge of fisheries waste. We compared the attraction of seabirds to three forms of fishery waste unprocessed discharge (offal, fish discards), hashed discharge (smaller chunks passed through a hasher pump) and cutter pump discharge (waste passed through the hasher and a cutter pump to further reduce particle size) to identify the discharge form that most effectively reduced the risk of seabird by-catch. Seabird responses measured within specified areas astern of the vessel were the abundance of: large albatrosses (Diomedea spp.), small albatrosses and giant-petrels (Thalassarche spp.; Southern Giant-Petrels, Macronectes giganteus; and Northern Giant-Petrels, M. halli), Cape Petrels (Daption capense) and all other procellariid species. Seabirds on the water were less numerous during cutter pump and hashed discharge relative to unprocessed discharge (except small albatrosses cutter treatment). Also, in some cases, the total number of birds decreased, relative to unprocessed discharge treatments (but not small and large albatrosses cutter treatment). Particle size may be less important for reducing abundances than temporal discharge patterns, which affected how birds tracked the discharge stream. Manipulating discharge characteristics can reduce seabird attraction to fishing vessels. However, the risk of by-catch remained lowest when no discharging occurred. © 2012 BirdLife Australia.",Reducing effects of trawl fishing on seabirds by limiting foraging opportunities provided by fishery waste,Emu,10.1071/MU12002
