"STUDY_ID","REVIEWERS","INCLUDE","REVIEWERS","INCLUDE","STUDY_ID","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
5,"Darren","not vetted",NA,"not vetted",5,"HAWKES R;SMART J;BROWN A;GREEN R;JONES H;DOLMAN P",2021,"EFFECTS OF EXPERIMENTAL LAND MANAGEMENT ON HABITAT USE BY EURASIAN STONECURLEWS","ANIMAL CONSERVATION","24","743-755","743-755","10.1111/acv.12678","EFFECTIVE CONSERVATION IS OFTEN INFORMED BY FOCAL SPECIES STUDIES TO IDENTIFY BENEFICIAL LAND MANAGEMENT INTERVENTIONS. FOR NOCTURNAL OR CRYPTIC SPECIES, QUANTIFYING HABITAT USE ACROSS INDIVIDUALLY MARKED ANIMALS CAN ALLOW UNBIASED ASSESSMENT OF INTERVENTION EFFICACY AND IDENTIFY OTHER IMPORTANT HABITATS. HERE, USING A LANDSCAPE-SCALE EXPERIMENT, WE EXAMINE WHETHER INTERVENTIONS INTENDED TO CREATE NESTING HABITAT FOR THE LARGELY NOCTURNAL EURASIAN STONE-CURLEW BURHINUS OEDICNEMUS WITHIN SEMI-NATURAL GRASSLAND ALSO PROVIDE FORAGING HABITAT. GPS LOGGERS WERE FITTED TO FIVE ADULT STONE-CURLEWS DURING THE BREEDING SEASON WITHIN AN EXTENSIVE AREA OF SEMI-NATURAL GRASSLAND (3850 HA, HEREAFTER `GRASSLAND'), SURROUNDED BY A MOSAIC OF ARABLE CROPLAND (TOTAL STUDY AREA 118 600 HA). THE LARGELY CLOSED-SWARD GRASSLAND WAS DIVERSIFIED BY EXPERIMENTAL GROUND-DISTURBANCE PLOTS (THE INTERVENTION) PRIOR TO THIS STUDY. WE USED THE GPS FIXES TO IDENTIFY 1881 FORAGING LOCATIONS (510 DURING NESTING AND 1371 POST-BREEDING) ACROSS THE GRASSLAND AND SURROUNDING LANDSCAPE. MOST FORAGING LOCATIONS WERE CLOSE TO THE NEST-SITE DURING THE NESTING PERIOD (90\% WITHIN 1 KM) OR DAY-ROOST DURING POST-BREEDING (90\% WITHIN 5 KM), BUT BIRDS TRAVELLED UP TO 4.1 KM FROM THESE SITES DURING NESTING AND 13 KM POST-BREEDING. STONE-CURLEWS WERE TWO- (BY NIGHT) OR THREE-TIMES (BY DAY) MORE LIKELY TO SELECT DISTURBED-GRASSLAND OVER UNMODIFIED GRASSLAND FOR FORAGING DURING NESTING, AND C. 15 TIMES MORE LIKELY TO DO SO POST-BREEDING. SPRING-SOWN CROPS AND PIG FIELDS OR MANURE HEAPS WERE ALSO SELECTED OVER GRASSLAND FOR NOCTURNAL FORAGING. GIVEN THAT CENTRAL PLACE FORAGING OCCURS IN THIS SPECIES, CONSERVATION EFFORTS THAT PROMOTE BREEDING ATTEMPTS THROUGH GROUND-DISTURBANCE SHOULD ENSURE SUITABLE FORAGING HABITAT IS NEAR THE NEST (<1 KM). CREATING MULTIPLE AREAS OF DISTURBED-GROUND CLOSE TO THE EDGE OF LARGE GRASSLAND BLOCKS CAN PROVIDE A NETWORK OF NESTING AND FORAGING HABITATS, WHILE ALLOWING ACCESS TO FORAGING HABITATS ON THE SURROUNDING ARABLE FARMLAND. SIMILAR INTERVENTIONS MAY BENEFIT OTHER DISTURBANCE ASSOCIATED GRASSLAND WADERS."
6,"Darren","not vetted",NA,"not vetted",6,"TSUBOI J;MORITA K;KOSEKI Y;ENDO S;SAHASHI G;KISHI D;KIKKO D;NUNOKAWA M;KANNO Y",2022,"SMALL GIANTS TRIBUTARIES RESCUE SPATIALLY STRUCTURED POPULATIONS FROM EXTIRPATION IN A HIGHLY FRAGMENTED STREAM","JOURNAL OF APPLIED ECOLOGY","59","1997-2009","1997-2009","10.1111/1365-2664.14200","HABITAT FRAGMENTATION IS A PERVASIVE THREAT TO BIODIVERSITY. LINEARLY ARRANGED HABITATS SUCH AS STREAM NETWORKS ARE PARTICULARLY VULNERABLE TO FRAGMENTATION. AS THE LANDSCAPE BECOMES INCREASINGLY HUMAN DOMINATED, CONSERVATION VALUES OF FRAGMENTED HABITAT PATCHES CANNOT BE OVERLOOKED. IT IS CRITICAL TO UNDERSTAND THE DEMOGRAPHIC MECHANISMS OF POPULATION PERSISTENCE OR EXTIRPATION IN FRAGMENTED PATCHES. WE STUDIED DYNAMICS OF SPATIALLY STRUCTURED POPULATIONS OF TWO JAPANESE LANDLOCKED SALMONIDS PERSISTING FOR >30 YEARS IN A HEADWATER STREAM NETWORK THAT IS HIGHLY FRAGMENTED DUE TO LOW-HEAD DAMS IN THE MAINSTEM. WE PARAMETERISED AND ANALYSED SPATIAL MATRIX POPULATION MODELS USING 9-YEAR MARK-RECAPTURE DATA. TRIBUTARIES SUPPORTED HIGHER SURVIVAL RATES IN SOME LIFE STAGES, AND MOVEMENT WAS ASYMMETRICAL FROM THE TRIBUTARIES TO THE MAINSTEM. ACCORDINGLY, POPULATION GROWTH RATES WERE HIGHER IN THE TRIBUTARY PATCHES THAN THE MAINSTEM IN BOTH SPECIES DESPITE THE TRIBUTARIES OCCUPYING ONLY 12\% OR 18\% OF THE STUDY STREAM NETWORK BY SURFACE AREA. THE TRIBUTARIES HARBOURED MORE PHYSICALLY AND HYDRAULICALLY COMPLEX INSTREAM HABITATS (I.E. HIGHER WOOD DENSITY AND FLOW REFUGIA), INDICATING THAT HABITAT PATCH QUALITY WAS MORE IMPORTANT THAN HABITAT PATCH SIZE IN DETERMINING THE DYNAMICS OF THESE SPATIALLY STRUCTURED POPULATIONS. TRIBUTARY LOCATIONS IN THE STREAM NETWORK WERE IMPORTANT IN THE TRAJECTORY OF THESE POPULATIONS. THE UPSTREAM-DWELLING CHARR PERSISTED IN THE HIGHLY FRAGMENTED MAINSTEM PATCH (I.E. SIX IMPASSABLE INFRASTRUCTURES IN A <500 M PATCH) DUE TO IMMIGRATION OF FISH FROM UPSTREAM INCLUDING THE TRIBUTARY. HOWEVER, THE DOWNSTREAM-DWELLING SALMON HAS BEEN GRADUALLY EXTIRPATED FROM THE UPPERMOST SECTION OF THE FRAGMENTED MAINSTEM PATCH BECAUSE THEY COULD NOT MAINTAIN A POSITIVE POPULATION GROWTH RATE AFTER LOSS OF EMIGRANTS WAS ACCOUNTED FOR AND IMMIGRATION WAS PREVENTED DUE TO FRAGMENTATION. SYNTHESIS AND APPLICATIONS. WE CONCLUDE THAT SMALL TRIBUTARIES HAVE RESCUED THE SPATIALLY STRUCTURED POPULATIONS FROM EXTIRPATION (CHARR) OR AT LEAST SLOWED DOWN EXTIRPATION (SALMON). LEGAL PROTECTION OF HEADWATERS AS AQUATIC HABITATS IS WEAK GLOBALLY. OUR RESULTS SUGGEST THAT STREAM MANAGEMENT PLANS UNDERESTIMATING THE DEMOGRAPHIC VALUE OF SMALL TRIBUTARIES WILL LIKELY FAIL TO CONSERVE POPULATIONS OF HEADWATER INHABITANTS AND THEREFORE ENDANGER AQUATIC BIODIVERSITY. WE DISCUSS CONSERVATION IMPLICATIONS OF THIS STUDY RELATED TO HABITAT CONNECTIVITY AND FISHERIES MANAGEMENT."
13,"Darren","not vetted",NA,"not vetted",13,"MEYERSON L;CRONIN J;BHATTARAI H;LAMBERTINI C;LUCANOVA M;RINEHART S;SUDA J;PYSEK P",2016,"DO PLOIDY LEVEL AND NUCLEAR GENOME SIZE AND LATITUDE OF ORIGIN MODIFY THE EXPRESSION OF PHRAGMITES AUSTRALIS TRAITS AND INTERACTIONS WITH HERBIVORES","BIOLOGICAL INVASIONS","18","2531-2549","2531-2549","10.1007/s10530-016-1200-8","WE STUDIED THE RELATIONSHIP BETWEEN GENOME SIZE AND PLOIDY LEVEL VARIATION AND PLANT TRAITS FOR THE REED GRASS PHRAGMITES AUSTRALIS. USING A COMMON GARDEN APPROACH ON A GLOBAL COLLECTION OF POPULATIONS IN AARHUS, DENMARK, WE INVESTIGATED THE INFLUENCE OF MONOPLOID GENOME SIZE AND PLOIDY LEVEL ON THE EXPRESSION OF P. AUSTRALIS GROWTH, NUTRITION AND HERBIVORE-DEFENSE TRAITS AND WHETHER MONOPLOID GENOME SIZE AND PLOIDY LEVEL PLAY DIFFERENT ROLES IN PLANT TRAIT EXPRESSION. WE FOUND THAT BOTH MONOPLOID GENOME SIZE AND LATITUDE OF ORIGIN CONTRIBUTED TO VARIATION IN TRAITS THAT WE STUDIED FOR P. AUSTRALIS, WITH LATITUDE OF ORIGIN BEING GENERALLY A BETTER PREDICTOR OF TRAIT VALUES AND THAT PLOIDY LEVEL AND ITS INTERACTION WITH MONOPLOID GENOME SIZE AND LATITUDE OF ORIGIN ALSO CONTRIBUTED TO TRAIT VARIATION. WE ALSO FOUND THAT FOR FOUR TRAITS, TETRAPLOIDS AND OCTOPLOIDS HAD DIFFERENT RELATIONSHIPS WITH THE MONOPLOID GENOME SIZE. WHILE FOR TETRAPLOIDS STEM HEIGHT AND LEAF WATER CONTENT SHOWED A POSITIVE RELATIONSHIP WITH MONOPLOID GENOME SIZE, OCTOPLOIDS HAD A NEGATIVE RELATIONSHIP WITH MONOPLOID GENOME SIZE FOR STEM HEIGHT AND NO RELATIONSHIP FOR LEAF WATER CONTENT. AS GENOME SIZE WITHIN OCTOPLOIDS INCREASED, THE NUMBER OF APHIDS COLONIZING LEAVES DECREASED, WHEREAS FOR TETRAPLOIDS THERE WAS A QUADRATIC, THOUGH NON-SIGNIFICANT, RELATIONSHIP. GENERALLY WE FOUND THAT TETRAPLOIDS WERE TALLER, CHEMICALLY BETTER DEFENDED, HAD A GREATER NUMBER OF STEMS, HIGHER LEAF WATER CONTENT, AND SUPPORTED MORE APHIDS THAN OCTOPLOIDS. OUR RESULTS SUGGEST TRADE-OFFS AMONG PLANT TRAITS MEDIATED BY GENOME SIZE AND PLOIDY WITH RESPECT TO FITNESS AND DEFENSE. WE ALSO FOUND THAT THE LATITUDE OF PLANT ORIGIN IS A SIGNIFICANT DETERMINANT OF TRAIT EXPRESSION SUGGESTING LOCAL ADAPTATION. GLOBAL CLIMATE CHANGE MAY FAVOR SOME GENOME SIZE AND PLOIDY VARIANTS THAT CAN TOLERATE STRESSFUL ENVIRONMENTS DUE TO GREATER PHENOTYPIC PLASTICITY AND TO FITNESS TRAITS THAT VARY WITH CYTOTYPE WHICH MAY LEAD TO CHANGES IN POPULATION GENOME SIZES AND/OR PLOIDY STRUCTURE, PARTICULARLY AT SPECIES' RANGE LIMITS."
17,"Darren","not vetted",NA,"not vetted",17,"NILSSON S;FRANZEN M;PETTERSSON L",2013,"LANDUSE CHANGES FARM MANAGEMENT AND THE DECLINE OF BUTTERFLIES ASSOCIATED WITH SEMINATURAL GRASSLANDS IN SOUTHERN SWEDEN","NATURE CONSERVATION-BULGARIA",NA,"31-48","31-48","10.3897/natureconservation.6.5205","CURRENTLY, WE ARE EXPERIENCING BIODIVERSITY LOSS ON DIFFERENT SPATIAL SCALES. ONE OF THE BEST STUDIED TAXONOMIC GROUPS IN DECLINE IS THE BUTTERFLIES. HERE, WE REVIEW EVIDENCE FOR SUCH DECLINES USING FIVE SYSTEMATIC STUDIES FROM SOUTHERN SWEDEN THAT COMPARE OLD BUTTERFLY SURVEYS WITH THE CURRENT SITUATION. ADDITIONALLY, WE PROVIDE DATA ON BUTTERFLY AND BURNET MOTH EXTINCTIONS IN THE REGION'S COUNTIES. IN SOME LOCAL AREAS, HALF OF THE BUTTERFLY FAUNA HAS BEEN LOST DURING THE LAST 60-100 YEARS. IN TERMS OF EXTINCTIONS, COUNTIES HAVE LOST 2-10 BUTTERFLY AND BURNET MOTH SPECIES. LAND USE HAS CHANGED MARKEDLY WITH KEY BUTTERFLY HABITATS SUCH AS HAY MEADOWS DISAPPEARING AT ALARMING RATES. GRAZED, MIXED OPEN WOODLANDS HAVE BEEN TRANSFORMED INTO DENSE CONIFEROUS FORESTS AND CLEAR-CUTS, AND DOMESTIC GRAZERS HAVE BEEN RELOCATED FROM WOODLANDS TO ARABLE FIELDS AND SEMI-NATURAL GRASSLANDS. LEY HAS INCREASED RAPIDLY AND IS USED FOR BALE SILAGE REPEATEDLY DURING THE SEASON. OVERALL, THE CHANGED AND INTENSIFIED LAND USE HAS MARKEDLY REDUCED THE AVAILABILITY OF NECTAR RESOURCES IN THE LANDSCAPE. SPECIES THAT DECLINE IN SWEDEN ARE STRONGLY DECREASING OR ALREADY EXTINCT IN OTHER PARTS OF EUROPE. MANY TYPICAL GRASSLAND SPECIES THAT WERE NUMEROUS IN FORMER TIMES HAVE DECLINED SEVERELY; AMONG THOSE HESPERIA COMMA, LYCAENA VIRGAUREAE, LYCAENA HIPPOTHOE, ARGYNNIS ADIPPE, AND POLYOMMATUS SEMIARGUS. ALSO, SPECIES ASSOCIATED WITH OPEN WOODLANDS AND WETLANDS SUCH AS, COLIAS PALAENO, BOLORIA EUPHROSYNE AND THE GLADE-INHABITING LEPTIDEA SINAPIS HAVE ALL DECREASED MARKEDLY. CURRENT MANAGEMENT PRACTISE AND EU COMMON AGRICULTURAL POLICY RULES FAVOUR INTENSIVE GRAZING ON THE REMAINING SEMI-NATURAL GRASSLANDS, WITH STRONG NEGATIVE EFFECTS ON BUTTERFLY DIVERSITY. ABANDONED GRASSLANDS ARE VERY COMMON IN LESS PRODUCTIVE AREAS OF SOUTHERN SWEDEN AND THESE HABITATS MAY SOON BECOME FORESTS. THERE IS AN URGENT NEED FOR IMMEDIATE ACTION TO PRESERVE UNFERTILIZED, MOWN AND LIGHTLY GRAZED GRASSLANDS. IT IS ALSO CRUCIAL TO ENCOURAGE THAT MANAGEMENT OF ABANDONED GRASSLANDS RESUMES BEFORE IT IS TOO LATE. IN ORDER TO MITIGATE RISKS OF FURTHER SPECIES LOSS AND TO WORK TOWARDS RECOVERY OF THREATENED BUTTERFLY POPULATIONS USING BEST KNOWN PRACTISES, WE RECOMMEND TWELVE TYPES OF MANAGEMENT MEASURES FAVOURABLE FOR MANY BUTTERFLIES."
19,"Darren","not vetted",NA,"not vetted",19,"GALIL B;DANOVARO R;ROTHMAN S;GEVILI M",2019,"INVASIVE BIOTA IN THE DEEPSEA MEDITERRANEAN AN EMERGING ISSUE IN MARINE CONSERVATION AND MANAGEMENT","BIOLOGICAL INVASIONS","21","281-288","281-288","10.1007/s10530-018-1826-9","ALTHOUGH THE ECOLOGICAL IMPORTANCE AND IMPACT OF NON-INDIGENOUS SPECIES IS INCREASINGLY RECOGNISED AND DOCUMENTED IN SHALLOW WATER ECOSYSTEMS, THEIR PRESENCE BEYOND THE SHELF HAS SCARCELY BEEN DOCUMENTED. A SURVEY OF THE UPPER SLOPE BIOTA OF THE MEDITERRANEAN COAST OF ISRAEL REVEALED THE PRESENCE AT 200-M DEPTH OF INDIVIDUALS OF THREE ERYTHRAEAN SPECIES, THE CROCODILE TOOTHFISH CHAMPSODON NUDIVITTIS, GOLANI'S ROUND HERRING ETRUMEUS GOLANII, AND THE BURROWING GOBY, TRYPAUCHEN VAGINA. IN THE PAST DECADE SEVERAL ERYTHRAEAN SPECIES, SOME NEWLY ARRIVED, SOME WELL-ESTABLISHED, HAVE BEEN COLLECTED ON THE LEVANTINE LOWER SHELF AND UPPER SLOPE. THE SPECIES INVASION REVEALED THAT THERMAL NICHE ESTIMATIONS BASED ON THE SPECIES' NATIVE ENVIRONMENT MAY HAVE UNDERESTIMATED THEIR ABILITY TO TOLERATE LOWER TEMPERATURES. THE RESULTS REPORTED HERE SUGGEST THAT THE WIDE THERMAL TOLERANCE OF SOME ERYTHRAEAN SPECIES MAY FACILITATE THEIR BATHYMETRIC AND GEOGRAPHIC EXPANSION. THEIR SPREAD TO THE DEPTHS WHERE THE UNIQUE, DIVERSE AND FRAGILE MESOPHOTIC ANIMAL FORESTS' OCCUR, BODES ILL TO THESE BELEAGUERED COMMUNITIES."
21,"Darren","not vetted",NA,"not vetted",21,"LIU H;LIU Z;JIN X;GAO Y;LIU Q;ZHANG D",2020,"ASSESSING CONSERVATION EFFORTS AGAINST THREATS TO WILD ORCHIDS IN CHINA","BIOLOGICAL CONSERVATION","243",NA,NA,"10.1016/j.biocon.2020.108484","ORCHIDS ARE OF SPECIAL INTEREST TO PLANT CONSERVATIONISTS BECAUSE OF THEIR HIGH SPECIES DIVERSITY AS WELL AS THEIR OBLIGATE DEPENDENCIES ON ONE OR MORE BIOTIC INTERACTIONS, WHICH OFTEN POSE ADDITIONAL CHALLENGES IN THEIR CONSERVATION. IN THIS STUDY, WE ANALYZE THREATS TO ALL KNOWN CHINESE ORCHID SPECIES AND EVALUATE WHETHER CURRENT IN SITU AND EX SITU CONSERVATION EFFORTS MATCH THESE THREATS. OF THE 1582 ORCHIDS INCLUDED IN THIS STUDY, 653 (43.5\%) WERE CATEGORIZED AS THREATENED (I.E., CRITICALLY ENDANGERED, ENDANGERED, OR VULNERABLE), 191 (12.0\%) WERE TRADED USING WILD-COLLECTED PLANTS, 531 (33.6\%) WERE CHINESE ENDEMICS, 826 (52.2\%) WERE FOUND IN ONE OR MORE PROTECTED AREAS, 802 (50.7\%) WERE IN EX-SITU COLLECTIONS, 136 (8.4\%) HAD SEEDS IN STORAGE; AND ONLY 43 (2.7\%) WERE SUBJECT TO CONSERVATION TRANSLOCATION ACTIONS WITHIN CHINA. PROPORTIONALLY, MORE THREATENED SPECIES WERE PROTECTED IN SITU AND EX SITU THAN NON-THREATENED SPECIES. HOWEVER, THE CURRENT VERSION OF THE CHINESE REDLIST ASSESSMENT ASSIGNED OVER HARVESTING AS A THREAT FACTOR TO 15 CHINESE ORCHIDS ONLY (2.3\%), A GROSS UNDERESTIMATION OF THIS THREAT CONSIDERING BOTH THE CHINESE AND INTERNATIONAL ORCHID MARKETS. WE PROPOSE ESTABLISHING SMALL NATURE RESERVES TO PROTECT WILD ORCHID SPECIES THAT DO NOT CURRENTLY OCCUR IN ANY PROTECTED AREA, CREATING EX SITU COLLECTION NETWORKS TO STRENGTHEN CONSERVATION CAPACITY (INCLUDING INSTITUTIONS THAT ARE CONCERNED WITH UTILIZATION ONLY), AND ESTABLISHING A DYNAMIC LIST OF WILD ORCHIDS IN TRADE, ALONG WITH TRADE VOLUMES, TO BETTER-GAUGE CONSERVATION THREATS POSED BY WILD HARVEST."
23,"Darren","not vetted",NA,"not vetted",23,"HENNESSY G;GOULSON D;RATNIEKS F",2020,"POPULATION ASSESSMENT AND FORAGING ECOLOGY OF NEST AGGREGATIONS OF THE RARE SOLITARY BEEEUCERA LONGICORNISAT GATWICK AIRPORT AND IMPLICATIONS FOR THEIR MANAGEMENT","JOURNAL OF INSECT CONSERVATION","24","947-960","947-960","10.1007/s10841-020-00266-8","EUCERA LONGICORNISIS A RARE SOLITARY BEE THAT IS IN DECLINE THROUGHOUT ITS RANGE IN BRITAIN AND OTHER EUROPEAN COUNTRIES. TWO NEST AGGREGATIONS THAT HAD BEEN PREVIOUSLY DISCOVERED IN 2014 ON LAND OWNED AND MANAGED BY GATWICK AIRPORT, SOUTHERN ENGLAND, WERE STUDIED IN 2017, 2018 AND 2019 TO OBTAIN INFORMATION RELEVANT TO THEIR CONSERVATION. POPULATION ESTIMATES USING MARK RECAPTURE SHOWED THAT THE LARGER AGGREGATION HAD A MAXIMUM POPULATION ESTIMATE OF 659 INDIVIDUALS IN 2018, WITH THE SMALLER AGGREGATION REACHING A MAXIMUM POPULATION ESTIMATE OF 221 IN 2019. IN TERMS OF FORAGING REQUIREMENTS, MICROSCOPIC ANALYSIS OF POLLEN SAMPLES FROM FEMALES RETURNING FROM THEIR NESTS IDENTIFIED A TOTAL OF 12 PLANT TAXA ACROSS ALL YEARS AND BOTH AGGREGATIONS. FABACEAE POLLEN WAS PRESENT IN 100\% OF SAMPLES AND ON AVERAGE COMPRISED 90\% OF EACH SAMPLE, INDICATING THAT THE SPECIES IS OLIGOLECTIC. BOTH NEST AGGREGATIONS WERE ON SLOPING BANKS OF EXPOSED SOIL ARISING FROM LAND MANAGEMENT BY THE AIRPORT IN 1999. FLORAL SURVEYS OF THE LANDSCAPE INDICATE THAT WITHIN 100 M OF BOTH AGGREGATIONS FABACEAE SPECIES ARE THE MOST ABUNDANT DUE TO THE PRESENCE OF A LEGUME RICH WILDFLOWER MEADOW ALONGSIDE THE ADJACENT RIVER MOLE, WHICH WAS SOWN BY GATWICK AIRPORT.EUCERA LONGICORNISAT GATWICK AIRPORT ARE AN EXAMPLE OF HOW IF MANAGED APPROPRIATELY, INDUSTRIAL AREAS CAN PROVIDE VALUABLE REFUGES FOR RARE WILDLIFE. ALTHOUGH THERE IS NO IMMINENT RISK OF THE POPULATIONS GOING EXTINCT, MANAGEMENT AND MONITORING SUGGESTIONS ARE PROVIDED TO ENSURE THESE POPULATIONS PERSIST."
26,"Darren","not vetted",NA,"not vetted",26,"AZEVEDO E;MEDEIROS C;ANANIAS G W;DA S A D;NOBREGA A R;PEREIRA D T;MOLOZZI J",2018,"THE USE OF RISK INCIDENCE AND DIVERSITY INDICES TO EVALUATE WATER QUALITY OF SEMIARID RESERVOIRS","ECOLOGICAL INDICATORS","90","90-100","90-100","10.1016/j.ecolind.2018.02.052","LOCAL ECOLOGICAL KNOWLEDGE OF WATER QUALITY INDICATORS CAN BE AN IMPORTANT ELEMENT IN THE MANAGEMENT AND CONSERVATION OF AQUATIC ECOSYSTEMS FROM A BIOCULTURAL CONSERVATION PERSPECTIVE. WE INVESTIGATED THE ECOLOGICAL INDICATORS OF WATER QUALITY USED BY LOCAL COMMUNITIES THAT LIVE AROUND RESERVOIRS IN THE SEMI-ARID REGION OF BRAZIL TO COMPARE THEIR RISK INCIDENCE INDICES WITH THEIR DIVERSITY INDICES. THIS RESEARCH WAS UNDERTAKEN AT FOUR RESERVOIRS, AND INTERVIEWED 126 MEMBERS OF HUMAN COMMUNITIES, USING A SEMI-STRUCTURED FORMAT. THE MACRO-BENTHIC FAUNA WAS SAMPLED AT 332 SITES WITHIN THE RESERVOIRS FOR THE BIO-INDICATOR ANALYSES. AMONG THE ECOLOGICAL INDICATORS OF WATER QUALITY CITED BY THE INTERVIEWEES, THE MOST NOTABLE WERE WATER COLOR AND ODOR. WHEN THE RISK INCIDENCE INDEX WAS HIGH, THE BIODIVERSITY INDEX WAS FOUND TO BE LOW. LARGER PROPORTIONS OF OLIGOCHAETE OCCURRED IN RESERVOIRS WITH LOW BIOLOGICAL DIVERSITY, INDICATING THAT LOCAL ECOLOGICAL KNOWLEDGE REFLECTED RESERVOIR WATER QUALITY. OUR STUDIES SHOWED THAT LOCAL ECOLOGICAL KNOWLEDGE OF WATER QUALITY INDICATORS, IN CONJUNCTION WITH TRADITIONAL INDICATORS SUCH AS THE MACROBENTHIC FAUNA, CAN BE USED FOR BIOCULTURAL CONSERVATION PURPOSES."
27,"Darren","not vetted",NA,"not vetted",27,"LAFORGE M;CLARK D;SCHMIDT J;KOWALCHUK S;BROOK R",2017,"TEMPORAL ASPECTS OF POLAR BEAR URSUS MARITIMUS OCCURRENCES AT FIELD CAMPS IN WAPUSK NATIONAL PARK CANADA","POLAR BIOLOGY","40","1661-1670","1661-1670","10.1007/s00300-017-2091-6","INTERACTION BETWEEN POLAR BEARS (URSUS MARITIMUS) AND PEOPLE IS A GROWING CONCERN FOR BOTH BEAR CONSERVATION AND HUMAN SAFETY IN A WARMING ARCTIC CLIMATE. CONSEQUENTLY, THE IMPORTANCE OF MONITORING TEMPORAL TRENDS IN THE PROXIMITY OF POLAR BEARS TO PEOPLE HAS BECOME CRITICAL IN MANAGING HUMAN- POLAR BEAR CONFLICTS. SUCH CONCERNS ARE ACUTE IN WAPUSK NATIONAL PARK IN MANITOBA, CANADA ON THE WESTERN HUDSON BAY COAST, WHERE WE DEPLOYED 18 CAMERA TRAPS AT THREE REMOTE FIELD CAMPS FROM 2010 TO 2014 (SIMILAR TO 22,100 CAMERA DAYS) TO MONITOR THE FREQUENCY AND TIMING OF BEARS' VISITS TO THOSE FACILITIES. FOLLOWING SEASONAL BREAKUP OF HUDSON BAY'S SEA- ICE POLAR BEAR OCCURRENCES AT THESE CAMPS INCREASED THROUGHOUT THE SUMMER AND INTO FALL (LOW IN MAY-JULY AND INCREASING SHARPLY THROUGH AUGUST-NOVEMBER AND THEN APPROACHING ZERO IN DECEMBER WHEN HUDSON BAY FREEZES). WE QUANTIFIED AGE AND SEX CLASS AND ESTIMATED BODY CONDITION OF BEARS VISITING THE CAMPS: ADULT MALES WERE MOST PREVALENT AT NESTER ONE CAMP CLOSE TO WHERE ADULT MALES CONGREGATE AT CAPE CHURCHILL, WHEREAS THE TWO CAMPS FARTHER SOUTH WERE VISITED MORE FREQUENTLY BY FEMALES WITH DEPENDENT YOUNG, LIKELY TRAVELING TO AND FROM A KNOWN MATERNAL DENNING AREA. FEW SUB-ADULTS WERE OBSERVED. AS EXPECTED, BODY CONDITION SCORES DECLINED THROUGHOUT THE ON-SHORE SEASON. OUR METHOD OF MONITORING POLAR BEAR OCCURRENCE ON SHORE IS ROBUST, COST-EFFECTIVE, AND NON-INVASIVE, AND SO MAY PROVIDE AN ECONOMICAL COMPLEMENT TO DATA GATHERED THROUGH MORE CONVENTIONAL TECHNIQUES."
36,"Darren","not vetted",NA,"not vetted",36,"BELANGER L;JOBIN B;LACROIX G;BEDARD Y",2020,"BIRD USE OF HIGHWAY RIGHTSOFWAY IS INFLUENCED BY SURROUNDING ADJACENT HABITATS AND SEASONS IN HUMANDOMINATED LANDSCAPES OF SOUTHERN QUEBEC","NORTHEASTERN NATURALIST","27","134-150","134-150",NA,"VEGETATED ZONES OF HIGHWAY RIGHTS-OF-WAY (ROW) ARE UNIQUE ECOTONES THAT CAN INCREASE HABITAT HETEROGENEITY AT THE LANDSCAPE LEVEL AND PLAY A ROLE IN THE MAINTENANCE OF PLANT AND ANIMAL CONSERVATION ON A REGIONAL SCALE IN CERTAIN HUMAN-DOMINATED LANDSCAPES. TO DETERMINE IF THEY ARE UNIQUE HABITATS DIFFERING FROM THE SURROUNDING ENVIRONMENT, WE COMPARED THE ABUNDANCE, RICHNESS, AND SPECIES COMPOSITION OF BIRD COMMUNITIES USING ROW IN THE ST. LAWRENCE VALLEY LOWLANDS OF SOUTHERN QUEBEC (CANADA) IN RELATION TO THE HABITATS IN THE ADJACENT LAND-USE AREA, IN 3 LANDSCAPES (SUBURBAN, INTENSIVE AGRICULTURE, AND AGROFORESTRY) DURING 3 DIFFERENT SEASONS (SPRING, SUMMER, AND FALL) CORRESPONDING TO BIRDS' SPRING MIGRATION, BREEDING, AND FALL MIGRATION PERIODS. WE RECORDED A TOTAL OF 8368 BIRDS BELONGING TO 74 SPECIES. THE AVIAN COMMUNITY AT THE INTENSIVE AGRICULTURAL SITE DIFFERED FROM THOSE OF THE OTHER 2 SITES, IN BOTH SPECIES' COMPOSITION AND ABUNDANCE. BIRD USE OF ROW ALSO VARIED AS A FUNCTION OF THE SEASON: THERE WAS A HIGHER SPECIES RICHNESS IN SPRING, BUT A HIGHER SPECIES ABUNDANCE IN FALL. SPECIES ABUNDANCE AND RICHNESS WERE HIGHER IN THE ADJACENT AREAS THAN IN THE ROW DURING ALL 3 SEASONS. SPECIES RICHNESS WAS INVERSELY RELATED TO THE PRESENCE OF FIELD CROPS IN THE ADJACENT AREAS. WE CONCLUDE THAT HIGHWAY ROW IN SOUTHERN QUEBEC ARE NOT UNIQUE HABITATS THAT DIFFER FROM THE SURROUNDING LANDSCAPE BUT RATHER SUPPLEMENTAL HABITATS THAT HELP MAINTAIN BIRD POPULATIONS AT THE REGIONAL SCALE, PARTICULARLY IN LANDSCAPES DOMINATED BY INTENSIVE AGRICULTURE WHERE REMNANT PATCHES OF NATURAL HABITAT ARE BECOMING LESS COMMON."
