"STUDY_ID","REVIEWERS","INCLUDE","REVIEWERS.1","INCLUDE.1","STUDY_ID.1","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
"2","Darren","YES",NA,"not vetted","2","MA B;XIE Y;ZHANG T;ZENG W;XUE Y","2021","CONSTRUCTION OF A HUMANWILDLIFE SPATIAL INTERACTION INDEX IN THE THREERIVER SOURCE REGION CHINA","ECOLOGICAL INDICATORS","129",NA,NA,"10.1016/j.ecolind.2021.107986","IN THE CONTEXT OF TODAY'S RAPID ECONOMIC DEVELOPMENT AND INCREASINGLY STRICT ECOLOGICAL PROTECTION, INTERACTIONS BETWEEN HUMANS AND WILDLIFE WILL INTENSIFY. THEREFORE, WE NEED TO IDENTIFY THE SPATIAL DISTRIBUTION OF SUCH INTERACTIONS AND TO TAKE MEASURES TO MITIGATE POSSIBLE NEGATIVE INTERACTIONS. USING THE THREE-RIVERS SOURCE REGION AS A CASE STUDY, WE COMBINED SPECIES HABITAT SUITABILITY, SPECIES FEEDING HABITS, SPECIES CONSERVATION LEVELS AND HUMAN IMPACT INTENSITY TO CONSTRUCT A ``HUMAN-WILDLIFE SPATIAL INTERACTION INDEX'' (HWSII) TO EVALUATE THE INTENSITY OF HUMAN-WILDLIFE SPATIAL INTERACTIONS. THE OVERALL LEVEL OF HWSII WAS RELATIVELY LOW IN THE THREE-RIVER SOURCE REGION. HIGHER POTENTIAL HUMAN-WILDLIFE INTERACTIONS OCCURRED IN AREAS WITH ROADS AND RAILWAYS. AREAS OF RELATIVELY HIGH INTERACTIONS BETWEEN CARNIVORES AND LIVESTOCK WERE MAINLY LOCATED IN THE SOUTHERN PART OF THE STUDY AREA, AND THOSE WITH RELATIVELY HIGH INTERACTIONS BETWEEN HERBIVORES AND LIVESTOCK APPEARED IN THE WESTERN AND EASTERN PARTS. MANAGERS IN THESE AREAS SHOULD CONSIDER MITIGATION MEASURES. ALTHOUGH DEVELOPED FOR A SPECIFIC REGION OF CHINA, THE `HUMAN-WILDLIFE SPATIAL INTERACTION INDEX' COULD HAVE APPLICATION IN OTHER AREAS OF THE WORLD FOR SETTING A BASELINE REFERENCE TO IDENTIFY AREAS WITH THE POTENTIAL FOR HIGH LEVELS OF HUMAN-WILDLIFE INTERACTIONS AND PINPOINT PLACES WHERE POTENTIAL NEGATIVE INTERACTIONS CAN BE MITIGATED."
"3","Darren","YES",NA,"not vetted","3","TILLER L;HUMLE T;AMIN R;DEERE N;LAGO B;LEADER-WILLIAMS N;SINONI F;SITATI N;WALPOLE M;SMITH R","2021","CHANGING SEASONAL TEMPORAL AND SPATIAL CROPRAIDING TRENDS OVER 15 YEARS IN A HUMANELEPHANT CONFLICT HOTSPOT","BIOLOGICAL CONSERVATION","254",NA,NA,"10.1016/j.biocon.2020.108941","HUMAN-WILDLIFE CONFLICT IS INCREASING DUE TO RAPID NATURAL VEGETATION LOSS AND FRAGMENTATION. WE INVESTIGATED SEASONAL, TEMPORAL AND SPATIAL TRENDS OF ELEPHANT CROP-RAIDING IN THE TRANS MARA, KENYA DURING 2014-2015 AND COMPARED OUR RESULTS WITH A PREVIOUS STUDY FROM 1999 TO 2000. OUR RESULTS SHOW EXTENSIVE CHANGES IN CROP RAIDING PATTERNS. THERE WAS A 49\% INCREASE IN INCIDENTS BETWEEN 1999-2000 AND 2014-2015 BUT AN 83\% DECLINE IN THE AMOUNT OF DAMAGE PER FARM. CROP-RAIDING WENT FROM HIGHLY SEASONAL DURING 1999-2000 TO YEARROUND DURING 2014-2015, WITH CROPS BEING DAMAGED AT ALL GROWTH STAGES. ADDITIONALLY, WE IDENTIFIED A NEW ELEPHANT GROUP TYPE INVOLVED IN CROP-RAIDING, COMPRISING OF MIXED GROUPS. SPATIAL PATTERNS OF CROP-RAIDING ALSO CHANGED, WITH MORE INCIDENTS DURING 2014-2015 NEIGHBOURING THE PROTECTED AREA, ESPECIALLY BY BULL GROUPS. CROP-RAIDING INTENSITY DURING 2014-15 INCREASED WITH FARMLAND AREA UNTIL A THRESHOLD OF 0.4 KM(2) WITHIN A 1 KM(2) GRID SQUARE, AND FARMS WITHIN 1 KM FROM THE FOREST BOUNDARY, 5 KM FROM THE PROTECTED AREA BOUNDARY AND 2 KM FROM VILLAGE CENTRES WERE MOST AT RISK OF CROP-RAIDING. IN THE LAST 20 YEARS THE MARA ECOSYSTEM HAS BEEN IMPACTED BY CLIMATE CHANGE, AGRICULTURAL EXPANSION AND INCREASED CATTLE GRAZING WITHIN PROTECTED AREAS. ELEPHANTS SEEM TO HAVE RESPONDED BY CROP-RAIDING CLOSER TO REFUGES, MORE FREQUENTLY AND THROUGHOUT THE YEAR BUT CAUSE LESS DAMAGE OVERALL. WHILE THIS MEANS THE DIRECT ECONOMIC IMPACT HAS DROPPED, MORE FARMERS MUST SPEND MORE TIME PROTECTING THEIR FIELDS, FURTHER REDUCING SUPPORT FOR CONSERVATION IN COMMUNITIES WHO CURRENTLY RECEIVE FEW BENEFITS FROM LIVING WITH WILDLIFE."
"4","Darren","YES",NA,"not vetted","4","WINTON S;BISHOP C;LARSEN K","2020","WHEN PROTECTED AREAS ARE NOT ENOUGH LOWTRAFFIC ROADS PROJECTED TO CAUSE A DECLINE IN A NORTHERN VIPER POPULATION","ENDANGERED SPECIES RESEARCH","41","131-139","131-139","10.3354/esr01017","ANIMAL MORTALITY RESULTING FROM COLLISIONS WITH VEHICLES HAS EMERGED AS A MAJOR HUMAN-CAUSED THREAT TO WILDLIFE. WHILE DIRECT MORTALITY OF WILDLIFE FROM VEHICLES HAS BEEN WELL DOCUMENTED, FEWER STUDIES HAVE FOCUSSED ON THE POPULATION-LEVEL EFFECTS OF ROAD MORTALITY, PARTICULARLY DUE TO LOW-TRAFFIC VOLUME ROADS. WE CONDUCTED A POPULATION VIABILITY ANALYSIS (PVA) ON WESTERN RATTLESNAKES CROTALUS OREGANUS OCCUPYING A PROTECTED AREA WITH LOW ROAD DENSITY AND AN AVERAGE TRAFFIC VOLUME OF APPROXIMATE TO 350 VEHICLES D(-1), NEAR THE NORTHERN PERIPHERY OF THE SPECIES' RANGE. WE USED THE PROGRAM VORTEX WITH A FIELD-DERIVED DATABASE ON ROAD MORTALITY, POPULATION DEMOGRAPHY, AND EXTENT OF OCCURRENCE. THE MODEL SHOWED THAT ALTHOUGH THE POPULATION HAD A HIGH LIKELIHOOD OF PERSISTENCE OVER THE NEXT 100 YR (EXTINCTION PROBABILITY <0.01), A SUBSTANTIAL DECLINE WAS PROJECTED (STOCHASTIC GROWTH RATE -0.035, 97\% DECREASE IN MEAN POPULATION SIZE, FROM 2131 TO 72) UNDER THE CURRENT ROAD MORTALITY RATE (6.6\% OF POPULATION YR())(-1); ANY INCREASES IN ROAD MORTALITY RATES WERE PROJECTED TO CAUSE EXTIRPATION IN UNDER 100 YR. OUR STUDY PROVIDES STRONG EVIDENCE THAT ROAD MORTALITY IS AND WILL CONTINUE TO BE A SIGNIFICANT CONTRIBUTOR TO THE DECLINE OF THIS THREATENED SPECIES, EVEN WITHOUT HIGHER TRAFFIC VOLUMES AND OTHER SIGNIFICANT ANTHROPOGENIC IMPACTS."
"6","Darren","YES",NA,"not vetted","6","TSUBOI J;MORITA K;KOSEKI Y;ENDO S;SAHASHI G;KISHI D;KIKKO D;NUNOKAWA M;KANNO Y","2022","SMALL GIANTS TRIBUTARIES RESCUE SPATIALLY STRUCTURED POPULATIONS FROM EXTIRPATION IN A HIGHLY FRAGMENTED STREAM","JOURNAL OF APPLIED ECOLOGY","59","1997-2009","1997-2009","10.1111/1365-2664.14200","HABITAT FRAGMENTATION IS A PERVASIVE THREAT TO BIODIVERSITY. LINEARLY ARRANGED HABITATS SUCH AS STREAM NETWORKS ARE PARTICULARLY VULNERABLE TO FRAGMENTATION. AS THE LANDSCAPE BECOMES INCREASINGLY HUMAN DOMINATED, CONSERVATION VALUES OF FRAGMENTED HABITAT PATCHES CANNOT BE OVERLOOKED. IT IS CRITICAL TO UNDERSTAND THE DEMOGRAPHIC MECHANISMS OF POPULATION PERSISTENCE OR EXTIRPATION IN FRAGMENTED PATCHES. WE STUDIED DYNAMICS OF SPATIALLY STRUCTURED POPULATIONS OF TWO JAPANESE LANDLOCKED SALMONIDS PERSISTING FOR >30 YEARS IN A HEADWATER STREAM NETWORK THAT IS HIGHLY FRAGMENTED DUE TO LOW-HEAD DAMS IN THE MAINSTEM. WE PARAMETERISED AND ANALYSED SPATIAL MATRIX POPULATION MODELS USING 9-YEAR MARK-RECAPTURE DATA. TRIBUTARIES SUPPORTED HIGHER SURVIVAL RATES IN SOME LIFE STAGES, AND MOVEMENT WAS ASYMMETRICAL FROM THE TRIBUTARIES TO THE MAINSTEM. ACCORDINGLY, POPULATION GROWTH RATES WERE HIGHER IN THE TRIBUTARY PATCHES THAN THE MAINSTEM IN BOTH SPECIES DESPITE THE TRIBUTARIES OCCUPYING ONLY 12\% OR 18\% OF THE STUDY STREAM NETWORK BY SURFACE AREA. THE TRIBUTARIES HARBOURED MORE PHYSICALLY AND HYDRAULICALLY COMPLEX INSTREAM HABITATS (I.E. HIGHER WOOD DENSITY AND FLOW REFUGIA), INDICATING THAT HABITAT PATCH QUALITY WAS MORE IMPORTANT THAN HABITAT PATCH SIZE IN DETERMINING THE DYNAMICS OF THESE SPATIALLY STRUCTURED POPULATIONS. TRIBUTARY LOCATIONS IN THE STREAM NETWORK WERE IMPORTANT IN THE TRAJECTORY OF THESE POPULATIONS. THE UPSTREAM-DWELLING CHARR PERSISTED IN THE HIGHLY FRAGMENTED MAINSTEM PATCH (I.E. SIX IMPASSABLE INFRASTRUCTURES IN A <500 M PATCH) DUE TO IMMIGRATION OF FISH FROM UPSTREAM INCLUDING THE TRIBUTARY. HOWEVER, THE DOWNSTREAM-DWELLING SALMON HAS BEEN GRADUALLY EXTIRPATED FROM THE UPPERMOST SECTION OF THE FRAGMENTED MAINSTEM PATCH BECAUSE THEY COULD NOT MAINTAIN A POSITIVE POPULATION GROWTH RATE AFTER LOSS OF EMIGRANTS WAS ACCOUNTED FOR AND IMMIGRATION WAS PREVENTED DUE TO FRAGMENTATION. SYNTHESIS AND APPLICATIONS. WE CONCLUDE THAT SMALL TRIBUTARIES HAVE RESCUED THE SPATIALLY STRUCTURED POPULATIONS FROM EXTIRPATION (CHARR) OR AT LEAST SLOWED DOWN EXTIRPATION (SALMON). LEGAL PROTECTION OF HEADWATERS AS AQUATIC HABITATS IS WEAK GLOBALLY. OUR RESULTS SUGGEST THAT STREAM MANAGEMENT PLANS UNDERESTIMATING THE DEMOGRAPHIC VALUE OF SMALL TRIBUTARIES WILL LIKELY FAIL TO CONSERVE POPULATIONS OF HEADWATER INHABITANTS AND THEREFORE ENDANGER AQUATIC BIODIVERSITY. WE DISCUSS CONSERVATION IMPLICATIONS OF THIS STUDY RELATED TO HABITAT CONNECTIVITY AND FISHERIES MANAGEMENT."
"8","Darren","NO",NA,"not vetted","8","ZHANG Z;MAMMOLA S;XIAN W;ZHANG H","2020","MODELLING THE POTENTIAL IMPACTS OF CLIMATE CHANGE ON THE DISTRIBUTION OF ICHTHYOPLANKTON IN THE YANGTZE ESTUARY CHINA","DIVERSITY AND DISTRIBUTIONS","26","126-137","126-137","10.1111/ddi.13002","AIM SPECIES DISTRIBUTION MODELS (SDMS) ARE AN EFFECTIVE TOOL TO EXPLORE THE POTENTIAL DISTRIBUTION OF TERRESTRIAL, FRESHWATER AND MARINE ORGANISMS; HOWEVER, SDMS HAVE BEEN SELDOM USED TO MODEL ICHTHYOPLANKTON DISTRIBUTIONS, AND THUS, OUR UNDERSTANDING OF HOW LARVAL STAGES OF FISHES WILL RESPOND TO CLIMATE CHANGE IS STILL LIMITED. HERE, WE DEVELOPED SDMS TO EXPLORE POTENTIAL IMPACTS OF CLIMATE CHANGE ON HABITAT SUITABILITY OF ICHTHYOPLANKTON. LOCATION YANGTZE ESTUARY, CHINA. METHODS USING LONG-TERM ICHTHYOPLANKTON SURVEY DATA AND A LARGE SET OF MARINE PREDICTOR VARIABLES, WE DEVELOPED ENSEMBLE SDMS FOR FIVE ABUNDANT ICHTHYOPLANKTON SPECIES IN THE YANGTZE ESTUARY (COILIA MYSTUS, HYPOATHERINA VALENCIENNEI, LARIMICHTHYS POLYACTIS, SALANX ARIAKENSIS AND CHELIDONICHTHYS SPINOSUS). THEN, WE PROJECTED THEIR HABITAT SUITABILITY UNDER PRESENT AND FUTURE CLIMATE CONDITIONS. RESULTS THE ENSEMBLE SDMS HAD GOOD PREDICTIVE PERFORMANCE AND WERE SUCCESSFUL IN ESTIMATING THE KNOWN DISTRIBUTIONS OF THE FIVE SPECIES. MODEL PROJECTIONS HIGHLIGHTED TWO CONTRASTING PATTERNS OF RESPONSE TO FUTURE CLIMATES: WHILE C. MYSTUS WILL LIKELY EXPAND ITS RANGE, THE RANGES OF THE OTHER FOUR SPECIES WILL LIKELY CONTRACT AND SHIFT NORTHWARD. MAIN CONCLUSIONS ACCORDING TO OUR SDM PROJECTIONS, THE FIVE ICHTHYOPLANKTON SPECIES THAT WE TESTED IN THE YANGTZE ESTUARY ARE LIKELY TO RESPOND DIFFERENTLY TO FUTURE CLIMATE CHANGES. THESE PROJECTED DIFFERENT RESPONSES SEEMINGLY REFLECT THE DIFFERENTIAL FUNCTIONAL ATTRIBUTES AND LIFE-HISTORY STRATEGIES OF THESE SPECIES. TO THE EXTENT THAT CLIMATE CHANGE EMERGES AS A CRITICAL DRIVER OF THE FUTURE DISTRIBUTION OF THESE SPECIES, OUR FINDINGS PROVIDE AN IMPORTANT ROADMAP FOR DESIGNING FUTURE CONSERVATION STRATEGIES FOR ICHTHYOPLANKTON IN THIS REGION."
"10","Darren","YES",NA,"not vetted","10","BOULEY P;POULOS M;BRANCO R;CARTER N","2018","POSTWAR RECOVERY OF THE AFRICAN LION IN RESPONSE TO LARGESCALE ECOSYSTEM RESTORATION","BIOLOGICAL CONSERVATION","227","233-242","233-242","10.1016/j.biocon.2018.08.024","WE PRESENT DATA FROM THE FIRST, LONG-TERM STUDY UNDERWAY OF A RECOVERING POPULATION OF INDIGENOUS, FREE-RANGING PANTHERA LEO IN GORONGOSA NATIONAL PARK (GNP), MOZAMBIQUE. GNP IS UNDERGOING POST-WAR RECOVERY AND LARGE-SCALE ECOLOGICAL RESTORATION UNDER A 25-YEAR PRIVATE-GOVERNMENTAL PARTNERSHIP - THE ``GORONGOSA PROJECT (GP),'' - OFFERING A RARE OPPORTUNITY TO ELUCIDATE THE LONG-TERM RECOVERY DYNAMICS OF A POPULATION OF LION IN RESPONSE TO STRATEGIC CONSERVATION INTERVENTIONS. GNP FORMS A CORE PART OF THE GREATER GORONGOSA-MARROMEU LION CONSERVATION UNIT WHICH IS DESIGNATED AS A ``POTENTIAL LION STRONGHOLD.'' WITHIN THE PARK WE ESTABLISHED AN INTENSIVE STUDY AREA OF 1100 KM(2) ENCOMPASSING PRIME AREAS OF HERBIVORE PRODUCTIVITY. BETWEEN 2012 AND 2016, 104 LIONS WERE DOCUMENTED AND 6 PRIDES AND 7 MALES OR COALITIONS IN OUR STUDY AREA WERE SATELLITE-COLLARED AND INTENSIVELY MONITORED. WE DESCRIBE SEASONAL MALE AND FEMALE HOME-RANGES, PREY UTILIZATION, ESTIMATED VERSUS PREDICTED LION DENSITIES IN RELATION TO RECOVERING HERBIVORE BIOMASS, AND ANTHROPOGENIC FACTORS LIMITING THE POPULATION'S FULL RECOVERY POTENTIAL. THE DOMINANT FACTOR OBSERVED TO BE NEGATIVELY IMPACTING THE POPULATION WAS TOP-DOWN AND ANTHROPOGENIC IN THE FORM OF BY-CATCH BY WIRE SNARES AND STEEL JAW TRAPS SET BY BUSHMEAT HUNTERS. THESE FINDINGS HAVE SINCE RESULTED IN TANGIBLE AND MEASURABLE INTERVENTIONS TO REDUCE THESE IMPACTS AND RESULTANT FUTURE DATASETS WILL ELUCIDATE DETAILED DEMOGRAPHY AND HOW MANAGEMENT INTERVENTIONS IMPACTED THE TRAJECTORY OF LARGE-CARNIVORE RECOVERY."
"11","Darren","maybe",NA,"not vetted","11","BROCARDO C;RODARTE R;BUENO R;CULOT L;GALETTI M","2012","NONVOLANT MAMMALS OF CARLOS BOTELHO STATE PARK PARANAPIACABA FOREST CONTINUUM","BIOTA NEOTROPICA","12","198-208","198-208","10.1590/S1676-06032012000400021","THE ATLANTIC FOREST IS ONE OF THE MOST STUDIED BRAZILIAN BIOMES IN RELATION TO ITS MAMMALIAN FAUNA. HOWEVER, THERE IS STILL A SERIES OF GAPS OF KNOWLEDGE ABOUT THE DISTRIBUTION AND PERSISTENCE OF SOME OF THESE SPECIES WHICH PREVENTS TAKING ADEQUATE CONSERVATION MEASURES TO BETTER PROTECT THE MAMMALS. IN ORDER TO MAKE THE INVENTORY OF THE NON-VOLANT MAMMALIAN FAUNA OF THE CARLOS BOTELHO STATE PARK (SP), WE COMPILED DATA OF CAMERA TRAPPING, DIURNAL CENSUS, TRACK RECORDS, PITFALL AND LIVE TRAPPING COLLECTED OVER 8 YEARS (2004-2012). WE REGISTERED A TOTAL OF 53 SPECIES, OF WHICH 12 ARE REGIONALLY THREATENED AND ONE IS AN EXOTIC SPECIES (LEPUS EUROPAEUS), INCLUDING THE PRESENCE OF MOST MAMMAL.SPECIES EXPECTED FOR THE PARANAPIACABA FOREST CONTINUUM. THE HIGH NON-VOLANT MAMMALS SPECIES RICHNESS ALLIED TO THE PRESENCE OF THREATENED SPECIES, STRENGTHEN THE ROLE OF THIS PROTECTED AREA FOR MAMMAL CONSERVATION IN THE ATLANTIC FOREST. ALTHOUGH, THE LOCAL EXTINCTION OF ONE SPECIES, TAYASSU PECAN, ALERT TO THE NEED FOR EFFECTIVE MEASURES OF PROTECTION."
"12","Darren","YES",NA,"not vetted","12","MILLER R;MARSH H;BENHAM C;HAMANN M","2020","STAKEHOLDER ENGAGEMENT IN THE GOVERNANCE OF MARINE MIGRATORY SPECIES BARRIERS AND BUILDING BLOCKS","ENDANGERED SPECIES RESEARCH","43","1-19","1-19","10.3354/esr01049","MEANINGFUL STAKEHOLDER ENGAGEMENT IS IMPORTANT TO COLLABORATIVE DECISION-MAKING AND TO EFFECTIVE POLYCENTRIC GOVERNANCE, PARTICULARLY WHEN MANAGING CROSS-SCALE ENVIRONMENTAL ISSUES LIKE THOSE INVOLVING MARINE MIGRATORY SPECIES. IN THIS PAPER, WE EXPLORE THE BARRIERS TO, AND OPPORTUNITIES FOR, STAKEHOLDER INVOLVEMENT IN THE GOVERNANCE OF THREATS TO MARINE MIGRATORY SPECIES IN EASTERN AUSTRALIA, USING SEMI-STRUCTURED QUALITATIVE INTERVIEWS AND A FOCUS GROUP, AS AN EXAMPLE OF THE GENERIC PROBLEM OF MANAGING MIGRATORY SPECIES WITHIN A LARGE RANGE STATE WITH MULTIPLE JURISDICTIONS. RESPONDENTS IDENTIFIED SEVERAL BARRIERS TO, AND OPPORTUNITIES FOR, IMPROVED STAKEHOLDER INVOLVEMENT IN THE GOVERNANCE OF MARINE MIGRATORY SPECIES, CORRESPONDING TO 4 MAIN THEMES: DECISION-MAKING PROCESSES, INFORMATION SHARING, INSTITUTIONAL STRUCTURES, AND PARTICIPATION PROCESSES. RESPONDENTS INDICATED THAT THE GOVERNANCE SYSTEM PROTECTING MARINE TURTLES, DUGONGS, HUMPBACK WHALES, AND NON-THREATENED MIGRATORY SHOREBIRDS IN EASTERN AUSTRALIA WOULD BENEFIT FROM THE INTRODUCTION OF NEW INFORMATION PATHWAYS, REFORMED INSTITUTIONAL STRUCTURES (INCLUDING ENVIRONMENTAL LEGISLATION), AND IMPROVED PARTICIPATORY PATHWAYS FOR NON-GOVERNMENT STAKEHOLDERS. SUCH CHANGES COULD HELP HARMONISE THE PROCESS OF MANAGING THESE SPECIES, LEADING TO MORE EFFECTIVE CONSERVATION MANAGEMENT THROUGHOUT THEIR RANGE."
"16","Darren","maybe",NA,"not vetted","16","WILLIAMSON M;CURNICK D;JACOBY S;O'NEILL H","2022","ETHICAL CONSIDERATIONS IN NATURAL HISTORY FILM PRODUCTION AND THE NEED FOR INDUSTRYWIDE BEST PRACTICE","GLOBAL ECOLOGY AND CONSERVATION","34",NA,NA,"10.1016/j.gecco.2021.e01981","NATURAL HISTORY DOCUMENTARY FILMS CAN BE A POWERFUL TOOL FOR WILDLIFE CONSERVATION, PROVIDING AN ACCESSIBLE MEANS TO INCREASE PUBLIC KNOWLEDGE OF THE NATURAL WORLD. THERE HAS BEEN AN INCREASING FOCUS IN DOCUMENTARY FILMS ON THE THREATS TO BIODIVERSITY IN RECENT YEARS THAT HAS POSITIVELY AIDED CONSERVATION EFFORTS. HOWEVER, POTENTIAL ETHICAL AND WELFARE IMPLICATIONS OF NATURAL HISTORY FILM MAKING ARE OFTEN OVERLOOKED. HERE, WE CONSIDER THE DESIGN AND IMPACT OF THE NARRATIVES USED AND THE FILMING METHODS EMPLOYED IN NATURAL HISTORY FILM MAKING AND THEIR POTENTIAL IMPLICATIONS FOR CONSERVATION. ALTHOUGH THESE PROGRAMMES ARE OFTEN LAUDED FOR THEIR CINEMATOGRAPHY, FILMING TECHNIQUES AND PRACTICES SHOULD SATISFY HIGH ETHICAL STANDARDS AND SHOULD BE EVALUATED TO ASSESS DISTURBANCE CAUSED TO WILDLIFE AND ANY ASSOCIATED NEGATIVE BEHAVIOURAL AND PHYSIOLOGICAL IMPACTS. THIS EVALUATION SHOULD INCLUDE THE DIRECT IMPACT OF THE FILMING, AS WELL AS CONSIDERING THE RISK OF VIEWERS REPLICATING HUMAN-WILDLIFE ENCOUNTERS THEY SEE ON FILM. TRENDS TOWARDS THE USE OF HIGHLY DRAMATIZED STORYTELLING, ANTHROPOMORPHISM AND THE INCLUSION OF INACCURATE INFORMATION SHOULD ALSO BE ADDRESSED. ALTHOUGH SOME PRODUCTION COMPANIES HAVE FILMING GUIDELINES IN PLACE, THIS IS NOT STANDARD INDUSTRY PRACTICE. NATURAL HISTORY FILMS ARE AN IMPORTANT MEANS OF EDUCATING AND ENTHUSING PEOPLE ABOUT NATURE AND ITS CONSERVATION; HOWEVER, IT IS VITAL THAT FILMS ARE MADE RESPONSIBLY. TO FACILITATE THIS DISCUSSION, WE PROPOSE RECOMMENDATIONS, INCLUDING STANDARDISED INDUSTRY-WIDE GUIDELINES, CODES OF CONDUCT AND INDEPENDENT ETHICAL REVIEWS, FOR NATURAL HISTORY FILM MAKERS TO MITIGATE AND AVOID NEGATIVE IMPACTS."
"19","Darren","YES",NA,"not vetted","19","GALIL B;DANOVARO R;ROTHMAN S;GEVILI M","2019","INVASIVE BIOTA IN THE DEEPSEA MEDITERRANEAN AN EMERGING ISSUE IN MARINE CONSERVATION AND MANAGEMENT","BIOLOGICAL INVASIONS","21","281-288","281-288","10.1007/s10530-018-1826-9","ALTHOUGH THE ECOLOGICAL IMPORTANCE AND IMPACT OF NON-INDIGENOUS SPECIES IS INCREASINGLY RECOGNISED AND DOCUMENTED IN SHALLOW WATER ECOSYSTEMS, THEIR PRESENCE BEYOND THE SHELF HAS SCARCELY BEEN DOCUMENTED. A SURVEY OF THE UPPER SLOPE BIOTA OF THE MEDITERRANEAN COAST OF ISRAEL REVEALED THE PRESENCE AT 200-M DEPTH OF INDIVIDUALS OF THREE ERYTHRAEAN SPECIES, THE CROCODILE TOOTHFISH CHAMPSODON NUDIVITTIS, GOLANI'S ROUND HERRING ETRUMEUS GOLANII, AND THE BURROWING GOBY, TRYPAUCHEN VAGINA. IN THE PAST DECADE SEVERAL ERYTHRAEAN SPECIES, SOME NEWLY ARRIVED, SOME WELL-ESTABLISHED, HAVE BEEN COLLECTED ON THE LEVANTINE LOWER SHELF AND UPPER SLOPE. THE SPECIES INVASION REVEALED THAT THERMAL NICHE ESTIMATIONS BASED ON THE SPECIES' NATIVE ENVIRONMENT MAY HAVE UNDERESTIMATED THEIR ABILITY TO TOLERATE LOWER TEMPERATURES. THE RESULTS REPORTED HERE SUGGEST THAT THE WIDE THERMAL TOLERANCE OF SOME ERYTHRAEAN SPECIES MAY FACILITATE THEIR BATHYMETRIC AND GEOGRAPHIC EXPANSION. THEIR SPREAD TO THE DEPTHS WHERE THE UNIQUE, DIVERSE AND FRAGILE MESOPHOTIC ANIMAL FORESTS' OCCUR, BODES ILL TO THESE BELEAGUERED COMMUNITIES."
