"STUDY_ID","REVIEWERS","INCLUDE","REVIEWERS","INCLUDE","STUDY_ID","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
4,"Darren","not vetted",NA,"not vetted",4,"LOUETTE G;ADRIAENS D;ADRIAENS P;ANSELIN A;DEVOS K;SANNEN K;VAN L D;HOFFMANN M",2011,"BRIDGING THE GAP BETWEEN THE NATURA 2000 REGIONAL CONSERVATION STATUS AND LOCAL CONSERVATION OBJECTIVES","JOURNAL FOR NATURE CONSERVATION","19","224-235","224-235","10.1016/j.jnc.2011.02.001","NATURA 2000 TARGETS THE SUSTAINABLE CONSERVATION OF EUROPE'S BIODIVERSITY. AN IMPORTANT CORNERSTONE OF NATURA 2000 IS THE HABITATS DIRECTIVE, WHICH IS CURRENTLY IMPLEMENTED ACROSS EUROPEAN MEMBER STATES. HOWEVER, STRAIGHTFORWARD IMPLEMENTATION IS NOT OBVIOUS SINCE THE FAVOURABLE CONSERVATION STATUS OF HABITATS AND SPECIES NEEDS TO BE ACHIEVED AT THE MEMBER STATE LEVEL, WHILE CONSERVATION OBJECTIVES NEED TO BE FORMULATED AT THE PROTECTED SITE LEVEL. TO BRIDGE THIS GAP, WE PROPOSE TO START FROM REGIONAL CONSERVATION OBJECTIVES BEFORE SITE LEVEL OBJECTIVES ARE FORMULATED. THESE REGIONAL CONSERVATION OBJECTIVES HAVE THE ADVANTAGE OF PROVIDING A FRAMEWORK ACCORDING TO WHICH CONSERVATION OBJECTIVES CAN BE ALLOCATED BOTH WITHIN AND OUTSIDE THE PROTECTED SITES OF THE NATURA 2000 NETWORK. ESPECIALLY SINCE THEY ALL CONTRIBUTE TO THE NATIONAL OR REGIONAL CONSERVATION STATUS. RECENTLY, FLANDERS (NORTHERN BELGIUM) HAS ADOPTED THIS APPROACH AND HAS QUANTIFIED CONSERVATION OBJECTIVES AT THE REGIONAL SCALE. AS THE CURRENT REGIONAL CONSERVATION STATUS OF HABITATS AND SPECIES IS MOSTLY UNFAVOURABLE, REGIONAL CONSERVATION OBJECTIVES ENTAIL A DRASTIC INCREASE IN AREA (42\%) FOR HABITATS, AND ACTIVE CONSERVATION MEASURES FOR 78\% OF THE SPECIES. WE ARE CONVINCED THAT THE METHOD OUTLINED HERE, MAY SUBSTANTIALLY CONTRIBUTE TO A HELPFUL DISCUSSION ABOUT IMPLEMENTING AND STREAMLINING NATURA 2000 ACROSS EUROPEAN MEMBER STATES. (C) 2011 ELSEVIER GMBH. ALL RIGHTS RESERVED."
6,"Darren","not vetted",NA,"not vetted",6,"PAN W;DING W;HE X;ZHANG X;MA C;HUANG Z;REN W",2019,"LOW INPUT PARKS STRATEGY CAN WORK DYNAMIC PROFILE OF MISHMI TAKINS UNDER CONSTRAINED CONSERVATION MANAGEMENT IN MT GAOLIGONG CHINA","GLOBAL ECOLOGY AND CONSERVATION","19",NA,NA,"10.1016/j.gecco.2019.e00659","GETTING ENOUGH FINANCIAL SUPPORT FOR CONSERVATION IN CHINA HAS BEEN A PROBLEM, TO THE POINT THAT ABOUT 1/3 OF ITS NATURE RESERVES ARE POORLY FUNDED AND LACK EFFECTIVE MANAGEMENT. THUS, PRESERVING WILDLIFE HABITATS UNDER THESE CIRCUMSTANCES REPRESENTS A CHALLENGING MISSION. AS A MEASURE TO PROMOTE CONSERVATION, IN RECENT YEARS THE CHINESE GOVERNMENT ISSUED VERY STRICT LAWS AND REGULATIONS TOGETHER WITH EXTENSIVE PUBLIC EDUCATION AND PROPAGANDA DIRECTIVES. TO EVALUATE THE EFFECTIVENESS OF SUCH PARTICULAR APPROACH, AN ASSESSMENT OF MISHMI TAKIN (BUDORCAS TAXICOLOR) IN MT. GAOLIGONG NATIONAL NATURE RESERVE WAS CARRIED OUT. USING DATA COLLECTED BY INTERVIEWING LOCAL RESIDENTS, LITERATURE REVIEW AND FIELD SURVEY, WE ANALYZED THE DYNAMIC PROFILES OF POPULATION SIZE AND DISTRIBUTION ALTERATION OF THIS ENDANGERED SPECIES IN CHINA. THE TEMPORAL COMPARISON OF THE PROFILES WAS ORGANIZED IN 3 PERIODS: PRE-1980S (BEFORE THE SETTING UP OF THE RESERVE), 1980-2000 AND AFTER THE 2000S. THE RESULTS INDICATE THAT, AFTER THE CREATION OF THE PARK, TAKIN INDIVIDUALS WERE SIGHTED MORE FREQUENTLY WITHIN THE RESERVE AREAS AND THE DISTRIBUTION RANGE INCREASED. MAIN ANTHROPOGENIC DISTURBANCES CAME FROM HUNTING, WHICH WAS BANNED IN 1980, AS WELL AS FROM THE DEPLETION AND COLLECTION OF NATURAL RESOURCES. THESE FINDINGS DEMONSTRATE A REPRESENTATIVE CASE OF SUCCESSFUL CONSERVATION POLICY IN THE PARTICULAR SOCIAL AND POLITICAL CONTEXT OF CHINA, IMPLEMENTED WITH AUTHORITATIVE LEGISLATION COUPLED WITH EDUCATION AND AWARENESS PLANS, UNDER VERY CONSTRAINED FINANCIAL AND MANPOWER RESOURCES SUPPORT. MOREOVER, THIS STUDY HIGHLIGHTS AN ECONOMIC AND CONVENIENT, YET EFFECTIVE SURVEY METHOD IDEAL FOR RESEARCH IN REMOTE REGIONS CHARACTERIZED BY ACCESS DIFFICULTIES DUE TO HIGH MOUNTAINS, DEEP VALLEYS, AND HARSH ENVIRONMENT SUCH AS THE QINGHAI-TIBET PLATEAU AND THE HENGDUAN MOUNTAINS. (C) 2019 THE AUTHORS. PUBLISHED BY ELSEVIER B.V."
7,"Darren","not vetted",NA,"not vetted",7,"ROZNIK E;REICHLING S",2021,"SURVIVAL MOVEMENTS AND HABITAT USE OF CAPTIVEBRED AND REINTRODUCED DUSKY GOPHER FROGS","ANIMAL CONSERVATION","24","51-63","51-63","10.1111/acv.12599","DESPITE THE GROWING ROLES OF ASSISTED REPRODUCTION AND CAPTIVE BREEDING IN REINTRODUCTIONS, WE HAVE A LIMITED UNDERSTANDING OF THE VIABILITY OF THESE ANIMALS ONCE RELEASED. WE RADIOTRACKED ENDANGERED DUSKY GOPHER FROGS LITHOBATES SEVOSUS FOR UP TO 24 DAYS AFTER THEY WERE RELEASED INTO THE WILD TO (1) ASSESS THE VIABILITY OF JUVENILE FROGS PRODUCED USING ARTIFICIAL FERTILIZATION AND RAISED IN CAPTIVITY UNTIL FOUR WEEKS POST-METAMORPHOSIS, (2) INVESTIGATE SURVIVAL RATES, MOVEMENT PATTERNS, AND HABITAT USE AND (3) EXAMINE WHETHER IT IS MORE BENEFICIAL TO RELEASE FROGS AT THE POND EDGE OR INTO BURROWS IN THE UPLANDS. RELEASED FROGS HAD A RELATIVELY HIGH SURVIVAL RATE (76\% OVERALL, WITH MORTALITY CEASING AFTER 14 DAYS) AND BEHAVED AS EXPECTED, MOVING FAIRLY LONG DISTANCES (UP TO 153 M DAILY AND 426 M TOTAL) AND LOCATING SUITABLE SHELTERS, INCLUDING BURROWS AND STUMP HOLES. FROGS THAT SHELTERED UNDERGROUND HAD A 22\% HIGHER SURVIVAL RATE THAN FROGS THAT DID NOT, HIGHLIGHTING THE IMPORTANCE OF THESE HABITAT FEATURES. COMPARED TO FROGS RELEASED INTO BURROWS, FROGS RELEASED AT THE POND HAD A 33\% LOWER SURVIVAL RATE, SPENT LESS TIME UNDERGROUND AND MOVED FARTHER AND MORE OFTEN, LIKELY WHILE SEARCHING FOR SHELTER. FROGS SELECTED HABITAT CHARACTERISTICS THAT ARE ASSOCIATED WITH EFFECTS OF FIRE, INCLUDING AN OPEN CANOPY AND ABUNDANT GROUND VEGETATION. OUR STUDY DEMONSTRATES THAT JUVENILE DUSKY GOPHER FROGS SUCCESSFULLY TRANSITIONED TO THEIR NATURAL HABITAT, AND THAT ANY EFFECTS OF ARTIFICIAL FERTILIZATION OR CAPTIVITY ON JUVENILE VIABILITY APPEAR TO BE MINIMAL. RELEASING FROGS INTO AREAS WITH ABUNDANT UNDERGROUND REFUGES AND USING FREQUENT PRESCRIBED FIRE TO MAINTAIN THE HABITAT SHOULD BENEFIT DUSKY GOPHER FROG POPULATIONS AND IMPROVE THE SUCCESS OF REINTRODUCTIONS."
9,"Darren","not vetted",NA,"not vetted",9,"LAVARIEGA M;MARTINEZ-RAMIREZ E;SANTIAGO-OLIVERA R;ISAIAS C G;MARIA G M",2020,"ECOLOGY OF THE NEOTROPICAL OTTER LONTRA LONGICAUDIS IN SOUTHERN TEHUACANCUICATLAN BIOSPHERE RESERVE MEXICO","REVISTA MEXICANA DE BIODIVERSIDAD","91",NA,NA,"10.22201/ib.20078706e.2020.91.2820","LAND OTTERS ARE PREDATORS AT THE TOP OF THE FOOD CHAIN IN THE RIVERS WHERE THEY LIVE AND MOLD THE BIOTIC COMMUNITIES AT LOWER TROPHIC LEVELS. THE NEOTROPICAL OTTER, LONTRA LONGICAUDIS, IS WIDELY DISTRIBUTED IN THE AMERICAS, BUT POPULATIONS ARE BEING DECIMATED BY HUNTING, HABITAT LOSS, WATER POLLUTION, AND ROADKILLS. AN OTTER POPULATION WAS LOCATED IN SOUTHERN TEHUACAN-CUICATLAN BIOSPHERE RESERVE (TCBR), MEXICO. SURVEYS WERE CONDUCTED IN THE DRY SEASON TO DETERMINE OTTER PRESENCE, TO RECORD PHYSICAL-CHEMICAL DATA AND TO COLLECT SCATS TO DETERMINE THEIR POPULATIONAL DENSITIES AND FEEDING HABITS. RIVER WIDTH AND DEPTH, DISSOLVED OXYGEN AND ELEVATION WERE THE SIGNIFICANT VARIABLES THAT EXPLAINED THEIR PRESENCE. IN THE RIVERS WHERE OTTERS WERE PRESENT, WE ESTIMATED DENSITIES BETWEEN 0.19 AND 0.22 OTTERS/KM. WE FOUND 12 PREY TAXA, MAINLY FRESHWATER FISH. IN THIS PROTECTED AREA, THE NEOTROPICAL OTTER IS RESTRICTED TO LARGE RIVERS AT LOW ELEVATIONS, AND POPULATIONS ARE LOW. ALTHOUGH OTTERS HAVE DIVERSE FEEDING HABITS, THEY MAINLY PREY UPON POECILIOPSIS SPP., WHICH CONSTITUTED 60\% OF THE SCATS. DENSITY ESTIMATES COMPRISE THE DRY SEASON AND WERE LOWER THAN PREVIOUS SURVEYS, THEREFORE IT IS NECESSARY TO CONDUCT YEARLY MONITORING TO IDENTIFY TRENDS AND TO IMPLEMENT ACTIONS FOCUSED ON THEIR CONSERVATION AND MANAGEMENT."
11,"Darren","not vetted",NA,"not vetted",11,"SCHABETSBERGER R;GRAPCI-KOTORI L;IBRAHIMI A;LEVKOV Z;JERSABEK M;DENL M;KAISER R;PALL U;EDER E;SADIKU A",2021,"FIRST LIMNOLOGICAL CHARACTERIZATION OF LAKES LEQINAT AND DRELAJ IN BJESHKET E NEMUNA NATIONAL PARK KOSOVO","ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH","13","12-21","12-21","10.1553/eco.mont-13-1s12","THE BALKAN PENINSULA IS A BIODIVERSITY HOTSPOT AND HOSTS NUMEROUS MOUNTAIN LAKES, WHICH OFFER A REFUGE FOR A MULTITUDE OF SPECIES. HOWEVER, PREVIOUS PRISTINE HABITATS HAVE BEEN DEEPLY AFFECTED BY ANTHROPOGENIC CHANGE, SUCH AS NON-NATIVE FISH INTRODUCTIONS, WHICH CALLS FOR MULTI-SPECIES CONSIDERATIONS IN THE LAST REMAINING UNALTERED HABITATS. WE CARRIED OUT ABIOTIC MEASUREMENTS AND BIODIVERSITY ASSESSMENTS IN TWO NEIGHBOURING ALPINE LAKES, LAKES LEQINAT AND DRELAJ IN THE BJESHKET E NEMUNA NATIONAL PARK IN KOSOVO, IN AUGUST 2018. LAKE LEQINAT IS A PERMANENT, STRATIFIED WATER BODY AND EXHIBITS WEAK OXYGEN DEPLETION BELOW 3 M. PHYTOPLANKTON WAS DOMINATED BY CHRYSOPHYCEAN, CRYPTOPHYCEAN AND CHLOROPHYCEAN ALGAE. ZOOPLANKTON CONSISTED OF FIVE ROTIFER SPECIES AND DAPHNIA LONGISPINA. A MARK-RECAPTURE EXPERIMENT YIELDED A POPULATION OF ALPINE NEWTS (ICHTHYOSAURA ALPESTRIS) OF NEARLY 4 000 ADULT INDIVIDUALS. IN CONTRAST, COLD WATER FROM THE SURROUNDING KARST SEEPS INTO LAKE DRELAJ, WHICH IS A WELL-OXYGENATED TEMPORARY LAKE. HENCE PHYTOPLANKTON AND ZOOPLANKTON BIOMASSES WERE CONSIDERABLY LOWER THAN IN LAKE LEQINAT. PHYTOPLANKTON WAS DOMINATED BY CRYPTOPHYCEAN, CHLOROPHYCEAN, AND BACILLARIOPHYCEAN ALGAE. ZOOPLANKTON CONSISTED OF THE DIAPTOMID COPEPOD MIXODIAPTOMUS TATRICUS, THE CLADOCERAN DAPHNIA ROSEA, AND THE ANOSTRACAN CHIROCEPHALUS DIAPHANUS. CONSERVATION EFFORTS SHOULD ENSURE THAT LAKE LEQINAT REMAINS UNSTOCKED AS INTRODUCED FISH WOULD PROBABLY DESTROY THE NATURAL COMMUNITY."
17,"Darren","not vetted",NA,"not vetted",17,"KEELEY A;BASSON G;CAMERON N;HUBER P;SCHLOSS J;MERENLENDER A",2018,"MAKING HABITAT CONNECTIVITY A REALITY","CONSERVATION BIOLOGY","32","1221-1232","1221-1232","10.1111/cobi.13158","ALTHOUGH A PLETHORA OF HABITAT-CONNECTIVITY PLANS EXISTS, PROTECTING AND RESTORING CONNECTIVITY THROUGH ON-THE-GROUND ACTION HAS BEEN SLOW. WE IDENTIFIED CHALLENGES TO AND OPPORTUNITIES FOR CONNECTIVITY CONSERVATION THROUGH A LITERATURE REVIEW OF PROJECT IMPLEMENTATION, A WORKSHOP WITH SCIENTISTS AND CONSERVATION PRACTITIONERS, 3 CASE STUDIES OF CONNECTIVITY PROJECTS, AND INTERVIEWS WITH CONSERVATION PROFESSIONALS. CONNECTIVITY CHALLENGES AND SOLUTIONS TENDED TO BE CONTEXT SPECIFIC, DEPENDENT ON LAND-OWNERSHIP PATTERNS, SOCIOECONOMIC FACTORS, AND THE POLICY FRAMEWORK. SUCCESSFUL CONNECTIVITY IMPLEMENTATION TENDED TO BE ASSOCIATED WITH DEVELOPMENT AND PROMOTION OF A COMMON VISION AMONG DIVERSE SETS OF STAKEHOLDERS, INCLUDING NONTRADITIONAL CONSERVATION ACTORS, SUCH AS WATER DISTRICTS AND RECREATION DEPARTMENTS, AND WITH COMMUNICATION WITH PARTNERS AND THE PUBLIC. OTHER FACTORS THAT LEAD TO SUCCESSFUL IMPLEMENTATION INCLUDED UNDERTAKING EMPIRICAL STUDIES TO PRIORITIZE AND VALIDATE CORRIDORS AND THE IDENTIFICATION OF RELATED CO-BENEFITS OF CORRIDOR PROJECTS. ENGAGING PARTNERS INVOLVED IN LAND MANAGEMENT AND PLANNING, SUCH AS NONGOVERNMENTAL CONSERVATION ORGANIZATIONS, PUBLIC AGENCIES, AND PRIVATE LANDOWNERS, IS CRITICAL TO EFFECTIVE STRATEGY IMPLEMENTATION. A CLEAR REGULATORY FRAMEWORK, INCLUDING UNAMBIGUOUS CONNECTIVITY CONSERVATION MANDATES, WOULD INCREASE PUBLIC RESOURCE ALLOCATION, AND INCENTIVE PROGRAMS ARE NEEDED TO PROMOTE PRIVATE SECTOR ENGAGEMENT. CONNECTIVITY CONSERVATION MUST MOVE MORE RAPIDLY FROM PLANNING TO IMPLEMENTATION. WE PROVIDE AN EVIDENCE-BASED SOLUTION COMPOSED OF KEY ELEMENTS FOR SUCCESSFUL ON-THE-GROUND CONNECTIVITY IMPLEMENTATION. WE IDENTIFIED THE SOCIAL PROCESSES NECESSARY TO ADVANCE HABITAT CONNECTIVITY FOR BIODIVERSITY CONSERVATION AND RESILIENT LANDSCAPES UNDER CLIMATE CHANGE."
19,"Darren","not vetted",NA,"not vetted",19,"JIMENEZ J;CARLOS N J;MOUGEOT P;MARIANO G L;GARCIA-DOMINGUEZ F;MUNOZ-IGUALADA J;JESUS P M;PLA S;RUEDA C;VILLAESPESA F;NAJERA F;PALOMARES F;VICENTE L J",2019,"RESTORING APEX PREDATORS CAN REDUCE MESOPREDATOR ABUNDANCES","BIOLOGICAL CONSERVATION","238",NA,NA,"10.1016/j.biocon.2019.108234","THE ROLE THAT APEX PREDATORS PLAY IN ECOSYSTEM FUNCTIONING, DISEASE REGULATION AND BIODIVERSITY MAINTENANCE IS INCREASINGLY DEBATED. HOWEVER, THE POSITIVE IMPACTS OF THEIR PRESENCE IN TERRESTRIAL ECOSYSTEMS, PARTICULARLY IN HUMAN-DOMINATED LANDSCAPES, REMAIN CONTROVERSIAL. LIMITED EXPERIMENTAL INSIGHTS REGARDING THE CONSEQUENCES OF APEX PREDATOR RECOVERIES MAY BE BEHIND SUCH CONTROVERSY AND MAY ALSO IMPACT ON THE SOCIAL ACCEPTABILITY TOWARDS THE RECOVERY OF THESE SPECIES. USING A QUASI-EXPERIMENTAL DESIGN AND STATE-OF-THE-ART DENSITY ESTIMATES, WE SHOW THAT MESOPREDATOR ABUNDANCES WERE REDUCED AFTER THE RESTORATION OF AN APEX PREDATOR, WITH EVIDENCE OF RESONATING POSITIVE IMPACTS ON LOWER TROPHIC LEVELS. IBERIAN LYNX LYNX PARDINUS REINTRODUCTION WAS FOLLOWED BY THE REDUCTION OF THE ABUNDANCE OF MESOCARNIVORES (RED FOXES VULPES VULPES AND EGYPTIAN MONGOOSES HERPESTES ICHNEUMON BY CA. 80\%) AND THE RECOVERY OF SMALL GAME OF HIGH SOCIO-ECONOMIC VALUE (EUROPEAN RABBITS ORYCTOLAGUS CUNICULUS AND RED-LEGGED PARTRIDGES ALECTORIS RUFA). THE OBSERVED MESOPREDATOR REDUCTION RESULTED IN AN ESTIMATED 55.6\% LESS RABBIT CONSUMPTION FOR THE ENTIRE CARNIVORE GUILD. OUR FINDINGS HAVE IMPORTANT IMPLICATIONS FOR THE SOCIAL ACCEPTABILITY OF IBERIAN LYNX REINTRODUCTIONS, WHICH CRUCIALLY DEPEND ON THE PERCEPTION OF PRIVATE LAND OWNERS AND MANAGERS. UNDER CERTAIN CIRCUMSTANCES, RESTORING APEX PREDATORS MAY PROVIDE A SUSTAINABLE AND ETHICALLY ACCEPTABLE WAY TO REDUCE MESOPREDATOR ABUNDANCES."
20,"Darren","not vetted",NA,"not vetted",20,"TUQA J;FUNSTON P;MUSYOKI C;OJWANG N;BAUER H;TAMIS W;DOLRENRY S;VAN'T ;ZELFDE M;DE S G;DE I H",2014,"IMPACT OF SEVERE CLIMATE VARIABILITY ON LION HOME RANGE AND MOVEMENT PATTERNS IN THE AMBOSELI ECOSYSTEM KENYA","GLOBAL ECOLOGY AND CONSERVATION","2","1-10","1-10","10.1016/j.gecco.2014.07.006","IN THIS STUDY, WE WERE INTERESTED IN UNDERSTANDING IF DROUGHTS INFLUENCE THE HOME RANGE OF PREDATORS SUCH AS LIONS, AND IF IT DOES, IN WHAT WAYS THE DROUGHTS INFLUENCED LIONS TO ADJUST THEIR HOME RANGE, IN RESPONSE TO PREY AVAILABILITY. WE MONITORED MOVEMENTS OF TEN LIONS FITTED WITH GPS-GSM COLLARS IN ORDER TO ANALYZE THEIR HOME RANGE AND MOVEMENT PATTERNS OVER A SIX YEAR PERIOD (2007-2012). WE ASSESSED THE IMPACT OF A SEVERE DROUGHT ON THE LION HOME RANGE AND MOVEMENT PATTERNS IN THE AMBOSELI ECOSYSTEM. THERE WAS A STRONG POSITIVE CORRELATION BETWEEN THE HOME RANGE SIZE AND DISTANCE MOVED IN 24 H BEFORE AND DURING THE DROUGHT (2007-2009), WHILE AFTER THE DROUGHT THERE WAS A SIGNIFICANT NEGATIVE CORRELATION. A WEAK POSITIVE CORRELATION WAS EVIDENT BETWEEN THE LION HOME RANGE AND RAINFALL AMOUNTS (2010-2012). THE MALE AND FEMALE HOME RANGES VARIED OVER THE STUDY PERIOD. THE HOME RANGE SIZE AND MOVEMENT PATTERNS COINCIDED WITH PERMANENT SWAMPS AND AREAS OF HIGH PREY DENSITY INSIDE THE PROTECTED AREA. OVER THE COURSE OF THE DRY SEASON AND FOLLOWING THE DROUGHT, THE RANGES INITIALLY SHRANK AND THEN EXPANDED IN RESPONSE TO DECREASING PREY DENSITIES. THE LIONS SPENT CONSIDERABLE TIME OUTSIDE THE PARK BOUNDARIES, PARTICULARLY AFTER SEVERE THE DROUGHT. WE CONCLUDE THAT UNDER CONDITIONS OF FRAGMENTED HABITATS, SEVERE CLIMATE CONDITIONS CREATE NEW CHALLENGES FOR LION CONSERVATION DUE TO EFFECTS ON PREY AVAILABILITY AND SUBSEQUENT INFLUENCES ON CARNIVORE SPECIES RANGING PATTERNS. STOCHASTIC WEATHER PATTERNS CAN FORCE WIDE-RANGING SPECIES BEYOND CURRENT RESERVE BOUNDARIES, INTO AREAS WHERE THERE WILL BE GREATER CONFLICTS WITH HUMANS. (C) 2014 THE AUTHORS. PUBLISHED BY ELSEVIER B. V."
22,"Darren","not vetted",NA,"not vetted",22,"BOSO A;ALVAREZ B;PEREZ B;IMIO J;ALTAMIRANO A;LISON F",2021,"UNDERSTANDING HUMAN ATTITUDES TOWARDS BATS AND THE ROLE OF INFORMATION AND AESTHETICS TO BOOST A POSITIVE RESPONSE AS A CONSERVATION TOOL","ANIMAL CONSERVATION","24","937-945","937-945","10.1111/acv.12692","AN UNDERSTANDING OF HUMAN ATTITUDES TOWARDS WILDLIFE CAN BE AN ESSENTIAL ELEMENT IN THE SUCCESS OR FAILURE OF A CONSERVATION INITIATIVE, POLICY OR PRACTICE AND REPRESENTS ONE OF THE MAIN CONSERVATION PROBLEMS FOR WILDLIFE SPECIES. DESPITE THE ECOSYSTEM SERVICES BATS PROVIDE, THEY OFTEN ARE A SOCIALLY STIGMATIZED GROUP, MISPERCEIVED AND EVEN HUNTED. THIS PROBLEM HAS BEEN ON THE INCREASE AS A RESULT OF THE COVID-19 PANDEMIC. WE EXAMINED HOW AESTHETIC APPEAL AND INFORMATIONAL FACTORS COULD INFLUENCE HUMAN ATTITUDES TOWARDS BATS IN A SURVEY OF 1966 PARTICIPANTS FROM SPANISH-SPEAKING COUNTRIES. GENDER, EDUCATIONAL LEVEL, RELIGIOUSNESS AND PREVIOUS EXPERIENCES WITH BATS WERE RELEVANT VARIABLES TO UNDERSTAND ATTITUDES TOWARDS THEM. THE RESULTS INDICATE THAT BOTH AESTHETIC AND INFORMATIONAL STIMULI INCREASE THE POSITIVE RESPONSES, REDUCING THE NEGATIVES ON THE PARTICIPANTS' ATTITUDES. OUR RESULTS SHOW THE IMPORTANCE OF PUBLIC ATTITUDES TO ACHIEVE CONSERVATION GOALS, ESPECIALLY IN THE CONTEXT OF HUMAN-WILDLIFE CONFLICT. BATS ARE NOT CHARISMATIC ANIMALS AND ARE STILL SURROUNDED IN MYSTERY; HOWEVER, OUR FINDINGS COULD BENEFIT BAT CONSERVATION PLANS, ALLOWING THE DEVELOPMENT OF NEW COMMUNICATION STRATEGIES BOTH LOCALLY AND NATIONALLY AND INCREASING PUBLIC ACCEPTANCE THAT WILL FACILITATE BAT CONSERVATION."
23,"Darren","not vetted",NA,"not vetted",23,"LI S;MCSHEA W;WANG D;LU Z;GU X",2012,"GAUGING THE IMPACT OF MANAGEMENT EXPERTISE ON THE DISTRIBUTION OF LARGE MAMMALS ACROSS PROTECTED AREAS","DIVERSITY AND DISTRIBUTIONS","18","1166-1176","1166-1176","10.1111/j.1472-4642.2012.00907.x","AIM THE WORLD'S NETWORK OF PROTECTED AREAS (PAS) PLAYS A CRITICAL ROLE IN BIODIVERSITY CONSERVATION. THE MANAGEMENT EXPERTISE WITHIN PAS IS A FUNCTION OF THE TRAINING, SUPPORT AND DEPTH OF THE STAFF TASKED WITH PROTECTING THE RESOURCES AND SHOULD BE A SIGNIFICANT FACTOR DETERMINING THE DISTRIBUTION OF WILDLIFE SPECIES. HOWEVER, THERE ARE FEW MEASURABLE LINKAGES BETWEEN WILDLIFE POPULATIONS AND MANAGEMENT EFFECTIVENESS. HERE, WE ADDRESSED WHETHER THE MANAGEMENT EXPERTISE WITHIN A PA IS AN IMPORTANT COVARIATE EXPLAINING THE OCCUPANCY OF LARGE TERRESTRIAL MAMMALS, AND IDENTIFY THE ATTRIBUTES OF MAMMAL SPECIES THAT WOULD BE EFFECTIVE FOR COMPARATIVE MONITORING OF MANAGEMENT EFFECTIVENESS WITHIN PAS OF DEVELOPING COUNTRIES. LOCATION SIX PAS WITHIN GIANT PANDA REGION, SOUTH-WEST CHINA. METHODS WE USED SYSTEMATIC CAMERA-TRAPPING AS THE PRIMARY FIELD METHODOLOGY TO DETECT THE PRESENCE OF LARGE MAMMALS AND USED EXPERT SCORING TO ASSESS THE MANAGEMENT LEVEL OF THESE PAS. OCCUPANCY MODELLING AND LOGISTIC REGRESSION WERE USED TO DETERMINE THOSE MAMMAL SPECIES WITH ADEQUATE DETECTIONS TO CONTROL FOR ECOLOGICAL COVARIATES AND TO COMPARE DIFFERENCES IN MANAGEMENT LEVEL BETWEEN THE SAMPLED PAS. RESULTS THIRTY-EIGHT MAMMAL SPECIES WERE RECORDED WITH A TOTAL SAMPLING EFFORT OF 16,521 CAMERA-DAYS AT 722 SAMPLE SITES. AMONG THE 14 EXAMINED MAMMALS, TAKIN (BUDORCAS TAXICOLOR) WAS THE MOST DETECTED MAMMAL (333 DETECTIONS AT 153 LOCATIONS), WHEREAS ASIATIC BLACK BEAR (URSUS THIBETANUS) WAS ESTIMATED WITH THE HIGHEST OCCUPANCY RATE (PSI = 0.49) AND LEOPARD CAT (PRIONAILURUS BENGALENSIS) WAS ESTIMATED WITH THE HIGHEST DETECTION PROBABILITY (P = 0.55). THE INDEPENDENTLY ASSESSED ESTIMATE OF MANAGEMENT EXPERTISE WAS A SIGNIFICANT POSITIVE PREDICTOR FOR THE OCCUPANCY OF 11 OF THE 14 MAMMAL SPECIES. MAIN CONCLUSIONS OUR RESULTS SUGGEST THAT THERE ARE MEASURABLE CONSEQUENCES FOR INCREASING PA PATROLLING AND THAT STANDARDIZED MONITORING OF LARGE MAMMALS IS AN ADEQUATE COMPARATIVE MEASURE OF MANAGEMENT EFFECTIVENESS ACROSS DIVERSE PAS THAT EXPERIENCE EXTENSIVE POACHING PRESSURE."
