"STUDY_ID","REVIEWERS","INCLUDE","REVIEWERS","INCLUDE","STUDY_ID","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
1,"noone","not vetted",NA,"not vetted",1,"PALACIOS J;ENGELHARDT A;AGIL M;HODGES K;BOGIA R;WALTERT M",2012,"STATUS OF AND CONSERVATION RECOMMENDATIONS FOR THE CRITICALLY ENDANGERED CRESTED BLACK MACAQUE MACACA NIGRA IN TANGKOKO INDONESIA","ORYX","46","290-297","290-297","10.1017/S0030605311000160","THE CRESTED BLACK MACAQUE MACACA NIGRA, ENDEMIC TO SULAWESI, INDONESIA, IS CATEGORIZED AS CRITICALLY ENDANGERED ON THE IUCN RED LIST AND ITS POPULATION IN THE TANGKOKO NATURE RESERVE IS PROBABLY THE ONLY VIABLE ONE WITHIN ITS NATIVE RANGE. EARLIER STUDIES SUGGESTED THAT THIS POPULATION SUFFERED A DECLINE OF 75\% DURING 1978-1994. TO EVALUATE ITS CURRENT STATUS WE CONDUCTED A LINE TRANSECT SURVEY IN THE RESERVE AND ASSESSED EFFECTS OF ECOLOGICAL AND ANTHROPOGENIC VARIABLES ON MACAQUE ABUNDANCE AND DISTRIBUTION. WE ESTIMATED A DENSITY OF 44.9 INDIVIDUALS KM(-2) (95\% CONFIDENCE INTERVAL, CI, 25.6-78.8) AND A TOTAL POPULATION OF 1,951 INDIVIDUALS (CI 1,113-3,421). THIS ESTIMATE OF DENSITY IS 35\% LOWER THAN THAT OF 68.7 INDIVIDUALS KM(-2) IN 1994. THERE WERE MODERATE TO STRONG CORRELATIONS BETWEEN MACAQUE ABUNDANCE AND VEGETATION STRUCTURE (BASAL AREA AND CANOPY TREE DENSITY). WE OBSERVED ILLEGAL LOGGING IN THE AREA AND THEREFORE HABITAT QUALITY FOR MACAQUES MAY BE INDIRECTLY AFFECTED BY ILLEGAL HUMAN ACTIVITIES. IF OUR POPULATION ESTIMATE IS PROJECTED LINEARLY M. NIGRA COULD BECOME EXTINCT IN TANGKOKO WITHIN 46 YEARS, HIGHLIGHTING THE URGENT NEED TO IMPROVE MANAGEMENT OF ILLEGAL HUNTING AND LOGGING IN THE RESERVE."
2,"noone","not vetted",NA,"not vetted",2,"GADSDEN G;MALHOTRA R;SCHELL J;CAREY T;HARRIS N",2021,"MICHIGAN ZOOMIN VALIDATING CROWDSOURCING TO IDENTIFY MAMMALS FROM CAMERA SURVEYS","WILDLIFE SOCIETY BULLETIN","45","221-229","221-229","10.1002/wsb.1175","CAMERA TRAP STUDIES HAVE BECOME A POPULAR MEDIUM TO ASSESS MANY ECOLOGICAL PHENOMENA INCLUDING POPULATION DYNAMICS, PATTERNS OF BIODIVERSITY, AND MONITORING OF ENDANGERED SPECIES. IN CONJUNCTION WITH THE BENEFIT TO SCIENTISTS, CAMERA TRAPS PRESENT AN UNPRECEDENTED OPPORTUNITY TO INVOLVE THE PUBLIC IN SCIENTIFIC RESEARCH VIA IMAGE CLASSIFICATIONS. HOWEVER, THIS ENGAGEMENT STRATEGY COMES WITH A MYRIAD OF COMPLICATIONS. VOLUNTEERS VARY IN THEIR FAMILIARITY WITH WILDLIFE, THUS, THE ACCURACY OF USER-DERIVED CLASSIFICATIONS MAY BE BIASED BY THE COMMONNESS OR POPULARITY OF SPECIES AND USER-EXPERIENCE. FROM AN EXTENSIVE MULTI-SITE CAMERA TRAP STUDY ACROSS MICHIGAN, U.S.A, WE COMPILED AND CLASSIFIED IMAGES THROUGH A PUBLIC SCIENCE PLATFORM CALLED MICHIGAN ZOOMIN. WE AGGREGATED RESPONSES FROM 15 INDEPENDENT USERS PER IMAGE USING MULTIPLE CONSENSUS METHODS TO ASSESS ACCURACY BY COMPARING TO SPECIES IDENTIFICATION COMPLETED BY WILDLIFE EXPERTS. WE ALSO EVALUATED HOW DIFFERENT FACTORS INCLUDING CONSENSUS ALGORITHMS, STUDY AREA, WILDLIFE SPECIES, USER SUPPORT, AND CAMERA TYPE INFLUENCED THE ACCURACY OF USER-DERIVED CLASSIFICATIONS. OVERALL ACCURACY OF USER-DERIVED CLASSIFICATION WAS 97\%; ALTHOUGH, SEVERAL CANID (E.G., CANIS LUPUS, VULPES VULPES) AND MUSTELID (E.G., NEOVISON VISON) SPECIES WERE REPEATEDLY DIFFICULT TO IDENTIFY BY USERS AND HAD LOWER ACCURACY. WHEN VALIDATING USER-DERIVED CLASSIFICATION, WE FOUND THAT STUDY AREA, CONSENSUS METHOD, AND USER SUPPORT BEST EXPLAINED ACCURACY. TO OVERCOME HESITANCY ASSOCIATED WITH DATA COLLECTED BY UNTRAINED PARTICIPANTS, WE DEMONSTRATED THEIR VALUE BY SHOWING THAT THE ACCURACY FROM VOLUNTEERS WAS COMPARABLE TO EXPERTS WHEN CLASSIFYING NORTH AMERICAN MAMMALS. OUR HIERARCHICAL WORKFLOW THAT INTEGRATED MULTIPLE CONSENSUS METHODS LED TO MORE IMAGE CLASSIFICATIONS WITHOUT EXTENSIVE TRAINING AND EVEN WHEN THE EXPERTISE OF THE VOLUNTEER WAS UNKNOWN. ULTIMATELY, ADOPTING SUCH AN APPROACH CAN HARNESS BROADER PARTICIPATION, EXPEDITE FUTURE CAMERA TRAP DATA SYNTHESIS, AND IMPROVE ALLOCATION OF RESOURCES BY SCHOLARS TO ENHANCE PERFORMANCE OF PUBLIC PARTICIPANTS AND INCREASE ACCURACY OF USER-DERIVED DATA. (C) 2021 THE WILDLIFE SOCIETY."
3,"noone","not vetted",NA,"not vetted",3,"PEREIRA K;WOODLEY S",2021,"SKIN DEFENSES OF NORTH AMERICAN SALAMANDERS AGAINST A DEADLY SALAMANDER FUNGUS","ANIMAL CONSERVATION","24","552-567","552-567","10.1111/acv.12666","THE RECENTLY EMERGED FUNGAL PATHOGEN, BATRACHOCHYTRIUM SALAMANDRIVORANS (BSAL) CAUSES THE LETHAL SKIN DISEASE CHYTRIDIOMYCOSIS IN SUSCEPTIBLE SALAMANDER SPECIES AND IS PREDICTED TO EMERGE WITHIN THE AMERICAS WITH DEVASTATING CONSEQUENCES. HOST RESPONSES TO BSAL ARE VARIABLE BUT THE FACTORS UNDERLYING THESE DIFFERENCES ARE UNKNOWN. TO INVESTIGATE THE ROLE OF SKIN-ASSOCIATED IMMUNE DEFENSES AGAINST BSAL AND THE CLOSELY RELATED, B. DENDROBATIDIS (BD), WE SAMPLED SKIN PEPTIDES FROM WILD AND CAPTIVE NORTH AMERICAN SALAMANDERS (SPOTTED SALAMANDERS [AMBYSTOMA MACULATUM], N = 10; HELLBENDERS [CRYPTOBRANCHUS ALLEGANIENSIS], N = 2; RED-LEGGED SALAMANDERS [PLETHODON SHERMANI], N = 18; AND OCOEE SALAMANDERS [DESMOGNATHUS OCOEE], N = 15) AND CONDUCTED IN VITRO EXPERIMENTAL ASSAYS TO TEST WHETHER SALAMANDER SKIN PEPTIDES INHIBIT CHYTRID GROWTH. INTERSPECIES DIFFERENCES IN SKIN DEFENSES AGAINST BSAL AND BD, AND PEPTIDE MIXTURES WERE ALSO ASSESSED USING A STANDARDIZED MEASURE AND RP-HPLC, RESPECTIVELY. FOR A. MACULATUM, SKIN PEPTIDES INHIBITED BSAL AND BD GROWTH, CONSISTENT WITH KNOWN BSAL RESISTANCE. CRYPTOBRANCHUS ALLEGANIENSIS SKIN PEPTIDES INHIBITED THE GROWTH OF BSAL BUT NOT BD. PLETHODON SHERMANI AND D. OCOEE SKIN PEPTIDES FACILITATED BSAL GROWTH AND HAD EITHER NO EFFECT OR INCONSISTENT EFFECTS ON BD GROWTH. WITH THE EXCEPTION OF A. MACULATUM, MOST SPECIES HAD RELATIVELY WEAK SKIN DEFENSES AGAINST BOTH CHYTRID PATHOGENS. COLLECTIVELY, WE DEMONSTRATE THAT SALAMANDER SKIN PEPTIDE DEFENSES AGAINST CHYTRID PATHOGENS ARE HIGHLY VARIABLE AND NOT ALWAYS EQUALLY EFFECTIVE AGAINST BSAL AND BD. BY ADVANCING KNOWLEDGE ABOUT THE FACTORS UNDERLYING CHYTRID SUSCEPTIBILITY, PARTICULARLY BSAL, OUR FINDINGS WILL HELP INFORM CONSERVATION INITIATIVES AIMED AT REDUCING DISEASE IMPACTS AND BIODIVERSITY LOSS."
5,"noone","not vetted",NA,"not vetted",5,"MEYERPETER M;LAZENBY K;COATES P;RICCA M;MATHEWS S;GARDNER S;DAHLGREN D;DELEHANTY D",2021,"FIELD METHODS FOR TRANSLOCATING FEMALE GREATER SAGEGROUSE CENTROCERCUS UROPHASIANUS WITH THEIR BROODS","WILDLIFE SOCIETY BULLETIN","45","529-537","529-537","10.1002/wsb.1199","GREATER SAGE-GROUSE (CENTROCERCUS UROPHASIANUS) HAVE EXPERIENCED CONSIDERABLE RANGE CONTRACTION AND REDUCED ABUNDANCE IN RESPONSE TO HABITAT LOSS AND DEGRADATION. TRANSLOCATION IS A CONSERVATION ACTION THAT IS OFTEN USED TO REINTRODUCE EXTIRPATED POPULATIONS OR AUGMENT EXISTING SMALL POPULATIONS. TRANSLOCATIONS HAVE HAD LIMITED SUCCESS IN RESTORING VIABLE POPULATIONS OF SAGE-GROUSE; A LACK OF SUCCESS IS ATTRIBUTED TO LONG-DISTANCE POST-RELEASE MOVEMENTS AWAY FROM RELEASE SITES, REDUCED SURVIVAL, AND LACK OF REPRODUCTIVE SUCCESS OF TRANSLOCATED INDIVIDUALS. TRANSLOCATING FEMALE SAGE-GROUSE WITH THEIR CHICKS (BROOD TRANSLOCATION) IS A TECHNIQUE AIMED AT PROMOTING BREEDING AREA FIDELITY AND REPRODUCTION AND MAY BE BENEFICIAL TO POPULATION RESTORATION EFFORTS. FURTHERMORE, THE ABILITY TO CAPTURE, RELOCATE, AND RELEASE INDIVIDUALS WHILE MINIMIZING TRANSLOCATION-INDUCED LOSS INCREASES THE OVERALL PROBABILITY OF RESTORATION SUCCESS. ACCORDINGLY, WE DEVELOPED A PROTOCOL TO TRANSLOCATE FEMALE SAGE-GROUSE AND THEIR BROODS SIMULTANEOUSLY, USING A DELAYED-RELEASE SYSTEM THAT INCLUDED A CUSTOM RELEASE BOX AND ACCLIMATION PEN. WE TESTED OUR PROTOCOL ACROSS 2 SEPARATE RESTORATION PROJECTS IN NORTH DAKOTA AND CALIFORNIA DURING 2017-2019 WITH A TOTAL OF 38 TRANSLOCATED FEMALES AND 196 CHICKS. WE SUCCESSFULLY RELEASED 174/196 CHICKS (88.8\%) FROM 32/38 (84.2\%) BROODS. OUR PROTOCOL BUILDS ON EXISTING TRANSLOCATION METHODS USED TO TRANSLOCATE SAGE-GROUSE AND WILL LIKELY PROVE TO BE A CRITICAL TECHNIQUE IN RESTORING SAGE-GROUSE POPULATIONS. (C) 2021 THE WILDLIFE SOCIETY."
8,"noone","not vetted",NA,"not vetted",8,"WHITT J;JOHNSON J;REYNA K",2017,"TWO CENTURIES OF HUMANMEDIATED GENE FLOW IN NORTHERN BOBWHITES","WILDLIFE SOCIETY BULLETIN","41","639-648","639-648","10.1002/wsb.829","THE NORTHERN BOBWHITE (COLINUS VIRGINIANUS; HEREAFTER, BOBWHITE) POPULATION DECLINE HAS PROMPTED SEVERAL STUDIES OVER THE PAST DECADE INVESTIGATING BOBWHITE POPULATION GENETICS AND OVERALL CONNECTIVITY. THE ZEITGEIST OF CURRENT QUAIL CONSERVATION IS THAT BOBWHITE POPULATIONS HAVE BECOME INCREASINGLY FRAGMENTED, LEADING TO THEIR DECLINE AS A RESULT OF REDUCED FITNESS ASSOCIATED WITH EFFECTS FROM SMALL POPULATION SIZE. A FEW STUDIES EXPLORING POPULATION-LEVEL PATTERNS OF GENETIC CONNECTIVITY AT THE LOCAL SCALE HAVE IDENTIFIED SOME AREAS POSSESSING LIMITED GENE FLOW LIKELY DUE TO RECENT ANTHROPOGENIC LANDSCAPE CHANGES. INTERESTINGLY, HOWEVER, MULTIPLE STUDIES USING GENETIC METHODS HAVE ALSO SUGGESTED THAT THE SPECIES HAS EXPERIENCED A RECENT RANGE-WIDE EXPANSION WITH FEW BARRIERS TO DISPERSAL, SUGGESTING A LARGE PANMICTIC POPULATION. ALTHOUGH THE ABOVE ARE BOTH SUPPORTED BY EMPIRICAL DATA, WE HIGHLIGHT ANOTHER POSSIBILITY THAT HAS BEEN PROPOSED YET RARELY INVESTIGATED. MILLIONS OF WILD BOBWHITES HAVE BEEN TRANSPORTED AMONG POPULATIONS, AND MILLIONS MORE CAPTIVE-REARED BOBWHITES HAVE BEEN AND CONTINUE TO BE RELEASED ACROSS THE SPECIES' RANGE. GIVEN THE MASSIVE SCALE AT WHICH BOBWHITES HAVE BEEN ARTIFICIALLY DISPERSED, MORE RESEARCH IS NEEDED TO INVESTIGATE THE EFFECTS OF INTROGRESSION OF NONLOCAL BIRDS ON OUR ABILITY TO UNDERSTAND RECENT CHANGES IN BOBWHITE POPULATION FRAGMENTATION, SIZE, AND DIVERSITY. SUCH INFORMATION HAS IMPORTANT MANAGEMENT IMPLICATIONS TO LONG-TERM BOBWHITE POPULATION SUSTAINABILITY. BY QUANTIFYING THE LEVEL OF HUMAN-MEDIATED BOBWHITE DISPERSAL EVENTS, OUR REVIEW CAUTIONS AGAINST ASSIGNING EVOLUTIONARY OR CONSERVATION SIGNIFICANCE TO PATTERNS OF GENETIC CONNECTIVITY AMONG BOBWHITE POPULATIONS UNTIL A MORE SYSTEMATIC EFFORT IS MADE TO VERIFY THAT SUCH ACTIVITIES HAVE NOT AFFECTED OUR ABILITY TO IDENTIFY NATURAL GENE-FLOW PATTERNS AT BOTH LOCAL AND BROAD-SCALE DISTRIBUTIONS. (C) 2017 THE WILDLIFE SOCIETY."
10,"noone","not vetted",NA,"not vetted",10,"MORTON E;ROBINSON S;MULINDAHABI M;SINGH A;OLI M",2022,"SPATIOTEMPORAL PATTERNS IN AN AFROTROPICAL MONTANE FOREST BIRD COMMUNITY","GLOBAL ECOLOGY AND CONSERVATION","40",NA,NA,"10.1016/j.gecco.2022.e02333","UNDERSTANDING HOW SPECIES RICHNESS AND DIVERSITY PATTERNS VARY ACROSS TIME AND SPACE IS ESSENTIAL FOR PREDICTING HOW BIODIVERSITY WILL RESPOND TO ANTHROPOGENIC THREATS AND FOR EFFECTIVE CONSER-VATION PLANNING. TROPICAL MONTANE FORESTS ARE AMONG THE MOST BIODIVERSE PLACES IN THE WORLD, YET HIGH RATES OF ENDEMISM AND NARROW PHYSIOLOGICAL TOLERANCES PLACE TROPICAL MONTANE SPECIES AMONG THE MOST VULNERABLE TO ANTHROPOGENIC IMPACTS. THEREFORE, IT IS OF THE UTMOST IMPORTANCE TO UNDERSTAND HOW ECOLOGICAL COMMUNITIES ARE STRUCTURED ALONG ELEVATIONAL AND SPATIAL GRADIENTS, PARTICULARLY IN THE AFROTROPICS, WHICH ARE HISTORICALLY UNDERSTUDIED DESPITE THEIR UNIQUE CLIMATE AND RICH BIODIVERSITY. HERE WE EXAMINE HOW THE AFROTROPICAL MONTANE BIRD COMMUNITY OF NYUNGWE NATIONAL PARK IN RWANDA IS SPATIALLY AND TEMPORALLY STRUCTURED WITH RESPECT TO ELEVA-TION AND GEOGRAPHY. WE SHOW THAT DESPITE THE ABSENCE OF GEOGRAPHIC BARRIERS, AVIAN COMMUNITIES ARE SPATIALLY STRUCTURED ACROSS THE ELEVATIONAL GRADIENT WITH SIGNIFICANT REGIONAL DIFFERENCES IN BOTH SPECIES COMPOSITION AND RICHNESS, AND THAT HIGH ELEVATION ASSEMBLAGES ARE COMPRISED OF FEWER SPECIES COMPARED TO LOWER AND MIDDLE ELEVATIONS. WE FIND EVIDENCE FOR OVERALL STABILITY IN SPECIES RICHNESS DURING THIS STUDY PERIOD (2001-2011) YET DIFFERING SEASON-SPECIFIC TRENDS ACROSS THE ELEVATIONAL RANGE OF THE STUDY. SPECIFICALLY, THE HIGH ELEVATION ASSEMBLAGE EXHIBITED A WET SEASON-SPECIFIC INCREASE IN RICHNESS, CONGRUENT WITH PREDICTED UPSLOPE ELEVATIONAL SHIFTS FOR LOW AND MIDDLE ELEVATION SPECIES. OUR FINDINGS SUGGEST THAT ANTHROPOGENIC FACTORS MAY HAVE DIFFERENT EFFECTS ON RICHNESS PATTERNS DEPENDING ON ELEVATION AND REGION, AND THAT PROTECTED AREAS LARGE ENOUGH TO ENCOMPASS THE FULL RANGE OF GEOGRAPHIC AND ELEVATION GRADIENTS ARE REQUIRED TO EFFECTIVELY CONSERVE AFROMONTANE BIRD COMMUNITIES."
12,"noone","not vetted",NA,"not vetted",12,"ZUERCHER G;JACKSON L;EDDS D;MILLER J;SATTERLEE S;BUTLER A;PINTO F;FERNANDEZ S;VELAZQUEZ M;KOCH D;SCHWARTZ P",2022,"ICHTHYOFAUNAL DIVERSITY IN THE UPPER JEIUF RIVER WATERSHED IN EASTERN PARAGUAY","NEOTROPICAL BIODIVERSITY","8","167-177","167-177","10.1080/23766808.2022.2061299","THE UPPER JEJUI RIVER IS A MAJOR TRIBUTARY OF THE PARAGUAY RIVER IN EASTERN PARAGUAY AND IS THE PRINCIPAL DRAINAGE FOR THE MBARACAYU FOREST BIOSPHERE RESERVE. DESPITE THE INTERNATIONAL SIGNIFICANCE OF THE BIOSPHERE RESERVE AND DETAILED DOCUMENTATION OF ITS TERRESTRIAL FAUNA AND FLORA, THE FISH FAUNA IN ITS STREAMS REMAINS RELATIVELY UNKNOWN, WITH 48 SPECIES PREVIOUSLY RECORDED. WE SAMPLED 35 SITES WITHIN THE BIOSPHERE RESERVE OVER FIVE YEARS (2007-2011) TO ASSESS THE RICHNESS OF ITS ICHTHYOFAUNA. THESE SURVEYS YIELDED A NEW TOTAL OF 105 KNOWN SPECIES FOR THE BIOSPHERE RESERVE, INCLUDING TWO NEWLY-RECORDED ORDERS, GYMNOTIFORMES AND CYPRINODONTIFORMES, AND 14 NEWLY-RECORDED FAMILIES. FISH COMMUNITY COMPOSITION RESEMBLED THAT OF PREVIOUSLY-REPORTED FISH COMMUNITIES FROM THE PARAGUAY RIVER DRAINAGE, WITH CHARACIFORMS AND SILURIFORMS COMPRISING THE MAJORITY OF THE SPECIES (57.1\% AND 31.4\%, RESPECTIVELY). POST HOC ANALYSES SHOWED SIGNIFICANTLY GREATER ICHTHYOFAUNAL DIVERSITY AT SITES WITHIN THE MBARACAYU FOREST NATURE RESERVE, A CORE PROTECTED FOREST AREA WITHIN THE BIOSPHERE RESERVE, COMPARED TO AREAS OUTSIDE THE NATURE RESERVE, SUGGESTING A NEGATIVE IMPACT FROM DEFORESTATION AND LAND CONVERSION ON FISH ASSEMBLAGES IN THESE HEADWATER STREAMS. BROAD REGIONAL DEFORESTATION PLACES GREATER EMPHASIS ON IMPORTANT MANAGEMENT DECISIONS THAT WILL PROTECT CURRENT BIODIVERSITY."
13,"noone","not vetted",NA,"not vetted",13,"MACPHERSON M;LITZGUS J;WEATHERHEAD P;LOUGHEED S",2021,"BARRIERS FOR BIG SNAKES INCORPORATING ANIMAL BEHAVIOUR AND MORPHOLOGY INTO ROAD MORTALITY MITIGATION DESIGN","GLOBAL ECOLOGY AND CONSERVATION","26",NA,NA,"10.1016/j.gecco.2021.e01471","TO COMBAT WORLDWIDE DECLINE IN BIODIVERSITY, MANY CONSERVATION STRATEGIES HAVE BEEN DEVELOPED TO COUNTER ANTHROPOGENIC THREATS. AMONG THESE IS ROADSIDE BARRIER FENCING DESIGNED TO MITIGATE ROAD MORTALITY, A MAJOR THREAT TO MANY TERRESTRIAL VERTEBRATES. FEW STRATEGIES ARE TESTED BEFORE IMPLEMENTATION, HOWEVER, AND IN SOME CASES MITIGATION EITHER FAILS TO ALLEVIATE OR EVEN EXACERBATES ROAD MORTALITY. MOREOVER, MITIGATION OFTEN FAILS TO ACCOUNT FOR INTER- AND INTRASPECIFIC DIFFERENCES IN MORPHOLOGY AND BEHAVIOUR, OR THE INFLUENCE OF DIFFERENT ASPECTS OF STRUCTURAL DESIGN. WE ASSESSED THE EFFECTIVENESS OF MULTIPLE BARRIER FENCING CONFIGURATIONS DIFFERING IN DESIGN AND MATERIALS ON THE BEHAVIOURAL RESPONSE OF GRAY RATSNAKES (PANTHEROPHIS SPILOIDES). FENCING MATERIAL HAD A SIGNIFICANT INFLUENCE ON THE LIKELIHOOD OF A RATSNAKE SUCCESSFULLY CLIMBING OVER THE FENCING. FURTHER, WE FOUND A SIGNIFICANT INTERACTION BETWEEN FENCING HEIGHT AND SHAPE ON THE LIKELIHOOD OF A RATSNAKE SUCCESSFULLY CLIMBING OVER THE FENCING. LONGER SNAKES WERE MORE SUCCESSFUL AT CLIMBING OVER FENCING THAN SHORTER ONES. THE MOST EFFECTIVE FENCING TESTED WAS 100 CM METAL MESH FENCING WITH A LIP, WHICH PREVENTED SUCCESSFUL ESCAPES IN 93.3\% OF TRIALS. FENCING MATERIAL AND HEIGHT ALSO INFLUENCED THE NUMBER OF CLIMBING ATTEMPTS PER MINUTE MADE BY THE RATSNAKES. OUR STUDY HIGHLIGHTS THE IMPORTANCE OF INCLUDING STRUCTURAL AT-TRIBUTES AND MORPHOLOGICAL VARIATION WITHIN A SPECIES BEFORE DEPLOYING A CONSERVATION STRATEGY. MOREOVER, OUR RESULTS SHOW THAT UNDERSTANDING THE BEHAVIOUR OF A TARGET SPECIES CAN ENHANCE PROSPECTS FOR SUCCESS AND LIMIT COSTS OF MITIGATION STRATEGIES. (C) 2021 THE AUTHORS. PUBLISHED BY ELSEVIER B.V. THIS IS AN OPEN ACCESS ARTICLE UNDER THE CC BY-NC-ND LICENSE (HTTP://CREATIVECOMMONS.ORG/LICENSES/BY-NC-ND/4.0/)."
14,"noone","not vetted",NA,"not vetted",14,"CORITICO F;AMOROSO V",2020,"THREATENED LYCOPHYTES AND FERNS IN FOUR PROTECTED AREAS OF MINDANAO PHILIPPINES","NATURE CONSERVATION RESEARCH","5","78-88","78-88","10.24189/ncr.2020.061","THERE ARE NEARLY A THOUSAND THREATENED SPECIES OF VASCULAR PLANTS IN THE PHILIPPINES AND OF WHICH ABOUT 12\% ARE LYCOPHYTES AND FERNS. HOWEVER, THERE ARE NOT ENOUGH DATA ON THE DISTRIBUTION OF THE SPECIES. THUS, THE THREATENED LYCOPHYTES AND FERNS WERE DETERMINED BASED ON FIELD SURVEYS IN FOUR PROTECTED AREAS IN MINDANAO, NAMELY MT. APO NATURAL PARK, MT. KITANGLAD RANGE NATURAL PALK, MT. MALINDANG RANGE NATURAL PALK, AND MT. HAMIGUITAN RANGE WILDLIFE SANCTUARY. THE CONSERVATION STATUS ASSESSMENT WAS BASED ON THE DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES DAO 2017-11 UPDATED LIST OF THREATENED PLANTS OF THE PHILIPPINES. A TOTAL OF 45 SPECIES OF THREATENED LYCOPHYTES AND FERNS WAS DOCUMENTED BELONGING TO 16 FAMILIES AND 25 GENERA. OF THESE, THREE SPECIES ARE CRITICALLY ENDANGERED, 23 ENDANGERED, 15 VULNERABLE, AND THREE ARE OTHER THREATENED SPECIES. FAMILIES WITH THE HIGHEST NUMBER OF THREATENED SPECIES ARE CYATHEACEAE, POLYPODIACEAE, LYCOPODIACEAE, OPHIOGLOSSACEAE, AND PSILOTACEAE. THE CRITICALLY ENDANGERED SPECIES ARE PLATYCERIUM CORONARIUM, PHLEGMARIURUS MAGNUSIANUS, AND HELMINTHOSTACKYS ZEYLANICA. THE THREATENED SPECIES ENDEMIC TO THE PHILIPPINES AM PHLEGMARIURUS MAGNUSIANUS,ALSOPHILA APOENSIS, A. ATROPURPUIVA, A. HENNANNII, A. FULIGINOSA, A. HETEROCHLAMYDEA, A. NEGROSIANA, A. RUJBPANNOSA, LINDSAEA HAMIGUITANENSIS, TMESIPTERIS ZAMORARUM, AGLAOMORPHA CORNUCOPIA, AND A. SAGITTA. THE HIGHEST NUMBER OF THREATENED TAXA WAS OBSERVED IN THE MT. APO NATURAL PALK (29 SPECIES), FOLLOWED BY THE MT. KITANGLAD RANGE NATURAL PALK (28 SPECIES), MT. MALINDANG RANGE NATURAL PARK (27 SPECIES), WITH THE LOWEST NUMBER IN THE MT. HAMIGUITAN RANGE WILDLIFE SANCTUARY (19 SPECIES). MOST OF THE SPECIES WERE RECORDED IN THE LOWER AND UPPER MONTANE FORESTS. THE OCCURRENCE OF THREATENED AND ENDEMIC LYCOPHYTES AND FERNS IN THE FOUR PROTECTED AREAS CALLS FOR A STRICT IMPLEMENTATION OF THE ORDINANCES NECESSARY FOR A LONG TERM CONSERVATION AND PROTECTION OF THE SPECIES."
15,"noone","not vetted",NA,"not vetted",15,"CEDRIC G;NEHA P;ROSHAN P;UTTAM S;RAJENDRA G",2016,"ASSESSING AND MANAGING THE RISING RHINO POPULATION IN KAZIRANGA INDIA","ECOLOGICAL INDICATORS","66","55-64","55-64","10.1016/j.ecolind.2016.01.023","THE GREATER ONE-HORNED RHINOCEROS (RHINOCEROS UNICORNIS) IS A FLAGSHIP SPECIES, AND YET IS POORLY KNOWN UNLIKE ITS AFRICAN COUSIN. THE SPECIES FUTURE IS NOW UNDER A GROWING THREAT, JUDGING BY THE PROSPECT OF A LEGALIZATION OF THE HORN TRADE THAT HAS BEEN THE SUBJECT OF RECENT DEBATE, COUPLED WITH THE FRAGMENTATION OF THE ANIMAL'S HABITAT. IN THIS STUDY, WE ANALYZE THE RHINO HABITAT AND ASSESS ITS DYNAMICS IN THE KAZIRANGA NATIONAL PARK (KNP), ASSAM, INDIA. TO COMPENSATE FOR THE LIMITED SIZE OF THE DATA AVAILABLE, WE USE SOME NUMERICAL MODELS AND PROPOSE SOME ORIGINAL SPATIAL ANALYSES AND INDICATORS. OUR FINDINGS POINT TO A HEALTHY AND INCREASING RHINO POPULATION IN A DENSITY-DEPENDENT SCENARIO. AN INCREASE OF AT LEAST 30\% IN THE RHINO POPULATION IS EXPECTED IN THE COMING TWELVE YEARS, MAINLY AS A RESULT OF THE EFFECTIVE IMPLEMENTATION OF WILDLIFE PROTECTION LAWS IN THE COUNTRY. KAZIRANGA'S GRASSLANDS HAVE BEEN QUITE STABLE IN THE PAST (7\% BETWEEN YEARS, IN AVERAGE, AND LESS THAN 19\% AT MOST), AND ARE EXPECTED TO REMAIN SO IN THE NEAR FUTURE, ESPECIALLY IN THE CORE AREA OF THE KNP. IN THE ABSENCE OF A DETAILED SUITABILITY MAP AND KNOWN CARRYING-CAPACITY VALUES, WE IDENTIFIED THE AREAS MOST FAVOURED BY THE RHINOS, AND DEVELOPED A SO-CALLED ``PREFERENCE MAP''. WE CONCLUDE BY STRESSING THE NEED TO REALISTICALLY COMBINE THE EXISTING CONSERVATION STRATEGIES WHILE INCREASING THE MONITORING EFFORT ON THE SPECIES DISTRIBUTION. (C) 2016 ELSEVIER LTD. ALL RIGHTS RESERVED."
